date,window_trading_days,window_start,window_end,close,fixed_amount_dca_cost,moving_avg_180,price_to_dca_pct,price_to_ma_pct,min_close_in_window,max_close_in_window,drawdown_from_window_high_pct,above_window_low_pct,volume
2010-09-20,180,2010-01-04,2010-09-20,10.1154,8.4916,8.5799,119.1215,117.8959,6.8589,10.1154,0.0,47.4772,658677600
2010-09-21,180,2010-01-05,2010-09-21,10.1346,8.5045,8.5938,119.1676,117.9304,6.8589,10.1346,0.0,47.7584,668074400
2010-09-22,180,2010-01-06,2010-09-22,10.2768,8.5179,8.6083,120.6488,119.3822,6.8589,10.2768,0.0,49.8308,585289600
2010-09-23,180,2010-01-07,2010-09-23,10.3186,8.5324,8.6238,120.9341,119.6526,6.8589,10.3186,0.0,50.44,786116800
2010-09-24,180,2010-01-08,2010-09-24,10.44,8.5475,8.64,122.1416,120.8334,6.8589,10.44,0.0,52.2104,649488000
2010-09-27,180,2010-01-11,2010-09-27,10.3986,8.5621,8.6557,121.4494,120.1355,6.8589,10.44,-0.3968,51.6063,482834800
2010-09-28,180,2010-01-12,2010-09-28,10.245,8.5766,8.6709,119.4528,118.1534,6.8589,10.44,-1.8678,49.3673,1035042400
2010-09-29,180,2010-01-13,2010-09-29,10.2632,8.5919,8.6867,119.4522,118.1481,6.8589,10.44,-1.6934,49.6329,469644000
2010-09-30,180,2010-01-14,2010-09-30,10.1339,8.606,8.7012,117.7547,116.4654,6.8589,10.44,-2.9317,47.748,673391600
2010-10-01,180,2010-01-15,2010-10-01,10.09,8.6202,8.7157,117.0503,115.7676,6.8589,10.44,-3.3525,47.1075,448142800
2010-10-04,180,2010-01-19,2010-10-04,9.9514,8.6349,8.7302,115.2467,113.989,6.8589,10.44,-4.6798,45.0872,435302000
2010-10-05,180,2010-01-20,2010-10-05,10.3193,8.6487,8.7448,119.3159,118.0044,6.8589,10.44,-1.1563,50.4504,501967200
2010-10-06,180,2010-01-21,2010-10-06,10.3282,8.6635,8.7602,119.2158,117.8993,6.8589,10.44,-1.0707,50.5806,670868800
2010-10-07,180,2010-01-22,2010-10-07,10.3293,8.6792,8.7763,119.0115,117.6952,6.8589,10.44,-1.0605,50.5962,408399600
2010-10-08,180,2010-01-25,2010-10-08,10.5025,8.6987,8.7954,120.7367,119.4089,6.8589,10.5025,0.0,53.1216,658403200
2010-10-11,180,2010-01-26,2010-10-11,10.5486,8.7168,8.8137,121.0138,119.6835,6.8589,10.5486,0.0,53.7933,427753200
2010-10-12,180,2010-01-27,2010-10-12,10.6621,8.7347,8.8321,122.0669,120.7204,6.8589,10.6621,0.0,55.4491,558544000
2010-10-13,180,2010-01-28,2010-10-13,10.7193,8.7523,8.8504,122.4746,121.1164,6.8589,10.7193,0.0,56.2822,630092400
2010-10-14,180,2010-01-29,2010-10-14,10.7968,8.7727,8.8708,123.0729,121.711,6.8589,10.7968,0.0,57.4121,435296400
2010-10-15,180,2010-02-01,2010-10-15,11.2407,8.797,8.8952,127.7783,126.3686,6.8589,11.2407,0.0,63.8844,922194000
2010-10-18,180,2010-02-02,2010-10-18,11.3571,8.8211,8.9196,128.7502,127.3274,6.8589,11.3571,0.0,65.5819,1093010800
2010-10-19,180,2010-02-03,2010-10-19,11.0532,8.8438,8.9422,124.9824,123.6075,6.8589,11.3571,-2.6761,61.1507,1232784000
2010-10-20,180,2010-02-04,2010-10-20,11.0904,8.8658,8.9643,125.092,123.7173,6.8589,11.3571,-2.3491,61.6923,721624400
2010-10-21,180,2010-02-05,2010-10-21,11.0543,8.89,8.9876,124.3453,122.9952,6.9329,11.3571,-2.6667,59.4478,551460000
2010-10-22,180,2010-02-08,2010-10-22,10.9811,8.913,9.0098,123.2034,121.8792,6.9329,11.3571,-3.3113,58.3917,372778000
2010-10-25,180,2010-02-09,2010-10-25,11.03,8.9367,9.0326,123.424,122.1137,6.9686,11.3571,-2.8805,58.2821,392462000
2010-10-26,180,2010-02-10,2010-10-26,11.0018,8.9597,9.0548,122.7916,121.5028,6.9686,11.3571,-3.1289,57.8772,392929600
2010-10-27,180,2010-02-11,2010-10-27,10.9939,8.9832,9.0771,122.383,121.1169,7.0379,11.3571,-3.1981,56.2113,399002800
2010-10-28,180,2010-02-12,2010-10-28,10.9014,9.0053,9.0983,121.0553,119.8188,7.0379,11.3571,-4.0126,54.897,551051200
2010-10-29,180,2010-02-16,2010-10-29,10.7493,9.0264,9.1182,119.0869,117.8879,7.0379,11.3571,-5.3522,52.7352,430511200
2010-11-01,180,2010-02-17,2010-11-01,10.8636,9.0471,9.1382,120.0777,118.8806,7.0379,11.3571,-4.3459,54.3591,423889200
2010-11-02,180,2010-02-18,2010-11-02,11.0486,9.0689,9.1594,121.8296,120.6253,7.0379,11.3571,-2.717,56.9877,433930000
2010-11-03,180,2010-02-19,2010-11-03,11.1714,9.0911,9.1812,122.8835,121.677,7.0379,11.3571,-1.6352,58.7334,508348400
2010-11-04,180,2010-02-22,2010-11-04,11.3668,9.1145,9.2043,124.7112,123.4936,7.0379,11.3668,0.0,61.5092,642488000
2010-11-05,180,2010-02-23,2010-11-05,11.3261,9.1383,9.2275,123.941,122.7425,7.0379,11.3668,-0.3582,60.9307,361253200
2010-11-08,180,2010-02-24,2010-11-08,11.3793,9.1635,9.2516,124.1806,122.9977,7.1664,11.3793,0.0,58.786,281758400
2010-11-09,180,2010-02-25,2010-11-09,11.2886,9.1873,9.2745,122.8711,121.7159,7.2143,11.3793,-0.7972,56.4752,383544000
2010-11-10,180,2010-02-26,2010-11-10,11.3582,9.2111,9.2975,123.31,122.1635,7.3079,11.3793,-0.1852,55.4247,384227200
2010-11-11,180,2010-03-01,2010-11-11,11.3089,9.234,9.3198,122.4708,121.3434,7.4589,11.3793,-0.6183,51.616,361284000
2010-11-12,180,2010-03-02,2010-11-12,11.0011,9.2544,9.3394,118.8736,117.7917,7.4589,11.3793,-3.3237,47.4886,795846800
2010-11-15,180,2010-03-03,2010-11-15,10.9657,9.2749,9.3589,118.2303,117.1687,7.4761,11.3793,-3.6344,46.6775,403606000
2010-11-16,180,2010-03-04,2010-11-16,10.7711,9.2945,9.3772,115.8868,114.8643,7.5254,11.3793,-5.3449,43.1304,657650000
2010-11-17,180,2010-03-05,2010-11-17,10.7321,9.3136,9.395,115.2313,114.2321,7.8196,11.3793,-5.687,37.2459,479449600
2010-11-18,180,2010-03-08,2010-11-18,11.0154,9.3315,9.4128,118.0451,117.0255,7.8243,11.3793,-3.1982,40.7842,494491200
2010-11-19,180,2010-03-09,2010-11-19,10.9546,9.3492,9.4302,117.1722,116.1659,7.9375,11.3793,-3.7317,38.0113,384843200
2010-11-22,180,2010-03-10,2010-11-22,11.1914,9.3668,9.4481,119.4799,118.4516,7.9375,11.3793,-1.6509,40.9944,393075200
2010-11-23,180,2010-03-11,2010-11-23,11.0261,9.3833,9.4647,117.5072,116.4962,7.9375,11.3793,-3.104,38.9111,519447600
2010-11-24,180,2010-03-12,2010-11-24,11.2429,9.4006,9.4825,119.5975,118.5647,7.9375,11.3793,-1.1989,41.6423,413725200
2010-11-26,180,2010-03-15,2010-11-26,11.25,9.4176,9.5,119.4568,118.421,7.9375,11.3793,-1.1362,41.7323,237585600
2010-11-29,180,2010-03-16,2010-11-29,11.3168,9.4358,9.5185,119.9351,118.893,7.9375,11.3793,-0.5492,42.5737,445785200
2010-11-30,180,2010-03-17,2010-11-30,11.1125,9.453,9.5357,117.5554,116.5362,7.9375,11.3793,-2.3445,40.0,501858000
2010-12-01,180,2010-03-18,2010-12-01,11.3,9.4711,9.554,119.3102,118.2754,7.9375,11.3793,-0.6968,42.3622,461750800
2010-12-02,180,2010-03-19,2010-12-02,11.3625,9.4894,9.5725,119.7389,118.6991,7.9375,11.3793,-0.1475,43.1496,462837200
2010-12-03,180,2010-03-22,2010-12-03,11.3371,9.5083,9.5914,119.2337,118.201,8.0268,11.3793,-0.3703,41.2414,342092800
2010-12-06,180,2010-03-23,2010-12-06,11.4339,9.527,9.6103,120.0158,118.9753,8.0946,11.4339,0.0,41.253,448481600
2010-12-07,180,2010-03-24,2010-12-07,11.3646,9.5445,9.6282,119.07,118.0354,8.0946,11.4339,-0.606,40.3971,391454000
2010-12-08,180,2010-03-25,2010-12-08,11.4646,9.5622,9.6463,119.8957,118.8496,8.0946,11.4646,0.0,41.6325,321935600
2010-12-09,180,2010-03-26,2010-12-09,11.42,9.5805,9.6648,119.2006,118.1605,8.2464,11.4646,-0.3894,38.4842,294151200
2010-12-10,180,2010-03-29,2010-12-10,11.4486,9.5978,9.6826,119.2831,118.2384,8.2996,11.4646,-0.1402,37.9405,262511200
2010-12-13,180,2010-03-30,2010-12-13,11.4882,9.615,9.7003,119.4827,118.4312,8.3929,11.4882,0.0,36.8808,439815600
2010-12-14,180,2010-03-31,2010-12-14,11.4389,9.6311,9.7171,118.7712,117.7198,8.3929,11.4882,-0.429,36.2936,351008000
2010-12-15,180,2010-04-01,2010-12-15,11.4414,9.6474,9.734,118.5954,117.5407,8.4236,11.4882,-0.4072,35.8263,417312000
2010-12-16,180,2010-04-05,2010-12-16,11.4732,9.6638,9.7509,118.7241,117.6627,8.4236,11.4882,-0.1306,36.2037,322030800
2010-12-17,180,2010-04-06,2010-12-17,11.4504,9.6794,9.7672,118.2963,117.2324,8.4236,11.4882,-0.3295,35.9323,386929200
2010-12-20,180,2010-04-07,2010-12-20,11.5075,9.695,9.7836,118.6949,117.6199,8.4236,11.5075,0.0,36.6107,385610400
2010-12-21,180,2010-04-08,2010-12-21,11.5786,9.7107,9.8002,119.2349,118.146,8.4236,11.5786,0.0,37.4544,256354000
2010-12-22,180,2010-04-09,2010-12-22,11.6129,9.7268,9.8171,119.3907,118.2918,8.4236,11.6129,0.0,37.8614,265921600
2010-12-23,180,2010-04-12,2010-12-23,11.5571,9.7422,9.8334,118.6299,117.5299,8.4236,11.6129,-0.4798,37.2,223157200
2010-12-27,180,2010-04-13,2010-12-27,11.5957,9.7577,9.8497,118.8369,117.7265,8.4236,11.6129,-0.1476,37.6579,249816000
2010-12-28,180,2010-04-14,2010-12-28,11.6239,9.7733,9.8662,118.9358,117.8158,8.4236,11.6239,0.0,37.9929,175924000
2010-12-29,180,2010-04-15,2010-12-29,11.6175,9.7881,9.882,118.69,117.5625,8.4236,11.6239,-0.0553,37.9166,163139200
2010-12-30,180,2010-04-16,2010-12-30,11.5593,9.8019,9.8968,117.9285,116.7981,8.4236,11.6239,-0.5561,37.2255,157494400
2010-12-31,180,2010-04-19,2010-12-31,11.52,9.816,9.9117,117.3589,116.226,8.4236,11.6239,-0.8941,36.7591,193508000
2011-01-03,180,2010-04-20,2011-01-03,11.7704,9.8313,9.9281,119.7239,118.5561,8.4236,11.7704,0.0,39.7312,445138400
2011-01-04,180,2010-04-21,2011-01-04,11.8318,9.8474,9.9453,120.1518,118.9687,8.4236,11.8318,0.0,40.4605,309080800
2011-01-05,180,2010-04-22,2011-01-05,11.9286,9.8604,9.9601,120.9744,119.7632,8.4236,11.9286,0.0,41.6094,255519600
2011-01-06,180,2010-04-23,2011-01-06,11.9189,9.8719,9.9735,120.7364,119.5063,8.4236,11.9286,-0.0808,41.495,300428800
2011-01-07,180,2010-04-26,2011-01-07,12.0043,9.8827,9.9864,121.4671,120.206,8.4236,12.0043,0.0,42.5083,311931200
2011-01-10,180,2010-04-27,2011-01-10,12.2304,9.8948,10.0009,123.6042,122.2925,8.4236,12.2304,0.0,45.1921,448560000
2011-01-11,180,2010-04-28,2011-01-11,12.2014,9.9083,10.0167,123.1431,121.8109,8.4236,12.2304,-0.2365,44.8487,444108000
2011-01-12,180,2010-04-29,2011-01-12,12.3007,9.9224,10.0331,123.9693,122.601,8.4236,12.3007,0.0,46.0273,302590400
2011-01-13,180,2010-04-30,2011-01-13,12.3457,9.9351,10.0484,124.2635,122.8623,8.4236,12.3457,0.0,46.5615,296780400
2011-01-14,180,2010-05-03,2011-01-14,12.4457,9.9499,10.0658,125.084,123.6441,8.4236,12.4457,0.0,47.7487,308840000
2011-01-18,180,2010-05-04,2011-01-18,12.1661,9.9625,10.0805,122.1186,120.6892,8.4236,12.4457,-2.2469,44.4289,1880998000
2011-01-19,180,2010-05-05,2011-01-19,12.1014,9.9766,10.0964,121.2975,119.8588,8.4236,12.4457,-2.7663,43.6615,1135612800
2011-01-20,180,2010-05-06,2011-01-20,11.8814,9.9906,10.1116,118.926,117.5028,8.4236,12.4457,-4.534,41.0498,764789200
2011-01-21,180,2010-05-07,2011-01-21,11.6686,10.0062,10.1276,116.6138,115.2157,8.4236,12.4457,-6.2443,38.5229,754401200
2011-01-24,180,2010-05-10,2011-01-24,12.0518,10.0261,10.1477,120.2043,118.7633,8.4914,12.4457,-3.1652,41.9288,574683200
2011-01-25,180,2010-05-11,2011-01-25,12.1929,10.0419,10.1651,121.4202,119.9484,8.4914,12.4457,-2.0317,43.5902,546868000
2011-01-26,180,2010-05-12,2011-01-26,12.2804,10.0574,10.1824,122.1024,120.6036,8.4914,12.4457,-1.3286,44.6206,506875600
2011-01-27,180,2010-05-13,2011-01-27,12.2575,10.0716,10.1985,121.7032,120.1892,8.4914,12.4457,-1.5123,44.3514,285026000
2011-01-28,180,2010-05-14,2011-01-28,12.0036,10.0858,10.2139,119.0148,117.5216,8.4914,12.4457,-3.5526,41.361,592057200
2011-01-31,180,2010-05-17,2011-01-31,12.1186,10.1015,10.2309,119.9679,118.4507,8.4914,12.4457,-2.6286,42.7153,377246800
2011-02-01,180,2010-05-18,2011-02-01,12.3225,10.118,10.2489,121.7882,120.2323,8.4914,12.4457,-0.99,45.1169,426633200
2011-02-02,180,2010-05-19,2011-02-02,12.2971,10.1349,10.2672,121.3352,119.7716,8.4914,12.4457,-1.1938,44.8183,258955200
2011-02-03,180,2010-05-20,2011-02-03,12.2657,10.1527,10.286,120.8123,119.2464,8.4914,12.4457,-1.4463,44.4482,393797600
2011-02-04,180,2010-05-21,2011-02-04,12.375,10.1739,10.3076,121.6346,120.057,8.5689,12.4457,-0.5682,44.4171,321840400
2011-02-07,180,2010-05-24,2011-02-07,12.5671,10.1946,10.3293,123.272,121.6645,8.5689,12.5671,0.0,46.6594,485021600
2011-02-08,180,2010-05-25,2011-02-08,12.6857,10.2147,10.3509,124.191,122.5571,8.5689,12.6857,0.0,48.0432,381040800
2011-02-09,180,2010-05-26,2011-02-09,12.7914,10.2356,10.3733,124.97,123.3115,8.5689,12.7914,0.0,49.2769,482745200
2011-02-10,180,2010-05-27,2011-02-10,12.6621,10.2564,10.3952,123.4556,121.8079,8.5689,12.7914,-1.0107,47.7681,928550000
2011-02-11,180,2010-05-28,2011-02-11,12.7446,10.2752,10.4157,124.033,122.3598,8.5689,12.7914,-0.3658,48.7309,367572800
2011-02-14,180,2010-06-01,2011-02-14,12.8279,10.2934,10.436,124.6216,122.9192,8.5689,12.8279,0.0,49.702,310416400
2011-02-15,180,2010-06-02,2011-02-15,12.8536,10.3109,10.4557,124.6604,122.934,8.5689,12.8536,0.0,50.0021,284174800
2011-02-16,180,2010-06-03,2011-02-16,12.9689,10.328,10.4753,125.5705,123.8043,8.5689,12.9689,0.0,51.3483,481157600
2011-02-17,180,2010-06-04,2011-02-17,12.7964,10.3448,10.4942,123.6993,121.9378,8.5689,12.9689,-1.3301,49.3352,530583200
2011-02-18,180,2010-06-07,2011-02-18,12.52,10.3624,10.513,120.8218,119.0906,8.5689,12.9689,-3.4616,46.1093,816057200
2011-02-22,180,2010-06-08,2011-02-22,12.0932,10.3796,10.5304,116.5091,114.841,8.5689,12.9689,-6.7524,41.1287,872555600
2011-02-23,180,2010-06-09,2011-02-23,12.2364,10.398,10.5489,117.681,115.9972,8.5689,12.9689,-5.6481,42.8,671854400
2011-02-24,180,2010-06-10,2011-02-24,12.2457,10.4181,10.5687,117.5426,115.8679,8.5689,12.9689,-5.5765,42.9083,499900800
2011-02-25,180,2010-06-11,2011-02-25,12.4343,10.437,10.5881,119.1361,117.4369,8.5689,12.9689,-4.1225,45.109,380018800
2011-02-28,180,2010-06-14,2011-02-28,12.6146,10.4559,10.6078,120.6456,118.9181,8.5689,12.9689,-2.7318,47.2138,403074000
2011-03-01,180,2010-06-15,2011-03-01,12.4754,10.4742,10.6267,119.1059,117.3964,8.5689,12.9689,-3.8058,45.5883,456136800
2011-03-02,180,2010-06-16,2011-03-02,12.5757,10.4915,10.645,119.8663,118.1369,8.5689,12.9689,-3.032,46.7595,602590800
2011-03-03,180,2010-06-17,2011-03-03,12.8414,10.5079,10.6633,122.2071,120.4259,8.5689,12.9689,-0.9831,49.8604,500788400
2011-03-04,180,2010-06-18,2011-03-04,12.8571,10.5234,10.6808,122.1765,120.3758,8.5689,12.9689,-0.862,50.0438,453266800
2011-03-07,180,2010-06-21,2011-03-07,12.6914,10.5378,10.697,120.437,118.6451,8.5689,12.9689,-2.1397,48.1099,546123200
2011-03-08,180,2010-06-22,2011-03-08,12.7057,10.5532,10.7139,120.3966,118.5904,8.5689,12.9689,-2.0296,48.2766,356316800
2011-03-09,180,2010-06-23,2011-03-09,12.5882,10.5673,10.7295,119.1237,117.3229,8.5689,12.9689,-2.9356,46.9053,453306000
2011-03-10,180,2010-06-24,2011-03-10,12.3811,10.5814,10.7446,117.0083,115.231,8.5689,12.9689,-4.5328,44.488,507539200
2011-03-11,180,2010-06-25,2011-03-11,12.5711,10.5967,10.761,118.6325,116.8203,8.5689,12.9689,-3.0678,46.7053,471080400
2011-03-14,180,2010-06-28,2011-03-14,12.6271,10.6128,10.7783,118.9807,117.1538,8.5689,12.9689,-2.6354,47.3596,435957200
2011-03-15,180,2010-06-29,2011-03-15,12.3368,10.6274,10.7936,116.0851,114.2976,8.5689,12.9689,-4.8743,43.9712,721081200
