date,window_trading_days,window_start,window_end,close,fixed_amount_dca_cost,moving_avg_180,price_to_dca_pct,price_to_ma_pct,min_close_in_window,max_close_in_window,drawdown_from_window_high_pct,above_window_low_pct,volume
2010-09-20,180,2010-01-04,2010-09-20,33.11,32.001,32.2939,103.4654,102.527,26.34,37.7,-12.1751,25.7024,8431600
2010-09-21,180,2010-01-05,2010-09-21,32.94,31.9817,32.2709,102.9964,102.0734,26.34,37.7,-12.626,25.0569,24824300
2010-09-22,180,2010-01-06,2010-09-22,26.67,31.9195,32.2096,83.554,82.8014,26.34,37.62,-29.1069,1.2528,108752400
2010-09-23,180,2010-01-07,2010-09-23,26.41,31.8558,32.1473,82.9049,82.153,26.34,36.95,-28.525,0.2658,31770800
2010-09-24,180,2010-01-08,2010-09-24,26.88,31.7989,32.0917,84.5311,83.7599,26.34,36.95,-27.253,2.0501,23950500
2010-09-27,180,2010-01-11,2010-09-27,26.88,31.7432,32.0372,84.6796,83.9024,26.34,36.95,-27.253,2.0501,11294500
2010-09-28,180,2010-01-12,2010-09-28,26.28,31.6849,31.9821,82.9418,82.1711,26.28,36.95,-28.8769,0.0,25302600
2010-09-29,180,2010-01-13,2010-09-29,26.04,31.6272,31.9286,82.3342,81.5569,26.04,36.95,-29.5264,0.0,14196200
2010-09-30,180,2010-01-14,2010-09-30,26.15,31.568,31.8723,82.8372,82.0461,26.04,36.95,-29.2287,0.4224,17408200
2010-10-01,180,2010-01-15,2010-10-01,26.27,31.5115,31.8188,83.3663,82.5612,26.04,36.95,-28.9039,0.8833,8923400
2010-10-04,180,2010-01-19,2010-10-04,25.6,31.45,31.7618,81.3992,80.6,25.6,36.95,-30.7172,0.0,12822500
2010-10-05,180,2010-01-20,2010-10-05,25.77,31.3856,31.6997,82.1078,81.2942,25.6,36.51,-29.4166,0.6641,14809600
2010-10-06,180,2010-01-21,2010-10-06,25.73,31.323,31.6399,82.1442,81.3214,25.6,36.51,-29.5262,0.5078,12636900
2010-10-07,180,2010-01-22,2010-10-07,28.69,31.2852,31.6003,91.7047,90.7903,25.6,36.51,-21.4188,12.0703,66892700
2010-10-08,180,2010-01-25,2010-10-08,26.99,31.242,31.5592,86.3902,85.5218,25.6,36.51,-26.075,5.4297,44108800
2010-10-11,180,2010-01-26,2010-10-11,27.25,31.2018,31.5208,87.3348,86.4508,25.6,36.51,-25.3629,6.4453,10459000
2010-10-12,180,2010-01-27,2010-10-12,27.66,31.1656,31.4859,88.7517,87.8487,25.6,36.51,-24.2399,8.0469,10274400
2010-10-13,180,2010-01-28,2010-10-13,27.71,31.1337,31.4558,89.0031,88.0919,25.6,36.51,-24.103,8.2422,9441600
2010-10-14,180,2010-01-29,2010-10-14,27.49,31.1016,31.4258,88.3877,87.476,25.6,36.51,-24.7056,7.3828,7435600
2010-10-15,180,2010-02-01,2010-10-15,28.08,31.0766,31.4023,90.3573,89.4201,25.6,36.51,-23.0896,9.6875,20402000
2010-10-18,180,2010-02-02,2010-10-18,28.06,31.0506,31.3778,90.3685,89.4263,25.6,36.51,-23.1443,9.6094,8068200
2010-10-19,180,2010-02-03,2010-10-19,27.58,31.0189,31.3478,88.9136,87.9807,25.6,36.51,-24.459,7.7344,9833100
