date,window_trading_days,window_start,window_end,close,fixed_amount_dca_cost,moving_avg_180,price_to_dca_pct,price_to_ma_pct,min_close_in_window,max_close_in_window,drawdown_from_window_high_pct,above_window_low_pct,volume
2010-09-20,180,2010-01-04,2010-09-20,11.16,12.5198,12.6022,89.1391,88.5562,10.37,14.87,-24.9496,7.6181,19301400
2010-09-21,180,2010-01-05,2010-09-21,11.25,12.5033,12.5852,89.9765,89.3906,10.37,14.87,-24.3443,8.486,26799500
2010-09-22,180,2010-01-06,2010-09-22,11.16,12.4867,12.5684,89.3753,88.7942,10.37,14.87,-24.9496,7.6181,20741400
2010-09-23,180,2010-01-07,2010-09-23,11.29,12.4711,12.5524,90.529,89.9426,10.37,14.87,-24.0753,8.8717,22513800
2010-09-24,180,2010-01-08,2010-09-24,11.63,12.4585,12.5392,93.3497,92.749,10.37,14.87,-21.7888,12.1504,22056300
2010-09-27,180,2010-01-11,2010-09-27,11.54,12.4431,12.5225,92.7422,92.1541,10.37,14.87,-22.3941,11.2825,12055600
2010-09-28,180,2010-01-12,2010-09-28,11.73,12.4276,12.5051,94.3865,93.8021,10.37,14.47,-18.9357,13.1148,21370600
2010-09-29,180,2010-01-13,2010-09-29,11.68,12.4146,12.4911,94.0827,93.5069,10.37,14.47,-19.2813,12.6326,21920400
2010-09-30,180,2010-01-14,2010-09-30,11.68,12.4013,12.4767,94.1836,93.6147,10.37,14.47,-19.2813,12.6326,23697300
2010-10-01,180,2010-01-15,2010-10-01,11.71,12.3879,12.462,94.5277,93.9657,10.37,14.47,-19.0739,12.9219,18017200
2010-10-04,180,2010-01-19,2010-10-04,11.49,12.3758,12.4496,92.8424,92.2925,10.37,14.47,-20.5943,10.8004,15753100
2010-10-05,180,2010-01-20,2010-10-05,11.86,12.365,12.4378,95.916,95.3542,10.37,14.47,-18.0373,14.3684,20998300
2010-10-06,180,2010-01-21,2010-10-06,11.73,12.3541,12.4263,94.948,94.3963,10.37,14.47,-18.9357,13.1148,18998300
2010-10-07,180,2010-01-22,2010-10-07,11.73,12.3443,12.4161,95.0237,94.4744,10.37,14.47,-18.9357,13.1148,18464100
2010-10-08,180,2010-01-25,2010-10-08,11.82,12.3397,12.4116,95.7884,95.2338,10.37,14.47,-18.3138,13.9826,25834800
2010-10-11,180,2010-01-26,2010-10-11,11.82,12.3351,12.407,95.8244,95.2688,10.37,14.47,-18.3138,13.9826,14540100
2010-10-12,180,2010-01-27,2010-10-12,11.96,12.3312,12.4032,96.9897,96.427,10.37,14.47,-17.3462,15.3327,18305200
2010-10-13,180,2010-01-28,2010-10-13,11.97,12.3254,12.3972,97.1164,96.5539,10.37,14.47,-17.2771,15.4291,16470800
2010-10-14,180,2010-01-29,2010-10-14,11.91,12.3215,12.3933,96.6604,96.1001,10.37,14.47,-17.6918,14.8505,16167200
2010-10-15,180,2010-02-01,2010-10-15,12.02,12.3206,12.3924,97.5605,96.9946,10.37,14.47,-16.9316,15.9113,20040300
2010-10-18,180,2010-02-02,2010-10-18,11.95,12.3174,12.3893,97.0176,96.4544,10.37,14.47,-17.4153,15.2363,13884500
2010-10-19,180,2010-02-03,2010-10-19,11.78,12.3132,12.3852,95.6699,95.1134,10.37,14.47,-18.5902,13.5969,26954500
2010-10-20,180,2010-02-04,2010-10-20,11.94,12.3112,12.3833,96.9847,96.4199,10.37,14.47,-17.4845,15.1398,16526500
2010-10-21,180,2010-02-05,2010-10-21,11.9,12.3118,12.3839,96.655,96.0926,10.37,14.47,-17.7609,14.7541,14562000
2010-10-22,180,2010-02-08,2010-10-22,12.13,12.3113,12.3833,98.5277,97.9542,10.37,14.47,-16.1714,16.972,18248400
2010-10-25,180,2010-02-09,2010-10-25,12.15,12.3117,12.3838,98.6865,98.1122,10.37,14.47,-16.0332,17.1649,12380000
2010-10-26,180,2010-02-10,2010-10-26,12.09,12.3114,12.3834,98.2019,97.6303,10.37,14.47,-16.4478,16.5863,11561600
2010-10-27,180,2010-02-11,2010-10-27,12.24,12.3114,12.3835,99.4198,98.8412,10.37,14.47,-15.4112,18.0328,11833100
2010-10-28,180,2010-02-12,2010-10-28,12.25,12.3102,12.3823,99.5108,98.9317,10.37,14.47,-15.3421,18.1292,12635800
2010-10-29,180,2010-02-16,2010-10-29,12.35,12.3096,12.3816,100.3285,99.7447,10.37,14.47,-14.651,19.0935,11137400
2010-11-01,180,2010-02-17,2010-11-01,12.37,12.3065,12.3784,100.5159,99.9322,10.37,14.47,-14.5128,19.2864,16335500
2010-11-02,180,2010-02-18,2010-11-02,12.48,12.3039,12.3756,101.4315,100.844,10.37,14.47,-13.7526,20.3472,11575000
2010-11-03,180,2010-02-19,2010-11-03,12.54,12.3031,12.3748,101.9253,101.3352,10.37,14.47,-13.3379,20.9257,12324600
2010-11-04,180,2010-02-22,2010-11-04,12.89,12.3052,12.3769,104.7528,104.1453,10.37,14.47,-10.9191,24.3009,16341100
2010-11-05,180,2010-02-23,2010-11-05,12.98,12.3079,12.3799,105.4605,104.8475,10.37,14.47,-10.2972,25.1688,15163400
2010-11-08,180,2010-02-24,2010-11-08,12.8,12.3122,12.3843,103.9615,103.3569,10.37,14.47,-11.5411,23.433,16470300
2010-11-09,180,2010-02-25,2010-11-09,12.82,12.3152,12.3873,104.0991,103.4928,10.37,14.47,-11.4029,23.6258,14443400
2010-11-10,180,2010-02-26,2010-11-10,12.85,12.3186,12.3908,104.314,103.7057,10.37,14.47,-11.1956,23.9151,15705600
2010-11-11,180,2010-03-01,2010-11-11,12.63,12.3207,12.393,102.5104,101.9124,10.37,14.47,-12.716,21.7936,15040400
2010-11-12,180,2010-03-02,2010-11-12,12.59,12.3212,12.3935,102.1817,101.5855,10.37,14.47,-12.9924,21.4079,14686500
2010-11-15,180,2010-03-03,2010-11-15,12.61,12.3222,12.3946,102.3356,101.7382,10.37,14.47,-12.8542,21.6008,12628100
2010-11-16,180,2010-03-04,2010-11-16,12.46,12.3226,12.3949,101.1151,100.5249,10.37,14.47,-13.8908,20.1543,17121600
2010-11-17,180,2010-03-05,2010-11-17,12.38,12.3233,12.3956,100.4605,99.8741,10.37,14.47,-14.4437,19.3828,14793200
2010-11-18,180,2010-03-08,2010-11-18,12.65,12.3252,12.3976,102.6352,102.0358,10.37,14.47,-12.5777,21.9865,21840500
2010-11-19,180,2010-03-09,2010-11-19,12.53,12.3261,12.3986,101.6539,101.0602,10.37,14.47,-13.407,20.8293,16923000
2010-11-22,180,2010-03-10,2010-11-22,12.53,12.3275,12.3999,101.6431,101.0493,10.37,14.47,-13.407,20.8293,15045100
2010-11-23,180,2010-03-11,2010-11-23,12.41,12.3268,12.3992,100.6749,100.0869,10.37,14.47,-14.2364,19.6721,11613000
2010-11-24,180,2010-03-12,2010-11-24,12.59,12.3278,12.4002,102.1271,101.5304,10.37,14.47,-12.9924,21.4079,11024600
2010-11-26,180,2010-03-15,2010-11-26,12.53,12.3287,12.4012,101.6328,101.0389,10.37,14.47,-13.407,20.8293,4026200
2010-11-29,180,2010-03-16,2010-11-29,12.52,12.3303,12.4028,101.5385,100.9451,10.37,14.47,-13.4762,20.7329,16730700
2010-11-30,180,2010-03-17,2010-11-30,12.43,12.3302,12.4027,100.8095,100.2204,10.37,14.47,-14.0981,19.865,13217200
2010-12-01,180,2010-03-18,2010-12-01,12.77,12.3308,12.4033,103.5621,102.9567,10.37,14.47,-11.7484,23.1437,13969100
2010-12-02,180,2010-03-19,2010-12-02,12.91,12.3322,12.4048,104.6852,104.0723,10.37,14.47,-10.7809,24.4937,12568700
2010-12-03,180,2010-03-22,2010-12-03,13.06,12.3352,12.408,105.8761,105.2547,10.37,14.47,-9.7443,25.9402,10377000
2010-12-06,180,2010-03-23,2010-12-06,13.02,12.3364,12.4093,105.5414,104.921,10.37,14.47,-10.0207,25.5545,8239600
2010-12-07,180,2010-03-24,2010-12-07,12.99,12.3352,12.4079,105.3087,104.691,10.37,14.47,-10.2281,25.2652,12500200
2010-12-08,180,2010-03-25,2010-12-08,13.04,12.3354,12.4082,105.7124,105.0921,10.37,14.47,-9.8825,25.7473,10391400
2010-12-09,180,2010-03-26,2010-12-09,13.28,12.3359,12.4088,107.6529,107.0205,10.37,14.47,-8.2239,28.0617,11491800
2010-12-10,180,2010-03-29,2010-12-10,13.36,12.3367,12.4097,108.2951,107.658,10.37,14.47,-7.671,28.8332,9901400
