date,window_trading_days,window_start,window_end,close,fixed_amount_dca_cost,moving_avg_180,price_to_dca_pct,price_to_ma_pct,min_close_in_window,max_close_in_window,drawdown_from_window_high_pct,above_window_low_pct,volume
2010-09-20,180,2010-01-04,2010-09-20,6.09,7.941,8.1113,76.6901,75.0806,5.61,10.16,-40.0591,8.5561,22871300
2010-09-21,180,2010-01-05,2010-09-21,6.17,7.9204,8.0917,77.8997,76.2513,5.61,10.16,-39.2717,9.9822,20615600
2010-09-22,180,2010-01-06,2010-09-22,6.26,7.9007,8.0725,79.2334,77.5472,5.61,10.16,-38.3858,11.5865,27117300
2010-09-23,180,2010-01-07,2010-09-23,6.4,7.8828,8.0549,81.1894,79.4549,5.61,10.16,-37.0079,14.082,39689700
2010-09-24,180,2010-01-08,2010-09-24,6.84,7.8688,8.0403,86.9255,85.0717,5.61,10.16,-32.6772,21.9251,53726900
2010-09-27,180,2010-01-11,2010-09-27,7.02,7.8563,8.0269,89.355,87.4561,5.61,10.16,-30.9055,25.1337,56266900
2010-09-28,180,2010-01-12,2010-09-28,6.95,7.8445,8.0147,88.5971,86.7154,5.61,10.16,-31.5945,23.8859,32223300
2010-09-29,180,2010-01-13,2010-09-29,7.28,7.8371,8.0071,92.8918,90.9192,5.61,10.16,-28.3465,29.7683,44249400
2010-09-30,180,2010-01-14,2010-09-30,7.11,7.8264,7.9958,90.8465,88.9219,5.61,10.16,-30.0197,26.738,38514800
2010-10-01,180,2010-01-15,2010-10-01,7.05,7.8159,7.9849,90.2003,88.2912,5.61,10.16,-30.6102,25.6684,27510600
2010-10-04,180,2010-01-19,2010-10-04,6.94,7.8054,7.9744,88.9123,87.0286,5.61,10.16,-31.6929,23.7077,23042400
2010-10-05,180,2010-01-20,2010-10-05,6.98,7.7945,7.9631,89.5499,87.6542,5.61,10.16,-31.2992,24.4207,36286400
2010-10-06,180,2010-01-21,2010-10-06,6.86,7.7834,7.9519,88.1363,86.2682,5.61,10.16,-32.4803,22.2816,23477400
2010-10-07,180,2010-01-22,2010-10-07,6.87,7.7719,7.9402,88.3958,86.5221,5.61,10.16,-32.3819,22.4599,21005600
2010-10-08,180,2010-01-25,2010-10-08,7.05,7.7669,7.9356,90.7703,88.8407,5.61,10.16,-30.6102,25.6684,25394100
2010-10-11,180,2010-01-26,2010-10-11,7.24,7.7621,7.9309,93.2738,91.288,5.61,10.16,-28.7402,29.0553,24687300
2010-10-12,180,2010-01-27,2010-10-12,7.3,7.7576,7.9266,94.101,92.0955,5.61,10.16,-28.1496,30.1248,27727500
2010-10-13,180,2010-01-28,2010-10-13,7.22,7.7521,7.9212,93.1356,91.1482,5.61,10.16,-28.937,28.6988,32283000
2010-10-14,180,2010-01-29,2010-10-14,7.14,7.7478,7.9171,92.1558,90.185,5.61,10.16,-29.7244,27.2727,36306700
2010-10-15,180,2010-02-01,2010-10-15,7.12,7.7456,7.9152,91.9229,89.9539,5.61,10.16,-29.9213,26.9162,37688100
2010-10-18,180,2010-02-02,2010-10-18,6.96,7.7395,7.9095,89.9283,87.9954,5.61,10.16,-31.4961,24.0642,26657500
2010-10-19,180,2010-02-03,2010-10-19,6.95,7.7337,7.9042,89.8665,87.9283,5.61,10.16,-31.5945,23.8859,39344200
2010-10-20,180,2010-02-04,2010-10-20,6.82,7.7275,7.8987,88.2559,86.3437,5.61,10.16,-32.874,21.5686,45596700
2010-10-21,180,2010-02-05,2010-10-21,6.89,7.7255,7.897,89.185,87.2483,5.61,10.16,-32.185,22.8164,23156100
2010-10-22,180,2010-02-08,2010-10-22,6.89,7.7225,7.8944,89.2197,87.2766,5.61,10.16,-32.185,22.8164,21180100
2010-10-25,180,2010-02-09,2010-10-25,7.26,7.7215,7.8936,94.0229,91.9738,5.61,10.16,-28.5433,29.4118,37042200
2010-10-26,180,2010-02-10,2010-10-26,7.2,7.7194,7.8917,93.2709,91.2355,5.61,10.16,-29.1339,28.3422,16114600
2010-10-27,180,2010-02-11,2010-10-27,7.35,7.7177,7.8901,95.2352,93.1552,5.61,10.16,-27.6575,31.016,18477100
2010-10-28,180,2010-02-12,2010-10-28,7.63,7.7166,7.8889,98.878,96.7183,5.61,10.16,-24.9016,36.0071,32454500
2010-10-29,180,2010-02-16,2010-10-29,7.34,7.7135,7.8859,95.1573,93.077,5.61,10.16,-27.7559,30.8378,26841400
2010-11-01,180,2010-02-17,2010-11-01,7.36,7.7096,7.8821,95.4648,93.3767,5.61,10.16,-27.5591,31.1943,20604400
