date,window_trading_days,window_start,window_end,close,fixed_amount_dca_cost,moving_avg_180,price_to_dca_pct,price_to_ma_pct,min_close_in_window,max_close_in_window,drawdown_from_window_high_pct,above_window_low_pct,volume
2010-09-20,180,2010-01-04,2010-09-20,7.565,6.3482,6.3786,119.1669,118.5988,5.4305,7.565,0.0,39.3058,128988000
2010-09-21,180,2010-01-05,2010-09-21,7.5365,6.352,6.3833,118.6481,118.0654,5.4305,7.565,-0.3767,38.781,150840000
2010-09-22,180,2010-01-06,2010-09-22,7.5915,6.3557,6.3881,119.4433,118.8384,5.4305,7.5915,0.0,39.7938,132248000
2010-09-23,180,2010-01-07,2010-09-23,7.6425,6.3603,6.3938,120.1592,119.5297,5.4305,7.6425,0.0,40.7329,141312000
2010-09-24,180,2010-01-08,2010-09-24,8.0365,6.3669,6.4023,126.2225,125.5243,5.4305,8.0365,0.0,47.9882,211812000
2010-09-27,180,2010-01-11,2010-09-27,7.9685,6.3724,6.4095,125.0469,124.3228,5.4305,8.0365,-0.8461,46.736,128926000
2010-09-28,180,2010-01-12,2010-09-28,7.985,6.3788,6.4177,125.1805,124.4217,5.4305,8.0365,-0.6408,47.0399,169884000
2010-09-29,180,2010-01-13,2010-09-29,7.9495,6.3859,6.4265,124.486,123.6992,5.4305,8.0365,-1.0826,46.3862,145750000
2010-09-30,180,2010-01-14,2010-09-30,7.853,6.3921,6.4342,122.8546,122.0501,5.4305,8.0365,-2.2833,44.6092,152120000
2010-10-01,180,2010-01-15,2010-10-01,7.6855,6.3982,6.4416,120.1192,119.3111,5.4305,8.0365,-4.3676,41.5247,173668000
2010-10-04,180,2010-01-19,2010-10-04,7.7695,6.4047,6.4494,121.3086,120.4684,5.4305,8.0365,-3.3223,43.0715,106930000
2010-10-05,180,2010-01-20,2010-10-05,8.0435,6.4121,6.4587,125.4419,124.5384,5.4305,8.0435,0.0,48.1171,112400000
2010-10-06,180,2010-01-21,2010-10-06,7.77,6.4191,6.4669,121.0457,120.1507,5.4305,8.0435,-3.4003,43.0807,121216000
2010-10-07,180,2010-01-22,2010-10-07,7.8135,6.4259,6.4751,121.5933,120.6697,5.4305,8.0435,-2.8595,43.8818,92440000
2010-10-08,180,2010-01-25,2010-10-08,7.7775,6.4342,6.4846,120.8769,119.9382,5.4305,8.0435,-3.307,43.2189,138368000
2010-10-11,180,2010-01-26,2010-10-11,7.6515,6.4424,6.4937,118.7676,117.8299,5.4305,8.0435,-4.8735,40.8986,89728000
2010-10-12,180,2010-01-27,2010-10-12,7.824,6.4516,6.504,121.2731,120.296,5.4305,8.0435,-2.7289,44.0751,105616000
2010-10-13,180,2010-01-28,2010-10-13,7.7585,6.4594,6.513,120.1111,119.124,5.4305,8.0435,-3.5432,42.869,112656000
2010-10-14,180,2010-01-29,2010-10-14,7.7765,6.4664,6.5212,120.2597,119.2503,5.4305,8.0435,-3.3195,43.2004,80482000
2010-10-15,180,2010-02-01,2010-10-15,8.232,6.4753,6.5321,127.13,126.0246,5.4305,8.232,0.0,51.5883,202710000
2010-10-18,180,2010-02-02,2010-10-18,8.178,6.486,6.5445,126.0872,124.9605,5.4305,8.232,-0.656,50.5939,126626000
2010-10-19,180,2010-02-03,2010-10-19,7.9335,6.4961,6.5557,122.1268,121.0162,5.4305,8.232,-3.6261,46.0915,150500000
2010-10-20,180,2010-02-04,2010-10-20,7.9335,6.5059,6.5667,121.9422,120.8136,5.4305,8.232,-3.6261,46.0915,115808000
2010-10-21,180,2010-02-05,2010-10-21,8.2485,6.518,6.5803,126.549,125.3506,5.4305,8.2485,0.0,51.8921,269650000
2010-10-22,180,2010-02-08,2010-10-22,8.4565,6.5304,6.5947,129.4953,128.2314,5.4305,8.4565,0.0,55.7223,326368000
2010-10-25,180,2010-02-09,2010-10-25,8.45,6.5429,6.6092,129.1477,127.8519,5.4305,8.4565,-0.0769,55.6026,130618000
2010-10-26,180,2010-02-10,2010-10-26,8.4975,6.5552,6.6236,129.6293,128.2907,5.4305,8.4975,0.0,56.4773,93792000
2010-10-27,180,2010-02-11,2010-10-27,8.3755,6.5674,6.6376,127.5308,126.1834,5.4305,8.4975,-1.4357,54.2307,114436000
2010-10-28,180,2010-02-12,2010-10-28,8.342,6.5786,6.6505,126.8044,125.4333,5.4305,8.4975,-1.8299,53.6138,93688000
2010-10-29,180,2010-02-16,2010-10-29,8.2615,6.5897,6.6632,125.3692,123.9869,5.4305,8.4975,-2.7773,52.1315,99970000
2010-11-01,180,2010-02-17,2010-11-01,8.129,6.6011,6.6757,123.1455,121.7696,5.4305,8.4975,-4.3366,49.6916,104798000
2010-11-02,180,2010-02-18,2010-11-02,8.2305,6.6134,6.6891,124.4524,123.0428,5.4305,8.4975,-3.1421,51.5606,85200000
2010-11-03,180,2010-02-19,2010-11-03,8.4235,6.6257,6.7031,127.1337,125.6651,5.4305,8.4975,-0.8708,55.1146,122242000
2010-11-04,180,2010-02-22,2010-11-04,8.4465,6.6384,6.7174,127.2378,125.7404,5.4305,8.4975,-0.6002,55.5382,147918000
2010-11-05,180,2010-02-23,2010-11-05,8.5385,6.6512,6.7321,128.3753,126.8332,5.4305,8.5385,0.0,57.2323,104244000
2010-11-08,180,2010-02-24,2010-11-08,8.5995,6.6646,6.7473,129.033,127.4514,5.4305,8.5995,0.0,58.3556,114120000
2010-11-09,180,2010-02-25,2010-11-09,8.5135,6.6768,6.7613,127.508,125.9148,5.4305,8.5995,-1.0001,56.7719,79572000
2010-11-10,180,2010-02-26,2010-11-10,8.6665,6.6902,6.7766,129.5404,127.888,5.4305,8.6665,0.0,59.5894,108806000
2010-11-11,180,2010-03-01,2010-11-11,8.5185,6.703,6.7911,127.0843,125.4368,5.4305,8.6665,-1.7077,56.864,113834000
2010-11-12,180,2010-03-02,2010-11-12,8.284,6.713,6.8025,123.4024,121.7788,5.4305,8.6665,-4.4135,52.5458,143212000
2010-11-15,180,2010-03-03,2010-11-15,7.945,6.7214,6.8118,118.2048,116.6364,5.4305,8.6665,-8.3252,46.3033,192972000
2010-11-16,180,2010-03-04,2010-11-16,7.889,6.7295,6.8206,117.2309,115.6639,5.4305,8.6665,-8.9713,45.2721,131428000
2010-11-17,180,2010-03-05,2010-11-17,7.9175,6.7368,6.8289,117.5255,115.9409,5.4305,8.6665,-8.6425,45.7969,90498000
2010-11-18,180,2010-03-08,2010-11-18,8.2085,6.7452,6.8387,121.6931,120.0301,5.4305,8.6665,-5.2847,51.1555,124506000
2010-11-19,180,2010-03-09,2010-11-19,8.241,6.7534,6.8483,122.0267,120.3357,5.4305,8.6665,-4.9097,51.754,89296000
2010-11-22,180,2010-03-10,2010-11-22,8.5195,6.763,6.8599,125.9713,124.1929,5.4305,8.6665,-1.6962,56.8824,122850000
2010-11-23,180,2010-03-11,2010-11-23,8.41,6.7718,6.8704,124.1918,122.4099,5.4305,8.6665,-2.9597,54.866,129306000
2010-11-24,180,2010-03-12,2010-11-24,8.8625,6.7812,6.8825,130.6923,128.7688,5.4305,8.8625,0.0,63.1986,200850000
2010-11-26,180,2010-03-15,2010-11-26,8.86,6.7911,6.8951,130.4641,128.4971,5.4305,8.8625,-0.0282,63.1526,85432000
2010-11-29,180,2010-03-16,2010-11-29,8.9745,6.8017,6.9085,131.9453,129.9046,5.4305,8.9745,0.0,65.261,193900000
2010-11-30,180,2010-03-17,2010-11-30,8.77,6.8114,6.9206,128.7548,126.7223,5.4305,8.9745,-2.2787,61.4953,135244000
2010-12-01,180,2010-03-18,2010-12-01,8.8275,6.8215,6.9332,129.4078,127.3221,5.4305,8.9745,-1.638,62.5541,115402000
2010-12-02,180,2010-03-19,2010-12-02,8.8265,6.8311,6.9454,129.21,127.0848,5.4305,8.9745,-1.6491,62.5357,110752000
2010-12-03,180,2010-03-22,2010-12-03,8.784,6.8414,6.958,128.3946,126.244,5.4305,8.9745,-2.1227,61.7531,98150000
2010-12-06,180,2010-03-23,2010-12-06,8.9025,6.8521,6.9712,129.9241,127.7045,5.4305,8.9745,-0.8023,63.9352,113084000
2010-12-07,180,2010-03-24,2010-12-07,8.8385,6.8629,6.9844,128.7859,126.5469,5.4305,8.9745,-1.5154,62.7567,101542000
2010-12-08,180,2010-03-25,2010-12-08,8.8145,6.8741,6.9978,128.2268,125.9616,5.4305,8.9745,-1.7828,62.3147,74538000
