date,window_trading_days,window_start,window_end,close,fixed_amount_dca_cost,moving_avg_180,price_to_dca_pct,price_to_ma_pct,min_close_in_window,max_close_in_window,drawdown_from_window_high_pct,above_window_low_pct,volume
2010-09-20,180,2010-01-04,2010-09-20,2.063,2.0085,2.0215,102.7138,102.0518,1.68,2.335,-11.6488,22.7976,12498000
2010-09-21,180,2010-01-05,2010-09-21,2.077,2.0096,2.0226,103.3546,102.6905,1.68,2.335,-11.0493,23.631,9719000
2010-09-22,180,2010-01-06,2010-09-22,2.076,2.0106,2.0236,103.2534,102.5914,1.68,2.335,-11.0921,23.5714,14238000
2010-09-23,180,2010-01-07,2010-09-23,2.133,2.0118,2.0248,106.0252,105.3452,1.68,2.335,-8.651,26.9643,10337000
2010-09-24,180,2010-01-08,2010-09-24,2.158,2.0132,2.0262,107.1934,106.5054,1.68,2.335,-7.5803,28.4524,7934000
2010-09-27,180,2010-01-11,2010-09-27,2.195,2.0147,2.0277,108.9507,108.2489,1.68,2.335,-5.9957,30.6548,6663000
2010-09-28,180,2010-01-12,2010-09-28,2.23,2.0163,2.0294,110.6013,109.8844,1.68,2.335,-4.4968,32.7381,6547000
2010-09-29,180,2010-01-13,2010-09-29,2.233,2.018,2.0313,110.6527,109.932,1.68,2.335,-4.3683,32.9167,3880000
2010-09-30,180,2010-01-14,2010-09-30,2.251,2.0203,2.0335,111.4213,110.6943,1.68,2.335,-3.5974,33.9881,10464000
2010-10-01,180,2010-01-15,2010-10-01,2.263,2.0225,2.0359,111.8887,111.1569,1.68,2.335,-3.0835,34.7024,6330000
2010-10-04,180,2010-01-19,2010-10-04,2.231,2.0248,2.0381,110.1825,109.4635,1.68,2.335,-4.454,32.7976,7856000
2010-10-05,180,2010-01-20,2010-10-05,2.245,2.0275,2.0407,110.7292,110.0113,1.68,2.335,-3.8544,33.631,4099000
2010-10-06,180,2010-01-21,2010-10-06,2.228,2.0299,2.0431,109.7571,109.05,1.68,2.335,-4.5824,32.619,10263000
2010-10-07,180,2010-01-22,2010-10-07,2.288,2.0327,2.0458,112.5619,111.838,1.68,2.335,-2.0128,36.1905,8158000
2010-10-08,180,2010-01-25,2010-10-08,2.22,2.0354,2.0484,109.0697,108.3776,1.68,2.335,-4.9251,32.1429,11144000
2010-10-11,180,2010-01-26,2010-10-11,2.234,2.0381,2.051,109.6099,108.9225,1.68,2.335,-4.3255,32.9762,3876000
2010-10-12,180,2010-01-27,2010-10-12,2.202,2.0407,2.0534,107.9066,107.2385,1.68,2.335,-5.6959,31.0714,8550000
2010-10-13,180,2010-01-28,2010-10-13,2.2,2.0434,2.0559,107.6621,107.0082,1.68,2.335,-5.7816,30.9524,9490000
2010-10-14,180,2010-01-29,2010-10-14,2.242,2.0462,2.0585,109.5701,108.9128,1.68,2.335,-3.9829,33.4524,8488000
2010-10-15,180,2010-02-01,2010-10-15,2.269,2.0493,2.0615,110.7199,110.0667,1.68,2.335,-2.8266,35.0595,8650000
2010-10-18,180,2010-02-02,2010-10-18,2.274,2.0524,2.0644,110.7975,110.1537,1.68,2.335,-2.6124,35.3571,4626000
2010-10-19,180,2010-02-03,2010-10-19,2.239,2.0552,2.067,108.945,108.3215,1.68,2.335,-4.1113,33.2738,5217000
2010-10-20,180,2010-02-04,2010-10-20,2.21,2.0579,2.0695,107.3927,106.7899,1.68,2.335,-5.3533,31.5476,3061000
2010-10-21,180,2010-02-05,2010-10-21,2.195,2.0608,2.0721,106.5112,105.9306,1.68,2.335,-5.9957,30.6548,3467000
2010-10-22,180,2010-02-08,2010-10-22,2.248,2.064,2.075,108.9124,108.335,1.68,2.335,-3.7259,33.8095,5244000
2010-10-25,180,2010-02-09,2010-10-25,2.286,2.0676,2.0783,110.5624,109.994,1.68,2.335,-2.0985,36.0714,6475000
2010-10-26,180,2010-02-10,2010-10-26,2.342,2.0715,2.0819,113.0606,112.4952,1.68,2.342,0.0,39.4048,14787000
2010-10-27,180,2010-02-11,2010-10-27,2.37,2.0756,2.0857,114.1841,113.6309,1.713,2.37,0.0,38.3538,11251000
2010-10-28,180,2010-02-12,2010-10-28,2.343,2.0794,2.0892,112.679,112.1482,1.735,2.37,-1.1392,35.0432,13518000
2010-10-29,180,2010-02-16,2010-10-29,2.468,2.0835,2.0933,118.4562,117.9018,1.735,2.468,0.0,42.2478,13607000
2010-11-01,180,2010-02-17,2010-11-01,2.383,2.0872,2.0968,114.1746,113.6497,1.735,2.468,-3.4441,37.3487,8575000
2010-11-02,180,2010-02-18,2010-11-02,2.408,2.091,2.1005,115.1596,114.6394,1.735,2.468,-2.4311,38.7896,4040000
2010-11-03,180,2010-02-19,2010-11-03,2.468,2.0951,2.1045,117.7988,117.2716,1.735,2.468,0.0,42.2478,5849000
