date,window_trading_days,window_start,window_end,close,fixed_amount_dca_cost,moving_avg_180,price_to_dca_pct,price_to_ma_pct,min_close_in_window,max_close_in_window,drawdown_from_window_high_pct,above_window_low_pct,volume
2010-09-20,180,2010-01-04,2010-09-20,13.74,15.4436,15.6263,88.9691,87.9285,12.32,19.48,-29.4661,11.526,130367700
2010-09-21,180,2010-01-05,2010-09-21,13.65,15.431,15.615,88.4586,87.4159,12.32,19.48,-29.9281,10.7955,168349300
2010-09-22,180,2010-01-06,2010-09-22,13.42,15.4141,15.5996,87.0634,86.0281,12.32,19.48,-31.1088,8.9286,141117900
2010-09-23,180,2010-01-07,2010-09-23,13.17,15.3944,15.5817,85.5506,84.5224,12.32,19.48,-32.3922,6.8994,153255800
2010-09-24,180,2010-01-08,2010-09-24,13.6,15.3754,15.5632,88.4531,87.3858,12.32,19.48,-30.1848,10.3896,142535200
2010-09-27,180,2010-01-11,2010-09-27,13.24,15.3545,15.5435,86.2289,85.1803,12.32,19.48,-32.0329,7.4675,123657600
2010-09-28,180,2010-01-12,2010-09-28,13.27,15.3332,15.5232,86.5444,85.4851,12.32,19.48,-31.8789,7.711,124743600
2010-09-29,180,2010-01-13,2010-09-29,13.11,15.3134,15.5051,85.6113,84.5528,12.32,19.48,-32.7002,6.4123,156717200
2010-09-30,180,2010-01-14,2010-09-30,13.1,15.2924,15.4856,85.6637,84.595,12.32,19.48,-32.7515,6.3312,148937800
2010-10-01,180,2010-01-15,2010-10-01,13.3,15.272,15.466,87.0878,85.9951,12.32,19.48,-31.7248,7.9545,168814600
2010-10-04,180,2010-01-19,2010-10-04,13.15,15.2531,15.4487,86.2118,85.1203,12.32,19.48,-32.4949,6.737,133664600
2010-10-05,180,2010-01-20,2010-10-05,13.56,15.237,15.4334,88.9938,87.8615,12.32,19.48,-30.3901,10.0649,191282100
2010-10-06,180,2010-01-21,2010-10-06,13.39,15.2189,15.4162,87.9825,86.8569,12.32,19.48,-31.2628,8.6851,150771000
2010-10-07,180,2010-01-22,2010-10-07,13.31,15.2055,15.4042,87.5344,86.4052,12.32,19.48,-31.6735,8.0357,112300500
2010-10-08,180,2010-01-25,2010-10-08,13.18,15.1942,15.3946,86.7436,85.6144,12.32,19.48,-32.3409,6.9805,173162700
2010-10-11,180,2010-01-26,2010-10-11,13.15,15.1823,15.3844,86.614,85.4759,12.32,19.48,-32.4949,6.737,101283500
