date,window_trading_days,window_start,window_end,close,fixed_amount_dca_cost,moving_avg_180,price_to_dca_pct,price_to_ma_pct,min_close_in_window,max_close_in_window,drawdown_from_window_high_pct,above_window_low_pct,volume
2010-09-20,180,2010-01-04,2010-09-20,13.8984,9.1724,9.4447,151.5246,147.1548,7.0076,13.8984,0.0,98.3332,47467500
2010-09-21,180,2010-01-05,2010-09-21,13.6408,9.1903,9.4708,148.4258,144.0306,7.0076,13.8984,-1.8535,94.6572,31895000
2010-09-22,180,2010-01-06,2010-09-22,13.526,9.2074,9.4956,146.903,142.4455,7.0076,13.8984,-2.6794,93.019,20617500
2010-09-23,180,2010-01-07,2010-09-23,13.488,9.2263,9.5218,146.1908,141.6538,7.0076,13.8984,-2.9529,92.4767,24645000
2010-09-24,180,2010-01-08,2010-09-24,13.7708,9.2467,9.5503,148.9265,144.1926,7.0076,13.8984,-0.9181,96.5124,23292500
2010-09-27,180,2010-01-11,2010-09-27,13.8064,9.2673,9.5789,148.9802,144.1329,7.0076,13.8984,-0.6619,97.0204,20727500
2010-09-28,180,2010-01-12,2010-09-28,13.9972,9.2877,9.6081,150.7065,145.6819,7.0076,13.9972,0.0,99.7431,28157500
2010-09-29,180,2010-01-13,2010-09-29,13.9252,9.3093,9.6379,149.583,144.4843,7.0076,13.9972,-0.5144,98.7157,14405000
2010-09-30,180,2010-01-14,2010-09-30,13.9336,9.331,9.6677,149.3258,144.126,7.0076,13.9972,-0.4544,98.8355,31042500
2010-10-01,180,2010-01-15,2010-10-01,13.5128,9.3532,9.6963,144.4727,139.3599,7.0076,13.9972,-3.4607,92.8306,41500000
2010-10-04,180,2010-01-19,2010-10-04,13.2656,9.3748,9.7236,141.5028,136.4263,7.0076,13.9972,-5.2268,89.303,24017500
2010-10-05,180,2010-01-20,2010-10-05,13.7976,9.398,9.7539,146.8149,141.4571,7.0076,13.9972,-1.426,96.8948,30150000
2010-10-06,180,2010-01-21,2010-10-06,13.3076,9.4206,9.782,141.2607,136.0418,7.0076,13.9972,-4.9267,89.9024,28452500
