date,window_trading_days,window_start,window_end,close,fixed_amount_dca_cost,moving_avg_180,price_to_dca_pct,price_to_ma_pct,min_close_in_window,max_close_in_window,drawdown_from_window_high_pct,above_window_low_pct,volume
2010-09-20,180,2010-01-04,2010-09-20,61.28,58.2499,58.3174,105.2019,105.0801,53.61,61.74,-0.7451,14.307,3472500
2010-09-21,180,2010-01-05,2010-09-21,61.27,58.2595,58.3277,105.1673,105.0444,53.61,61.74,-0.7613,14.2884,3198500
2010-09-22,180,2010-01-06,2010-09-22,62.33,58.2754,58.3449,106.9577,106.8302,53.61,62.33,0.0,16.2656,4806500
2010-09-23,180,2010-01-07,2010-09-23,62.5,58.288,58.3588,107.2263,107.096,53.61,62.5,0.0,16.5827,3399200
2010-09-24,180,2010-01-08,2010-09-24,64.05,58.3094,58.3829,109.8451,109.7067,53.61,64.05,0.0,19.474,4481600
2010-09-27,180,2010-01-11,2010-09-27,63.73,58.3316,58.4077,109.2546,109.1124,53.61,64.05,-0.4996,18.8771,4704400
2010-09-28,180,2010-01-12,2010-09-28,65.0,58.3593,58.4391,111.3789,111.227,53.61,65.0,0.0,21.246,5453500
2010-09-29,180,2010-01-13,2010-09-29,64.67,58.3873,58.4704,110.7604,110.603,53.61,65.0,-0.5077,20.6305,3585200
2010-09-30,180,2010-01-14,2010-09-30,64.49,58.4125,58.4987,110.4045,110.2418,53.61,65.0,-0.7846,20.2947,4090300
2010-10-01,180,2010-01-15,2010-10-01,65.05,58.4439,58.5338,111.3033,111.1323,53.61,65.05,0.0,21.3393,4037200
2010-10-04,180,2010-01-19,2010-10-04,64.56,58.4728,58.5659,110.4103,110.2348,53.61,65.05,-0.7533,20.4253,4502900
2010-10-05,180,2010-01-20,2010-10-05,64.66,58.5013,58.5976,110.5276,110.3458,53.61,65.05,-0.5995,20.6118,5698600
2010-10-06,180,2010-01-21,2010-10-06,65.41,58.5369,58.6373,111.7415,111.5502,53.61,65.41,0.0,22.0108,11502200
2010-10-07,180,2010-01-22,2010-10-07,65.26,58.5762,58.6803,111.4105,111.2128,53.61,65.41,-0.2293,21.731,5048000
2010-10-08,180,2010-01-25,2010-10-08,64.29,58.6137,58.7204,109.6843,109.485,53.61,65.41,-1.7123,19.9217,5632000
2010-10-11,180,2010-01-26,2010-10-11,64.32,58.6486,58.758,109.6701,109.4659,53.61,65.41,-1.6664,19.9776,2584800
2010-10-12,180,2010-01-27,2010-10-12,63.34,58.6768,58.7881,107.9472,107.743,53.61,65.41,-3.1647,18.1496,4454400
2010-10-13,180,2010-01-28,2010-10-13,63.36,58.7074,58.8204,107.925,107.7177,53.61,65.41,-3.1341,18.1869,5006500
2010-10-14,180,2010-01-29,2010-10-14,63.18,58.7383,58.8528,107.5619,107.3525,53.61,65.41,-3.4093,17.8511,4214500
2010-10-15,180,2010-02-01,2010-10-15,63.7,58.7711,58.8877,108.3866,108.1721,53.61,65.41,-2.6143,18.8211,4033400
2010-10-18,180,2010-02-02,2010-10-18,63.21,58.7989,58.9171,107.502,107.2863,53.61,65.41,-3.3634,17.9071,2417000
2010-10-19,180,2010-02-03,2010-10-19,62.21,58.817,58.9362,105.7687,105.5548,53.61,65.41,-4.8922,16.0418,3970600
2010-10-20,180,2010-02-04,2010-10-20,62.61,58.839,58.9595,106.409,106.1915,53.61,65.41,-4.2807,16.7879,2785800
2010-10-21,180,2010-02-05,2010-10-21,63.6,58.8653,58.9877,108.0433,107.819,53.61,65.41,-2.7672,18.6346,4190700
2010-10-22,180,2010-02-08,2010-10-22,64.03,58.8933,59.018,108.7221,108.4923,53.61,65.41,-2.1098,19.4367,2406400
2010-10-25,180,2010-02-09,2010-10-25,64.11,58.9241,59.0512,108.8009,108.5669,53.61,65.41,-1.9875,19.5859,2764000
2010-10-26,180,2010-02-10,2010-10-26,63.68,58.9495,59.0785,108.0246,107.7888,53.61,65.41,-2.6449,18.7838,2826200
2010-10-27,180,2010-02-11,2010-10-27,62.98,58.9694,59.0998,106.8012,106.5655,53.61,65.41,-3.715,17.4781,3378700
2010-10-28,180,2010-02-12,2010-10-28,62.8,58.9855,59.1172,106.4668,106.2297,53.61,65.41,-3.9902,17.1423,2385400
2010-10-29,180,2010-02-16,2010-10-29,62.77,59.0037,59.1366,106.3832,106.1442,53.61,65.41,-4.0361,17.0864,2350900
2010-11-01,180,2010-02-17,2010-11-01,63.28,59.0168,59.1511,107.2237,106.9803,53.61,65.41,-3.2564,18.0377,2790600
2010-11-02,180,2010-02-18,2010-11-02,63.72,59.0301,59.1659,107.945,107.6972,53.61,65.41,-2.5837,18.8584,2988400
2010-11-03,180,2010-02-19,2010-11-03,63.16,59.0412,59.1781,106.9762,106.7287,53.61,65.41,-3.4398,17.8138,4080900
2010-11-04,180,2010-02-22,2010-11-04,65.48,59.0622,59.2022,110.8663,110.604,53.61,65.48,0.0,22.1414,5801500
