date,window_trading_days,window_start,window_end,close,fixed_amount_dca_cost,moving_avg_180,price_to_dca_pct,price_to_ma_pct,min_close_in_window,max_close_in_window,drawdown_from_window_high_pct,above_window_low_pct,volume
2010-09-20,180,2010-01-04,2010-09-20,30.785,20.9316,21.5695,147.074,142.7248,15.52,30.785,0.0,98.357,16048000
2010-09-21,180,2010-01-05,2010-09-21,30.3475,20.9817,21.6342,144.6381,140.2758,15.52,30.785,-1.4211,95.538,9337600
2010-09-22,180,2010-01-06,2010-09-22,29.6725,21.0307,21.6955,141.0915,136.7677,15.52,30.785,-3.6138,91.1888,10432800
2010-09-23,180,2010-01-07,2010-09-23,29.3725,21.0793,21.7554,139.3428,135.0123,15.52,30.785,-4.5883,89.2558,8086400
2010-09-24,180,2010-01-08,2010-09-24,29.835,21.13,21.8183,141.197,136.7427,15.52,30.785,-3.0859,92.2358,10028000
2010-09-27,180,2010-01-11,2010-09-27,29.26,21.1792,21.8779,138.1545,133.7422,15.52,30.785,-4.9537,88.5309,6844400
2010-09-28,180,2010-01-12,2010-09-28,28.6925,21.2278,21.935,135.1648,130.8068,15.52,30.785,-6.7971,84.8743,12415200
2010-09-29,180,2010-01-13,2010-09-29,28.395,21.2864,21.9979,133.3948,129.0803,15.52,30.785,-7.7635,82.9575,15104000
2010-09-30,180,2010-01-14,2010-09-30,27.95,21.3435,22.0581,130.9531,126.711,15.52,30.785,-9.209,80.0902,13821600
2010-10-01,180,2010-01-15,2010-10-01,28.0,21.3996,22.1175,130.8437,126.5964,15.52,30.785,-9.0466,80.4124,10276400
2010-10-04,180,2010-01-19,2010-10-04,28.02,21.4572,22.1779,130.5854,126.3421,15.52,30.785,-8.9816,80.5412,9086400
2010-10-05,180,2010-01-20,2010-10-05,28.4775,21.5148,22.2396,132.3626,128.0489,15.52,30.785,-7.4955,83.4891,10483200
2010-10-06,180,2010-01-21,2010-10-06,26.2375,21.5669,22.2901,121.6561,117.7091,15.52,30.785,-14.7718,69.0561,64562800
2010-10-07,180,2010-01-22,2010-10-07,26.23,21.6231,22.3429,121.3053,117.3972,15.52,30.785,-14.7962,69.0077,28779200
2010-10-08,180,2010-01-25,2010-10-08,26.4675,21.6862,22.4003,122.0479,118.1567,15.52,30.785,-14.0247,70.538,14123600
2010-10-11,180,2010-01-26,2010-10-11,24.9775,21.7447,22.45,114.8672,111.2581,15.52,30.785,-18.8647,60.9375,23921200
2010-10-12,180,2010-01-27,2010-10-12,26.3675,21.8059,22.5057,120.9193,117.1593,15.52,30.785,-14.3495,69.8937,25572000
2010-10-13,180,2010-01-28,2010-10-13,26.8275,21.8691,22.5639,122.6729,118.8957,15.52,30.785,-12.8553,72.8576,18388400
