date,window_trading_days,window_start,window_end,close,fixed_amount_dca_cost,moving_avg_180,price_to_dca_pct,price_to_ma_pct,min_close_in_window,max_close_in_window,drawdown_from_window_high_pct,above_window_low_pct,volume
2010-09-20,180,2010-01-04,2010-09-20,21.75,23.8186,23.9663,91.3151,90.7523,19.99,27.57,-21.1099,8.8044,55723700
2010-09-21,180,2010-01-05,2010-09-21,21.64,23.8007,23.9494,90.9219,90.3572,19.99,27.57,-21.5089,8.2541,69743300
2010-09-22,180,2010-01-06,2010-09-22,21.67,23.7835,23.9332,91.1137,90.5436,19.99,27.57,-21.4001,8.4042,49272200
2010-09-23,180,2010-01-07,2010-09-23,21.53,23.7662,23.9172,90.5908,90.019,19.99,27.57,-21.9079,7.7039,36037000
2010-09-24,180,2010-01-08,2010-09-24,22.09,23.7521,23.9036,93.0023,92.4128,19.99,27.57,-19.8767,10.5053,54235100
2010-09-27,180,2010-01-11,2010-09-27,22.11,23.7374,23.8894,93.144,92.5513,19.99,27.57,-19.8041,10.6053,48649000
2010-09-28,180,2010-01-12,2010-09-28,21.86,23.7216,23.8743,92.1525,91.563,19.99,27.57,-20.7109,9.3547,64748400
2010-09-29,180,2010-01-13,2010-09-29,21.87,23.7078,23.8613,92.2481,91.6546,19.99,27.57,-20.6746,9.4047,46307300
2010-09-30,180,2010-01-14,2010-09-30,21.9,23.692,23.8461,92.4365,91.8389,19.99,27.57,-20.5658,9.5548,56848900
2010-10-01,180,2010-01-15,2010-10-01,21.91,23.6746,23.8292,92.5463,91.9459,19.99,27.57,-20.5296,9.6048,42184000
2010-10-04,180,2010-01-19,2010-10-04,21.76,23.6592,23.8146,91.9729,91.3727,19.99,27.57,-21.0736,8.8544,31731200
2010-10-05,180,2010-01-20,2010-10-05,21.99,23.6429,23.7987,93.0089,92.4001,19.99,27.57,-20.2394,10.005,59683800
2010-10-06,180,2010-01-21,2010-10-06,22.3,23.6309,23.7869,94.3681,93.7489,19.99,27.57,-19.115,11.5558,52793100
2010-10-07,180,2010-01-22,2010-10-07,22.39,23.6217,23.7781,94.7858,94.1622,19.99,27.57,-18.7885,12.006,37842400
2010-10-08,180,2010-01-25,2010-10-08,22.48,23.6187,23.7754,95.1787,94.5516,19.99,27.57,-18.4621,12.4562,37806400
2010-10-11,180,2010-01-26,2010-10-11,22.47,23.6156,23.7725,95.1489,94.521,19.99,27.57,-18.4984,12.4062,28434500
2010-10-12,180,2010-01-27,2010-10-12,22.62,23.6139,23.7709,95.7909,95.1582,19.99,27.57,-17.9543,13.1566,35299100
2010-10-13,180,2010-01-28,2010-10-13,23.18,23.6141,23.7711,98.1617,97.5133,19.99,27.57,-15.9231,15.958,66127100
2010-10-14,180,2010-01-29,2010-10-14,23.07,23.6174,23.7742,97.6823,97.0381,19.99,27.57,-16.3221,15.4077,38847200
2010-10-15,180,2010-02-01,2010-10-15,23.36,23.6226,23.7791,98.8882,98.2375,19.99,27.57,-15.2702,16.8584,50265800
2010-10-18,180,2010-02-02,2010-10-18,23.3,23.626,23.7823,98.6202,97.9721,19.99,27.57,-15.4879,16.5583,40606700
2010-10-19,180,2010-02-03,2010-10-19,22.97,23.6257,23.782,97.2247,96.5856,19.99,27.57,-16.6848,14.9074,53769400
2010-10-20,180,2010-02-04,2010-10-20,23.4,23.6276,23.7838,99.0368,98.3862,19.99,27.57,-15.1251,17.0585,44947300
2010-10-21,180,2010-02-05,2010-10-21,23.26,23.6282,23.7844,98.4419,97.7952,19.99,27.57,-15.6329,16.3582,38509300
2010-10-22,180,2010-02-08,2010-10-22,23.48,23.6269,23.7832,99.3781,98.7253,19.99,27.57,-14.835,17.4587,23672100
2010-10-25,180,2010-02-09,2010-10-25,23.61,23.6275,23.7838,99.9257,99.2693,19.99,27.57,-14.3634,18.1091,37084400
2010-10-26,180,2010-02-10,2010-10-26,23.4,23.6248,23.7811,99.0483,98.3977,19.99,27.57,-15.1251,17.0585,37680000
2010-10-27,180,2010-02-11,2010-10-27,23.29,23.6222,23.7784,98.5937,97.9459,19.99,27.57,-15.5241,16.5083,39164400
2010-10-28,180,2010-02-12,2010-10-28,23.19,23.6181,23.7743,98.1876,97.5422,19.99,27.57,-15.8868,16.008,33677600
2010-10-29,180,2010-02-16,2010-10-29,22.86,23.6129,23.7693,96.8114,96.1743,19.99,27.57,-17.0838,14.3572,44587900
2010-11-01,180,2010-02-17,2010-11-01,22.92,23.6069,23.7633,97.0905,96.4511,19.99,27.57,-16.8662,14.6573,49174300
2010-11-02,180,2010-02-18,2010-11-02,23.17,23.6019,23.7583,98.1702,97.5237,19.99,27.57,-15.9594,15.908,37374800
2010-11-03,180,2010-02-19,2010-11-03,23.71,23.5988,23.7552,100.4712,99.8099,19.99,27.57,-14.0007,18.6093,53861200
2010-11-04,180,2010-02-22,2010-11-04,24.21,23.598,23.7543,102.5934,101.9182,19.99,27.57,-12.1872,21.1106,55897800
2010-11-05,180,2010-02-23,2010-11-05,24.26,23.5978,23.7541,102.8062,102.1297,19.99,27.57,-12.0058,21.3607,41012300
2010-11-08,180,2010-02-24,2010-11-08,24.39,23.5996,23.756,103.3493,102.6688,19.99,27.57,-11.5343,22.011,40378100
2010-11-09,180,2010-02-25,2010-11-09,24.35,23.5996,23.7561,103.1795,102.5002,19.99,27.57,-11.6794,21.8109,51149000
2010-11-10,180,2010-02-26,2010-11-10,24.49,23.6005,23.7569,103.7691,103.0856,19.99,27.57,-11.1716,22.5113,115576200
2010-11-11,180,2010-03-01,2010-11-11,20.52,23.5769,23.7358,87.0344,86.4518,19.99,27.57,-25.5713,2.6513,553080300
2010-11-12,180,2010-03-02,2010-11-12,20.15,23.5492,23.7111,85.5656,84.9815,19.99,27.57,-26.9133,0.8004,234765700
2010-11-15,180,2010-03-03,2010-11-15,19.95,23.52,23.6852,84.8215,84.2299,19.95,27.57,-27.6387,0.0,137862000
2010-11-16,180,2010-03-04,2010-11-16,19.44,23.4857,23.6552,82.7739,82.1808,19.44,27.57,-29.4886,0.0,212301700
2010-11-17,180,2010-03-05,2010-11-17,19.41,23.4507,23.6244,82.7695,82.1609,19.41,27.57,-29.5974,0.0,112439000
2010-11-18,180,2010-03-08,2010-11-18,19.61,23.4161,23.5933,83.7458,83.1169,19.41,27.57,-28.872,1.0304,102255900
2010-11-19,180,2010-03-09,2010-11-19,19.61,23.3774,23.5571,83.8844,83.2447,19.41,27.57,-28.872,1.0304,100759700
2010-11-22,180,2010-03-10,2010-11-22,19.56,23.3384,23.5206,83.8102,83.1613,19.41,27.57,-29.0533,0.7728,65402000
2010-11-23,180,2010-03-11,2010-11-23,19.2,23.2979,23.4835,82.4109,81.7595,19.2,27.57,-30.3591,0.0,91969500
2010-11-24,180,2010-03-12,2010-11-24,19.46,23.2591,23.4473,83.6662,82.9945,19.2,27.57,-29.416,1.3542,63880400
2010-11-26,180,2010-03-15,2010-11-26,19.49,23.2211,23.4118,83.9323,83.2485,19.2,27.57,-29.3072,1.5104,26257400
2010-11-29,180,2010-03-16,2010-11-29,19.44,23.1819,23.3749,83.8584,83.166,19.2,27.57,-29.4886,1.25,51951000
2010-11-30,180,2010-03-17,2010-11-30,19.16,23.1403,23.3361,82.7991,82.1045,19.16,27.57,-30.5042,0.0,63406700
2010-12-01,180,2010-03-18,2010-12-01,19.32,23.0997,23.2976,83.6374,82.9272,19.16,27.57,-29.9238,0.8351,79322800
2010-12-02,180,2010-03-19,2010-12-02,19.22,23.0581,23.258,83.3546,82.6382,19.16,27.57,-30.2865,0.3131,113636300
2010-12-03,180,2010-03-22,2010-12-03,19.07,23.0162,23.2187,82.8545,82.1322,19.07,27.57,-30.8306,0.0,89385000
2010-12-06,180,2010-03-23,2010-12-06,19.43,22.9768,23.1806,84.5634,83.8201,19.07,27.57,-29.5248,1.8878,79017400
2010-12-07,180,2010-03-24,2010-12-07,19.39,22.9357,23.1403,84.5405,83.7931,19.07,27.57,-29.6699,1.678,74980300
2010-12-08,180,2010-03-25,2010-12-08,19.35,22.8953,23.1009,84.5153,83.763,19.07,27.57,-29.815,1.4683,53976900
2010-12-09,180,2010-03-26,2010-12-09,19.7,22.8577,23.0635,86.1854,85.4164,19.07,27.57,-28.5455,3.3036,91965400
2010-12-10,180,2010-03-29,2010-12-10,19.7,22.8201,23.0259,86.3275,85.5559,19.07,27.57,-28.5455,3.3036,64813100
2010-12-13,180,2010-03-30,2010-12-13,19.58,22.7815,22.9874,85.9469,85.1771,19.07,27.57,-28.9808,2.6744,62987200
2010-12-14,180,2010-03-31,2010-12-14,19.54,22.7422,22.9479,85.9195,85.1494,19.07,27.57,-29.1259,2.4646,57015900
2010-12-15,180,2010-04-01,2010-12-15,19.47,22.7051,22.9114,85.7517,84.9794,19.07,27.57,-29.3798,2.0975,57939500
2010-12-16,180,2010-04-05,2010-12-16,19.75,22.671,22.8777,87.1157,86.3287,19.07,27.57,-28.3642,3.5658,61253000
2010-12-17,180,2010-04-06,2010-12-17,19.55,22.6341,22.8409,86.3741,85.5921,19.07,27.57,-29.0896,2.517,115525000
2010-12-20,180,2010-04-07,2010-12-20,19.62,22.5977,22.8042,86.8232,86.0367,19.07,27.57,-28.8357,2.8841,49113500
2010-12-21,180,2010-04-08,2010-12-21,19.53,22.5602,22.7664,86.5685,85.7844,19.07,27.57,-29.1621,2.4122,62386300
2010-12-22,180,2010-04-09,2010-12-22,19.56,22.5233,22.7291,86.8436,86.0572,19.07,27.57,-29.0533,2.5695,42787100
