date,window_trading_days,window_start,window_end,close,fixed_amount_dca_cost,moving_avg_180,price_to_dca_pct,price_to_ma_pct,min_close_in_window,max_close_in_window,drawdown_from_window_high_pct,above_window_low_pct,volume
2010-09-20,180,2010-01-04,2010-09-20,79.3148,78.3762,78.875,101.1976,100.5576,66.519,93.4525,-15.1282,19.2363,9617507
2010-09-21,180,2010-01-05,2010-09-21,79.1711,78.4061,78.9035,100.9756,100.3391,66.519,93.4525,-15.2821,19.0202,11300200
2010-09-22,180,2010-01-06,2010-09-22,79.0752,78.4331,78.9293,100.8187,100.1849,66.519,93.4525,-15.3846,18.8761,9898909
2010-09-23,180,2010-01-07,2010-09-23,77.3499,78.4528,78.9477,98.5942,97.9762,66.519,93.4525,-17.2308,16.2824,11096608
2010-09-24,180,2010-01-08,2010-09-24,79.842,78.4636,78.9586,101.7567,101.1188,66.519,93.4525,-14.5641,20.0288,17742517
2010-09-27,180,2010-01-11,2010-09-27,78.7397,78.4592,78.9541,100.3576,99.7285,66.519,93.4525,-15.7436,18.3718,8465004
2010-09-28,180,2010-01-12,2010-09-28,78.7877,78.4509,78.9456,100.4293,99.8,66.519,93.4525,-15.6923,18.4438,11242067
2010-09-29,180,2010-01-13,2010-09-29,78.4043,78.4402,78.9346,99.9542,99.3281,66.519,93.4525,-16.1026,17.8674,9206985
2010-09-30,180,2010-01-14,2010-09-30,77.8771,78.4251,78.9192,99.3012,98.6795,66.519,93.4525,-16.6667,17.0749,12311585
2010-10-01,180,2010-01-15,2010-10-01,78.4043,78.4162,78.9101,99.9847,99.3589,66.519,93.4525,-16.1026,17.8674,10106214
2010-10-04,180,2010-01-19,2010-10-04,77.1582,78.4071,78.9011,98.4072,97.7911,66.519,93.4525,-17.4359,15.9942,9563943
2010-10-05,180,2010-01-20,2010-10-05,79.1231,78.4063,78.9003,100.9143,100.2824,66.519,93.4525,-15.3333,18.9481,13064730
2010-10-06,180,2010-01-21,2010-10-06,80.9922,78.4165,78.9109,103.2846,102.6375,66.519,93.4525,-13.3333,21.7579,15441016
2010-10-07,180,2010-01-22,2010-10-07,81.7111,78.4434,78.9384,104.1656,103.5125,66.519,93.4525,-12.5641,22.8386,12227265
2010-10-08,180,2010-01-25,2010-10-08,82.0465,78.4695,78.9653,104.5584,103.9021,66.519,93.4525,-12.2051,23.343,10756197
2010-10-11,180,2010-01-26,2010-10-11,81.2797,78.4847,78.981,103.5612,102.9105,66.519,93.4525,-13.0256,22.1902,10907873
2010-10-12,180,2010-01-27,2010-10-12,82.382,78.5061,79.0033,104.9371,104.2766,66.519,93.4525,-11.8462,23.8473,13515774
2010-10-13,180,2010-01-28,2010-10-13,82.8133,78.5309,79.0294,105.4531,104.788,66.519,93.4525,-11.3846,24.4957,12688095
2010-10-14,180,2010-01-29,2010-10-14,82.2382,78.5567,79.056,104.6864,104.0252,66.519,93.4525,-12.0,23.6311,12078614
2010-10-15,180,2010-02-01,2010-10-15,78.1167,78.5627,79.0619,99.4323,98.8045,66.519,93.4525,-16.4103,17.4352,42809302
2010-10-18,180,2010-02-02,2010-10-18,77.8771,78.5627,79.0619,99.1273,98.5014,66.519,93.4525,-16.6667,17.0749,14082417
2010-10-19,180,2010-02-03,2010-10-19,77.0145,78.5421,79.0411,98.055,97.4359,66.519,93.4525,-17.5897,15.7781,15474923
2010-10-20,180,2010-02-04,2010-10-20,76.9186,78.5253,79.0244,97.9539,97.3353,66.519,93.4525,-17.6923,15.634,14534274
2010-10-21,180,2010-02-05,2010-10-21,77.1582,78.527,79.026,98.257,97.6366,66.519,93.4525,-17.4359,15.9942,12397595
2010-10-22,180,2010-02-08,2010-10-22,76.9665,78.5346,79.0331,98.0034,97.3851,66.519,93.4525,-17.641,15.7061,6535046
2010-10-25,180,2010-02-09,2010-10-25,76.9665,78.5477,79.0454,97.987,97.3701,66.519,93.4525,-17.641,15.7061,11184664
2010-10-26,180,2010-02-10,2010-10-26,77.4458,78.5636,79.0603,98.5772,97.9579,66.519,93.4525,-17.1282,16.4265,10306384
2010-10-27,180,2010-02-11,2010-10-27,77.2062,78.5755,79.0715,98.2573,97.641,66.519,93.4525,-17.3846,16.0663,10563101
2010-10-28,180,2010-02-12,2010-10-28,77.0624,78.5842,79.0797,98.0634,97.449,66.519,93.4525,-17.5385,15.8501,9236094
2010-10-29,180,2010-02-16,2010-10-29,76.7748,78.5977,79.0923,97.6807,97.07,66.519,93.4525,-17.8462,15.4179,7965550
2010-11-01,180,2010-02-17,2010-11-01,76.4394,78.5952,79.0899,97.257,96.6488,66.519,93.4525,-18.2051,14.9136,11028918
2010-11-02,180,2010-02-18,2010-11-02,76.3914,78.5894,79.0843,97.2033,96.595,66.519,93.4525,-18.2564,14.8415,10546909
2010-11-03,180,2010-02-19,2010-11-03,76.9665,78.5844,79.0795,97.9412,97.3281,66.519,93.4525,-17.641,15.7061,13721703
2010-11-04,180,2010-02-22,2010-11-04,79.1231,78.5936,79.0885,100.6738,100.0438,66.519,93.4525,-15.3333,18.9481,18195585
2010-11-05,180,2010-02-23,2010-11-05,80.1775,78.6062,79.1013,101.9989,101.3605,66.519,93.4525,-14.2051,20.5331,14570331
2010-11-08,180,2010-02-24,2010-11-08,80.0816,78.6266,79.1215,101.8505,101.2134,66.519,93.4525,-14.3077,20.3891,9977825
2010-11-09,180,2010-02-25,2010-11-09,79.6503,78.64,79.1349,101.2847,100.6514,66.519,93.4525,-14.7692,19.7406,10418018
2010-11-10,180,2010-02-26,2010-11-10,79.3148,78.6572,79.1516,100.8361,100.2062,66.519,93.4525,-15.1282,19.2363,10370026
2010-11-11,180,2010-03-01,2010-11-11,78.3564,78.6651,79.1594,99.6076,98.9856,66.519,93.4525,-16.1538,17.7954,9727326
2010-11-12,180,2010-03-02,2010-11-12,77.8771,78.6748,79.1687,98.9861,98.3686,66.519,93.4525,-16.6667,17.0749,10082344
