date,window_trading_days,window_start,window_end,close,fixed_amount_dca_cost,moving_avg_180,price_to_dca_pct,price_to_ma_pct,min_close_in_window,max_close_in_window,drawdown_from_window_high_pct,above_window_low_pct,volume
2010-09-20,180,2010-01-04,2010-09-20,30.65,30.5836,30.8005,100.2172,99.5114,27.07,36.49,-16.0044,13.225,11541200
2010-09-21,180,2010-01-05,2010-09-21,30.91,30.5967,30.8129,101.024,100.315,27.07,36.49,-15.2919,14.1854,13833500
2010-09-22,180,2010-01-06,2010-09-22,30.88,30.6084,30.8241,100.8874,100.1815,27.07,36.49,-15.3741,14.0746,11663500
2010-09-23,180,2010-01-07,2010-09-23,30.84,30.6205,30.8355,100.717,100.0146,27.07,36.49,-15.4837,13.9269,16047000
2010-09-24,180,2010-01-08,2010-09-24,31.64,30.6347,30.8495,103.2815,102.5624,27.07,36.49,-13.2913,16.8822,11421600
2010-09-27,180,2010-01-11,2010-09-27,31.6,30.6496,30.8641,103.1008,102.3845,27.07,36.49,-13.4009,16.7344,7991000
2010-09-28,180,2010-01-12,2010-09-28,31.81,30.6709,30.8843,103.7139,102.9972,27.07,36.49,-12.8254,17.5102,12505200
2010-09-29,180,2010-01-13,2010-09-29,31.81,30.6934,30.9056,103.6379,102.9263,27.07,36.49,-12.8254,17.5102,9178300
2010-09-30,180,2010-01-14,2010-09-30,31.68,30.7143,30.9253,103.1442,102.4403,27.07,36.49,-13.1817,17.0299,11401200
2010-10-01,180,2010-01-15,2010-10-01,31.82,30.7348,30.9449,103.5309,102.828,27.07,36.49,-12.798,17.5471,8648800
2010-10-04,180,2010-01-19,2010-10-04,31.67,30.7528,30.9621,102.9826,102.2863,27.07,36.49,-13.2091,16.993,10321100
2010-10-05,180,2010-01-20,2010-10-05,31.74,30.7692,30.978,103.1552,102.4598,27.07,36.49,-13.0173,17.2516,15975000
