date,window_trading_days,window_start,window_end,close,fixed_amount_dca_cost,moving_avg_180,price_to_dca_pct,price_to_ma_pct,min_close_in_window,max_close_in_window,drawdown_from_window_high_pct,above_window_low_pct,volume
2010-09-20,180,2010-01-04,2010-09-20,45.52,35.4654,35.8901,128.3505,126.8316,29.26,45.52,0.0,55.5707,5229800
2010-09-21,180,2010-01-05,2010-09-21,45.83,35.5399,35.9736,128.9538,127.3991,29.26,45.83,0.0,56.6302,5537800
2010-09-22,180,2010-01-06,2010-09-22,45.69,35.6142,36.0562,128.2916,126.7188,29.26,45.83,-0.3055,56.1517,5181900
2010-09-23,180,2010-01-07,2010-09-23,45.07,35.69,36.1378,126.282,124.7169,29.26,45.83,-1.6583,54.0328,3479600
2010-09-24,180,2010-01-08,2010-09-24,45.46,35.7682,36.2222,127.0963,125.5033,29.26,45.83,-0.8073,55.3657,4362600
2010-09-27,180,2010-01-11,2010-09-27,44.96,35.8389,36.2993,125.4503,123.8592,29.26,45.83,-1.8983,53.6569,3082400
2010-09-28,180,2010-01-12,2010-09-28,44.81,35.9084,36.3748,124.7899,123.1898,29.26,45.83,-2.2256,53.1442,5535700
2010-09-29,180,2010-01-13,2010-09-29,44.45,35.9768,36.4483,123.5519,121.9536,29.26,45.83,-3.0111,51.9139,3606300
2010-09-30,180,2010-01-14,2010-09-30,43.81,36.0405,36.5162,121.5579,119.9741,29.26,45.83,-4.4076,49.7266,4525200
2010-10-01,180,2010-01-15,2010-10-01,44.91,36.107,36.5892,124.3804,122.7412,29.26,45.83,-2.0074,53.486,3486200
2010-10-04,180,2010-01-19,2010-10-04,44.15,36.1733,36.6597,122.0515,120.4321,29.26,45.83,-3.6657,50.8886,3590000
2010-10-05,180,2010-01-20,2010-10-05,45.46,36.2426,36.7359,125.4326,123.748,29.26,45.83,-0.8073,55.3657,3199800
2010-10-06,180,2010-01-21,2010-10-06,44.92,36.314,36.8121,123.6988,122.0252,29.26,45.83,-1.9856,53.5202,3578400
2010-10-07,180,2010-01-22,2010-10-07,45.91,36.3922,36.8958,126.1536,124.4316,29.26,45.91,0.0,56.9036,4937100
2010-10-08,180,2010-01-25,2010-10-08,45.83,36.4762,36.9832,125.6434,123.9212,29.26,45.91,-0.1742,56.6302,2832500
2010-10-11,180,2010-01-26,2010-10-11,45.86,36.5587,37.0693,125.442,123.7143,29.26,45.91,-0.1089,56.7327,3559800
2010-10-12,180,2010-01-27,2010-10-12,46.92,36.6479,37.1631,128.029,126.2542,29.26,46.92,0.0,60.3554,4409900
2010-10-13,180,2010-01-28,2010-10-13,47.57,36.74,37.2607,129.4775,127.6681,29.26,47.57,0.0,62.5769,4975800
2010-10-14,180,2010-01-29,2010-10-14,47.31,36.8345,37.3587,128.4393,126.6371,29.26,47.57,-0.5466,61.6883,3772100
2010-10-15,180,2010-02-01,2010-10-15,46.63,36.9277,37.4533,126.2738,124.5018,29.26,47.57,-1.976,59.3643,5092500
2010-10-18,180,2010-02-02,2010-10-18,45.99,37.0165,37.5426,124.2421,122.5008,29.26,47.57,-3.3214,57.177,3185800
