date,window_trading_days,window_start,window_end,close,fixed_amount_dca_cost,moving_avg_180,price_to_dca_pct,price_to_ma_pct,min_close_in_window,max_close_in_window,drawdown_from_window_high_pct,above_window_low_pct,volume
2010-09-20,180,2010-01-04,2010-09-20,62.09,61.724,61.8466,100.5929,100.3936,57.02,66.03,-5.967,8.8916,10991500
2010-09-21,180,2010-01-05,2010-09-21,61.94,61.7096,61.8313,100.3734,100.1757,57.02,66.03,-6.1942,8.6285,9449200
2010-09-22,180,2010-01-06,2010-09-22,61.97,61.6991,61.8204,100.4391,100.2419,57.02,66.03,-6.1487,8.6812,9353300
2010-09-23,180,2010-01-07,2010-09-23,61.81,61.6851,61.8058,100.2025,100.0068,57.02,66.03,-6.391,8.4006,8393800
2010-09-24,180,2010-01-08,2010-09-24,62.14,61.6753,61.7955,100.7535,100.5575,57.02,66.03,-5.8913,8.9793,12636900
2010-09-27,180,2010-01-11,2010-09-27,62.03,61.6637,61.7834,100.594,100.3992,57.02,66.03,-6.0579,8.7864,7687600
2010-09-28,180,2010-01-12,2010-09-28,62.43,61.6543,61.7734,101.2582,101.0628,57.02,66.03,-5.4521,9.4879,12132800
2010-09-29,180,2010-01-13,2010-09-29,62.31,61.6425,61.7609,101.0829,100.889,57.02,66.03,-5.6338,9.2774,9590000
2010-09-30,180,2010-01-14,2010-09-30,61.96,61.6267,61.7442,100.5409,100.3495,57.02,66.03,-6.1639,8.6636,12845600
2010-10-01,180,2010-01-15,2010-10-01,61.75,61.6091,61.7256,100.2287,100.0395,57.02,66.03,-6.4819,8.2953,9773200
2010-10-04,180,2010-01-19,2010-10-04,61.67,61.5938,61.7096,100.1237,99.9359,57.02,66.03,-6.6031,8.155,8703600
2010-10-05,180,2010-01-20,2010-10-05,62.8,61.5807,61.6954,101.98,101.7904,57.02,66.03,-4.8917,10.1368,12439400
2010-10-06,180,2010-01-21,2010-10-06,63.21,61.5708,61.6846,102.6623,102.4729,57.02,66.03,-4.2708,10.8558,11339800
2010-10-07,180,2010-01-22,2010-10-07,63.22,61.5669,61.6804,102.6851,102.496,57.02,66.03,-4.2556,10.8734,9826600
2010-10-08,180,2010-01-25,2010-10-08,63.23,61.567,61.6806,102.7011,102.512,57.02,66.03,-4.2405,10.8909,7354800
2010-10-11,180,2010-01-26,2010-10-11,63.3,61.5675,61.6811,102.8141,102.6247,57.02,66.03,-4.1345,11.0137,6172100
2010-10-12,180,2010-01-27,2010-10-12,63.29,61.5701,61.6838,102.7934,102.6039,57.02,66.03,-4.1496,10.9961,8707400
2010-10-13,180,2010-01-28,2010-10-13,63.58,61.5708,61.6846,103.2632,103.0727,57.02,66.03,-3.7104,11.5047,10104700
2010-10-14,180,2010-01-29,2010-10-14,63.74,61.5705,61.6843,103.5236,103.3327,57.02,66.03,-3.4681,11.7853,8632700
2010-10-15,180,2010-02-01,2010-10-15,63.57,61.5743,61.6882,103.2412,103.0505,57.02,66.03,-3.7256,11.4872,13265100
2010-10-18,180,2010-02-02,2010-10-18,63.86,61.5783,61.6925,103.7054,103.5134,57.02,66.03,-3.2864,11.9958,10814100
2010-10-19,180,2010-02-03,2010-10-19,63.29,61.5746,61.6886,102.7858,102.5959,57.02,66.03,-4.1496,10.9961,17235400
2010-10-20,180,2010-02-04,2010-10-20,63.6,61.5745,61.6884,103.2895,103.0987,57.02,66.03,-3.6801,11.5398,10206800
2010-10-21,180,2010-02-05,2010-10-21,63.99,61.5816,61.6959,103.9109,103.7183,57.02,66.03,-3.0895,12.2238,11111700
2010-10-22,180,2010-02-08,2010-10-22,63.81,61.5878,61.7024,103.6083,103.4157,57.02,66.03,-3.3621,11.9081,6774800
2010-10-25,180,2010-02-09,2010-10-25,63.98,61.5963,61.7114,103.8699,103.6762,57.02,66.03,-3.1046,12.2062,7794700
2010-10-26,180,2010-02-10,2010-10-26,63.84,61.6019,61.7174,103.6331,103.4392,57.02,66.03,-3.3167,11.9607,7122900
2010-10-27,180,2010-02-11,2010-10-27,63.57,61.6064,61.7221,103.1874,102.994,57.02,66.03,-3.7256,11.4872,11916100
2010-10-28,180,2010-02-12,2010-10-28,63.56,61.6098,61.7257,103.1654,102.9718,57.02,66.03,-3.7407,11.4697,10116000
2010-10-29,180,2010-02-16,2010-10-29,63.74,61.6152,61.7313,103.4485,103.2539,57.02,66.03,-3.4681,11.7853,9309900
2010-11-01,180,2010-02-17,2010-11-01,63.69,61.6156,61.7318,103.3667,103.1721,57.02,66.03,-3.5438,11.6976,9356000
