date,window_trading_days,window_start,window_end,close,fixed_amount_dca_cost,moving_avg_180,price_to_dca_pct,price_to_ma_pct,min_close_in_window,max_close_in_window,drawdown_from_window_high_pct,above_window_low_pct,volume
2010-09-20,180,2010-01-04,2010-09-20,41.19,40.5409,40.7273,101.6012,101.1361,35.63,47.81,-13.8465,15.6048,33337500
2010-09-21,180,2010-01-05,2010-09-21,40.59,40.529,40.7147,100.1505,99.6937,35.63,47.81,-15.1014,13.9209,33548900
2010-09-22,180,2010-01-06,2010-09-22,39.94,40.5094,40.6939,98.5943,98.1473,35.63,47.81,-16.461,12.0965,34546000
2010-09-23,180,2010-01-07,2010-09-23,39.1,40.4839,40.6672,96.5817,96.1464,35.63,47.81,-18.218,9.739,33471100
2010-09-24,180,2010-01-08,2010-09-24,39.75,40.4581,40.6392,98.2498,97.812,35.63,47.81,-16.8584,11.5633,28855100
2010-09-27,180,2010-01-11,2010-09-27,39.08,40.429,40.6081,96.6634,96.2371,35.63,47.81,-18.2598,9.6829,25684900
2010-09-28,180,2010-01-12,2010-09-28,38.95,40.3998,40.5771,96.4114,95.9902,35.63,47.81,-18.5317,9.318,31442600
2010-09-29,180,2010-01-13,2010-09-29,38.41,40.3722,40.5488,95.1397,94.7253,35.63,47.81,-19.6612,7.8024,40207000
2010-09-30,180,2010-01-14,2010-09-30,38.06,40.339,40.5144,94.3505,93.9418,35.63,47.81,-20.3932,6.8201,54885200
2010-10-01,180,2010-01-15,2010-10-01,38.81,40.3083,40.4818,96.2828,95.8703,35.63,47.81,-18.8245,8.9251,38973800
2010-10-04,180,2010-01-19,2010-10-04,38.95,40.2833,40.4555,96.6903,96.2786,35.63,47.81,-18.5317,9.318,38886100
2010-10-05,180,2010-01-20,2010-10-05,39.64,40.2641,40.4353,98.4499,98.0332,35.63,47.81,-17.0885,11.2546,42379500
2010-10-06,180,2010-01-21,2010-10-06,39.9,40.2459,40.4158,99.1404,98.7237,35.63,47.81,-16.5447,11.9843,31559900
2010-10-07,180,2010-01-22,2010-10-07,39.52,40.2402,40.4102,98.2102,97.7972,35.63,47.81,-17.3395,10.9178,26923900
2010-10-08,180,2010-01-25,2010-10-08,39.31,40.2411,40.411,97.6862,97.2755,35.63,47.81,-17.7787,10.3284,28178500
2010-10-11,180,2010-01-26,2010-10-11,39.73,40.2441,40.4139,98.7226,98.3078,35.63,47.81,-16.9002,11.5072,24601000
2010-10-12,180,2010-01-27,2010-10-12,40.4,40.2555,40.4248,100.3591,99.9387,35.63,47.81,-15.4988,13.3876,38798100
2010-10-13,180,2010-01-28,2010-10-13,39.84,40.2584,40.4276,98.9607,98.5465,35.63,47.81,-16.6702,11.8159,69607700
2010-10-14,180,2010-01-29,2010-10-14,38.72,40.2539,40.4234,96.1894,95.7861,35.63,47.81,-19.0128,8.6725,76504900
2010-10-15,180,2010-02-01,2010-10-15,37.15,40.2428,40.4134,92.3147,91.9249,35.63,47.81,-22.2966,4.2661,142280400
2010-10-18,180,2010-02-02,2010-10-18,38.2,40.2343,40.4055,94.9439,94.5416,35.63,47.81,-20.1004,7.213,55058700
2010-10-19,180,2010-02-03,2010-10-19,37.69,40.2175,40.3896,93.7155,93.3161,35.63,47.81,-21.1671,5.7816,70595100
2010-10-20,180,2010-02-04,2010-10-20,38.1,40.2046,40.3774,94.7652,94.3596,35.63,47.81,-20.3096,6.9324,43497200
2010-10-21,180,2010-02-05,2010-10-21,37.7,40.2006,40.3738,93.7797,93.3773,35.63,47.81,-21.1462,5.8097,38250300
2010-10-22,180,2010-02-08,2010-10-22,37.7,40.1969,40.3705,93.7884,93.385,35.63,47.81,-21.1462,5.8097,24876900
2010-10-25,180,2010-02-09,2010-10-25,37.07,40.1928,40.367,92.2304,91.8324,35.63,47.81,-22.4639,4.0415,37893500
2010-10-26,180,2010-02-10,2010-10-26,37.2,40.1853,40.3604,92.5711,92.1696,35.63,47.81,-22.192,4.4064,39188100
2010-10-27,180,2010-02-11,2010-10-27,37.54,40.1772,40.353,93.4361,93.029,35.63,47.81,-21.4809,5.3607,30777500
2010-10-28,180,2010-02-12,2010-10-28,37.51,40.1679,40.3446,93.383,92.974,35.63,47.81,-21.5436,5.2764,30614600
2010-10-29,180,2010-02-16,2010-10-29,37.63,40.1599,40.3373,93.7005,93.2884,35.63,47.81,-21.2926,5.6132,19803300
2010-11-01,180,2010-02-17,2010-11-01,37.42,40.144,40.3226,93.2144,92.8017,35.63,47.81,-21.7319,5.0238,36941900
2010-11-02,180,2010-02-18,2010-11-02,36.96,40.1254,40.3054,92.1112,91.6998,35.63,47.81,-22.694,3.7328,39913100
2010-11-03,180,2010-02-19,2010-11-03,37.72,40.1096,40.2905,94.0423,93.6201,35.63,47.81,-21.1044,5.8658,35299600
2010-11-04,180,2010-02-22,2010-11-04,39.8,40.1083,40.2892,99.2313,98.7857,35.63,47.81,-16.7538,11.7036,77569400
2010-11-05,180,2010-02-23,2010-11-05,40.94,40.1088,40.2897,102.0723,101.614,35.63,47.81,-14.3694,14.9032,75684800
2010-11-08,180,2010-02-24,2010-11-08,40.51,40.1123,40.2932,100.9915,100.538,35.63,47.81,-15.2688,13.6963,32967000
2010-11-09,180,2010-02-25,2010-11-09,39.9,40.1071,40.2879,99.4837,99.0371,35.63,47.81,-16.5447,11.9843,32800100
2010-11-10,180,2010-02-26,2010-11-10,40.62,40.107,40.2878,101.2791,100.8245,35.63,47.81,-15.0387,14.005,35587900
2010-11-11,180,2010-03-01,2010-11-11,40.02,40.0966,40.277,99.809,99.3619,35.63,47.81,-16.2937,12.3211,25499700
2010-11-12,180,2010-03-02,2010-11-12,39.61,40.0846,40.2647,98.8159,98.3741,35.63,47.81,-17.1512,11.1704,33504800
2010-11-15,180,2010-03-03,2010-11-15,40.08,40.0764,40.2561,100.009,99.5625,35.63,47.81,-16.1682,12.4895,28772500
2010-11-16,180,2010-03-04,2010-11-16,39.61,40.066,40.2454,98.8619,98.4211,35.63,47.81,-17.1512,11.1704,46023000
2010-11-17,180,2010-03-05,2010-11-17,39.18,40.0511,40.2302,97.825,97.3895,35.63,47.81,-18.0506,9.9635,32027500
2010-11-18,180,2010-03-08,2010-11-18,39.66,40.0346,40.2127,99.0643,98.6255,35.63,47.81,-17.0466,11.3107,30987600
2010-11-19,180,2010-03-09,2010-11-19,39.41,40.0177,40.1951,98.4814,98.0469,35.63,47.81,-17.5695,10.609,26542000
2010-11-22,180,2010-03-10,2010-11-22,38.51,39.9964,40.1733,96.2836,95.8596,35.63,47.81,-19.452,8.0831,33249500
2010-11-23,180,2010-03-11,2010-11-23,37.63,39.9673,40.1439,94.152,93.7378,35.63,47.81,-21.2926,5.6132,35340400
2010-11-24,180,2010-03-12,2010-11-24,38.16,39.9403,40.116,95.5426,95.1241,35.63,47.81,-20.1841,7.1008,24248300
2010-11-26,180,2010-03-15,2010-11-26,37.5,39.9094,40.0846,93.9629,93.5521,35.63,47.81,-21.5645,5.2484,12819100
2010-11-29,180,2010-03-16,2010-11-29,37.91,39.8814,40.0559,95.0568,94.6426,35.63,47.81,-20.707,6.3991,30911400
2010-11-30,180,2010-03-17,2010-11-30,37.4,39.8495,40.0235,93.853,93.4451,35.63,47.81,-21.7737,4.9677,33716700
2010-12-01,180,2010-03-18,2010-12-01,38.15,39.8198,39.9922,95.8067,95.3937,35.63,47.81,-20.205,7.0727,33157200
2010-12-02,180,2010-03-19,2010-12-02,39.31,39.7976,39.9681,98.7749,98.3534,35.63,47.81,-17.7787,10.3284,41526000
2010-12-03,180,2010-03-22,2010-12-03,39.61,39.7779,39.9468,99.5778,99.1569,35.63,47.81,-17.1512,11.1704,30070200
