date,window_trading_days,window_start,window_end,close,fixed_amount_dca_cost,moving_avg_180,price_to_dca_pct,price_to_ma_pct,min_close_in_window,max_close_in_window,drawdown_from_window_high_pct,above_window_low_pct,volume
2010-09-20,180,2010-01-04,2010-09-20,28.985,27.0818,27.1155,107.0275,106.8947,25.015,29.26,-0.9398,15.8705,14062200
2010-09-21,180,2010-01-05,2010-09-21,29.055,27.0845,27.1184,107.2756,107.1411,25.015,29.26,-0.7006,16.1503,14754000
2010-09-22,180,2010-01-06,2010-09-22,29.115,27.0891,27.1237,107.4786,107.3417,25.015,29.26,-0.4956,16.3902,15176000
2010-09-23,180,2010-01-07,2010-09-23,28.935,27.093,27.1279,106.7989,106.6612,25.015,29.26,-1.1107,15.6706,12696000
2010-09-24,180,2010-01-08,2010-09-24,29.31,27.099,27.1347,108.159,108.0167,25.015,29.31,0.0,17.1697,13812000
2010-09-27,180,2010-01-11,2010-09-27,29.3,27.1077,27.1443,108.0873,107.9417,25.015,29.31,-0.0341,17.1297,10544400
2010-09-28,180,2010-01-12,2010-09-28,29.55,27.1147,27.1521,108.9816,108.8312,25.015,29.55,0.0,18.1291,19884000
2010-09-29,180,2010-01-13,2010-09-29,29.38,27.1193,27.1574,108.3363,108.1843,25.015,29.55,-0.5753,17.4495,15742000
2010-09-30,180,2010-01-14,2010-09-30,29.26,27.1229,27.1615,107.8793,107.726,25.015,29.55,-0.9814,16.9698,15849600
2010-10-01,180,2010-01-15,2010-10-01,29.56,27.1277,27.167,108.966,108.8084,25.015,29.56,0.0,18.1691,16454400
2010-10-04,180,2010-01-19,2010-10-04,29.44,27.1341,27.1742,108.4981,108.338,25.015,29.56,-0.4059,17.6894,11523800
2010-10-05,180,2010-01-20,2010-10-05,29.83,27.142,27.1832,109.9035,109.7368,25.015,29.83,0.0,19.2485,20063000
2010-10-06,180,2010-01-21,2010-10-06,29.9,27.1526,27.1952,110.1184,109.946,25.015,29.9,0.0,19.5283,14123400
2010-10-07,180,2010-01-22,2010-10-07,29.72,27.1655,27.2093,109.4036,109.2276,25.015,29.9,-0.602,18.8087,14960800
2010-10-08,180,2010-01-25,2010-10-08,29.705,27.1786,27.2236,109.2955,109.1148,25.015,29.9,-0.6522,18.7488,16189400
2010-10-11,180,2010-01-26,2010-10-11,29.78,27.1918,27.2381,109.5182,109.3322,25.015,29.9,-0.4013,19.0486,12997000
2010-10-12,180,2010-01-27,2010-10-12,29.8,27.2057,27.2533,109.5357,109.3448,25.015,29.9,-0.3345,19.1285,16164400
2010-10-13,180,2010-01-28,2010-10-13,29.97,27.2194,27.2683,110.1052,109.9077,25.015,29.97,0.0,19.8081,24011000
2010-10-14,180,2010-01-29,2010-10-14,29.955,27.234,27.2843,109.9914,109.7886,25.015,29.97,-0.05,19.7482,14491600
2010-10-15,180,2010-02-01,2010-10-15,29.97,27.2484,27.3001,109.9882,109.78,25.015,29.97,0.0,19.8081,19697600
2010-10-18,180,2010-02-02,2010-10-18,30.0,27.2626,27.3157,110.0409,109.8271,25.015,30.0,0.0,19.928,19661800
2010-10-19,180,2010-02-03,2010-10-19,30.17,27.2758,27.3304,110.611,110.3901,25.015,30.17,0.0,20.6076,35052800
2010-10-20,180,2010-02-04,2010-10-20,30.575,27.2912,27.3478,112.0323,111.8006,25.015,30.575,0.0,22.2267,32398000
2010-10-21,180,2010-02-05,2010-10-21,30.735,27.3115,27.3701,112.535,112.2939,25.015,30.735,0.0,22.8663,23266400
2010-10-22,180,2010-02-08,2010-10-22,30.805,27.3331,27.3938,112.7021,112.4524,25.015,30.805,0.0,23.1461,9534600
2010-10-25,180,2010-02-09,2010-10-25,30.505,27.3547,27.417,111.5163,111.263,25.015,30.805,-0.9739,21.9468,21228200
2010-10-26,180,2010-02-10,2010-10-26,30.62,27.3729,27.4371,111.8624,111.6007,25.015,30.805,-0.6005,22.4066,15502200
2010-10-27,180,2010-02-11,2010-10-27,30.595,27.3917,27.4577,111.6946,111.4261,25.015,30.805,-0.6817,22.3066,19029400
2010-10-28,180,2010-02-12,2010-10-28,30.605,27.4092,27.4771,111.6595,111.3837,25.015,30.805,-0.6492,22.3466,16533600
2010-10-29,180,2010-02-16,2010-10-29,30.66,27.4277,27.4975,111.7846,111.5012,25.015,30.805,-0.4707,22.5665,14239600
2010-11-01,180,2010-02-17,2010-11-01,30.855,27.4448,27.5166,112.4257,112.1323,25.015,30.855,0.0,23.346,17996800
2010-11-02,180,2010-02-18,2010-11-02,30.93,27.4608,27.5347,112.6334,112.3308,25.015,30.93,0.0,23.6458,13196000
2010-11-03,180,2010-02-19,2010-11-03,30.975,27.4754,27.5515,112.7373,112.4257,25.015,30.975,0.0,23.8257,15687400
2010-11-04,180,2010-02-22,2010-11-04,31.225,27.4916,27.5702,113.5801,113.2563,25.015,31.225,0.0,24.8251,27487000
2010-11-05,180,2010-02-23,2010-11-05,31.29,27.5091,27.5902,113.7443,113.4097,25.015,31.29,0.0,25.085,16013800
2010-11-08,180,2010-02-24,2010-11-08,31.23,27.5278,27.6114,113.4489,113.1054,25.015,31.29,-0.1918,24.8451,11142200
2010-11-09,180,2010-02-25,2010-11-09,31.32,27.5461,27.6322,113.7005,113.346,25.015,31.32,0.0,25.2049,16637600
2010-11-10,180,2010-02-26,2010-11-10,31.275,27.57,27.6584,113.4385,113.076,25.015,31.32,-0.1437,25.025,18013800
2010-11-11,180,2010-03-01,2010-11-11,31.4,27.5957,27.6864,113.7857,113.4131,25.015,31.4,0.0,25.5247,16253600
2010-11-12,180,2010-03-02,2010-11-12,31.46,27.6201,27.7132,113.9025,113.5199,25.015,31.46,0.0,25.7645,20022800
2010-11-15,180,2010-03-03,2010-11-15,31.48,27.6445,27.74,113.8742,113.4822,25.015,31.48,0.0,25.8445,22949400
2010-11-16,180,2010-03-04,2010-11-16,31.04,27.6652,27.7627,112.1986,111.8048,25.015,31.48,-1.3977,24.0856,23609000
2010-11-17,180,2010-03-05,2010-11-17,31.26,27.6853,27.785,112.9117,112.5066,25.015,31.48,-0.6989,24.965,16749200
2010-11-18,180,2010-03-08,2010-11-18,31.92,27.7077,27.8104,115.2028,114.7771,25.015,31.92,0.0,27.6034,41436000
2010-11-19,180,2010-03-09,2010-11-19,32.16,27.7317,27.8378,115.9684,115.5263,25.015,32.16,0.0,28.5629,40774800
2010-11-22,180,2010-03-10,2010-11-22,32.135,27.7565,27.8658,115.7748,115.3204,25.015,32.16,-0.0777,28.4629,33680600
2010-11-23,180,2010-03-11,2010-11-23,31.81,27.7799,27.892,114.5073,114.047,25.015,32.16,-1.0883,27.1637,17662200
2010-11-24,180,2010-03-12,2010-11-24,32.305,27.8072,27.9226,116.1751,115.6949,25.015,32.305,0.0,29.1425,16093000
2010-11-26,180,2010-03-15,2010-11-26,32.055,27.8342,27.9525,115.164,114.6768,25.015,32.305,-0.7739,28.1431,9016800
2010-11-29,180,2010-03-16,2010-11-29,31.695,27.8589,27.9795,113.7698,113.2793,25.015,32.305,-1.8883,26.704,22397800
2010-11-30,180,2010-03-17,2010-11-30,31.585,27.883,28.0058,113.2769,112.7801,25.015,32.305,-2.2288,26.2642,23550600
2010-12-01,180,2010-03-18,2010-12-01,32.35,27.9099,28.036,115.9085,115.3874,25.015,32.35,0.0,29.3224,20951600
2010-12-02,180,2010-03-19,2010-12-02,32.45,27.937,28.0664,116.154,115.6186,25.015,32.45,0.0,29.7222,22773600
2010-12-03,180,2010-03-22,2010-12-03,32.25,27.961,28.0935,115.3392,114.7952,25.015,32.45,-0.6163,28.9227,20677800
2010-12-06,180,2010-03-23,2010-12-06,31.995,27.9845,28.1197,114.331,113.7812,25.015,32.45,-1.4022,27.9033,22221600
2010-12-07,180,2010-03-24,2010-12-07,32.07,28.0062,28.1443,114.5102,113.9485,25.015,32.45,-1.171,28.2031,19714600
2010-12-08,180,2010-03-25,2010-12-08,32.195,28.0305,28.1714,114.8571,114.2824,25.015,32.45,-0.7858,28.7028,18226600
2010-12-09,180,2010-03-26,2010-12-09,32.415,28.0551,28.1993,115.5403,114.9496,25.015,32.45,-0.1079,29.5823,19622400
2010-12-10,180,2010-03-29,2010-12-10,32.325,28.0799,28.2271,115.1178,114.5177,25.015,32.45,-0.3852,29.2225,17909400
2010-12-13,180,2010-03-30,2010-12-13,32.425,28.1048,28.2551,115.3717,114.7581,25.015,32.45,-0.077,29.6222,18748400
2010-12-14,180,2010-03-31,2010-12-14,31.95,28.1274,28.2802,113.5902,112.9767,25.015,32.45,-1.5408,27.7234,27936800
2010-12-15,180,2010-04-01,2010-12-15,32.37,28.1515,28.3072,114.985,114.3524,25.015,32.45,-0.2465,29.4024,26126600
2010-12-16,180,2010-04-05,2010-12-16,32.67,28.176,28.3351,115.9498,115.2986,25.015,32.67,0.0,30.6016,28817200
2010-12-17,180,2010-04-06,2010-12-17,32.85,28.2025,28.3652,116.4789,115.8108,25.015,32.85,0.0,31.3212,29294200
2010-12-20,180,2010-04-07,2010-12-20,32.655,28.23,28.3958,115.6747,114.9993,25.015,32.85,-0.5936,30.5417,18271400
2010-12-21,180,2010-04-08,2010-12-21,32.745,28.2594,28.4282,115.873,115.1847,25.015,32.85,-0.3196,30.9015,18720200
2010-12-22,180,2010-04-09,2010-12-22,32.795,28.2892,28.4611,115.9277,115.2274,25.015,32.85,-0.1674,31.1013,15419800
2010-12-23,180,2010-04-12,2010-12-23,32.79,28.3165,28.4916,115.7982,115.0864,25.015,32.85,-0.1826,31.0814,13063600
2010-12-27,180,2010-04-13,2010-12-27,32.535,28.3423,28.5203,114.7931,114.0767,25.015,32.85,-0.9589,30.062,9923800
2010-12-28,180,2010-04-14,2010-12-28,32.68,28.368,28.549,115.2003,114.4699,25.015,32.85,-0.5175,30.6416,9861600
2010-12-29,180,2010-04-15,2010-12-29,32.725,28.3941,28.5782,115.2527,114.5105,25.015,32.85,-0.3805,30.8215,8747200
2010-12-30,180,2010-04-16,2010-12-30,32.75,28.4225,28.6094,115.2257,114.4729,25.015,32.85,-0.3044,30.9215,9285800
2010-12-31,180,2010-04-19,2010-12-31,32.885,28.4493,28.6394,115.5915,114.8244,25.015,32.885,0.0,31.4611,10773400
2011-01-03,180,2010-04-20,2011-01-03,32.61,28.474,28.6669,114.5255,113.7549,25.015,32.885,-0.8362,30.3618,18945600
2011-01-04,180,2010-04-21,2011-01-04,31.935,28.4984,28.693,112.059,111.2989,25.015,32.885,-2.8889,27.6634,27940400
2011-01-05,180,2010-04-22,2011-01-05,31.745,28.5228,28.7188,111.297,110.5372,25.015,32.885,-3.4666,26.9039,34379000
2011-01-06,180,2010-04-23,2011-01-06,31.515,28.5458,28.7431,110.4014,109.6439,25.015,32.885,-4.166,25.9844,21712400
2011-01-07,180,2010-04-26,2011-01-07,31.46,28.57,28.7682,110.1155,109.357,25.015,32.885,-4.3333,25.7645,16592800
2011-01-10,180,2010-04-27,2011-01-10,31.53,28.595,28.7941,110.264,109.5017,25.015,32.885,-4.1204,26.0444,14904600
2011-01-11,180,2010-04-28,2011-01-11,31.345,28.6219,28.8214,109.5139,108.7561,25.015,32.885,-4.683,25.3048,15504000
2011-01-12,180,2010-04-29,2011-01-12,31.52,28.6482,28.8482,110.0245,109.2614,25.015,32.885,-4.1508,26.0044,14223200
2011-01-13,180,2010-04-30,2011-01-13,31.7,28.674,28.8751,110.553,109.7832,25.015,32.885,-3.6035,26.724,17947600
2011-01-14,180,2010-05-03,2011-01-14,31.565,28.7003,28.902,109.9816,109.214,25.015,32.885,-4.014,26.1843,12631400
2011-01-18,180,2010-05-04,2011-01-18,31.74,28.7264,28.929,110.4909,109.717,25.015,32.885,-3.4818,26.8839,16344000
2011-01-19,180,2010-05-05,2011-01-19,31.71,28.7542,28.9574,110.2794,109.5056,25.015,32.885,-3.5731,26.7639,18326800
