date,window_trading_days,window_start,window_end,close,fixed_amount_dca_cost,moving_avg_180,price_to_dca_pct,price_to_ma_pct,min_close_in_window,max_close_in_window,drawdown_from_window_high_pct,above_window_low_pct,volume
2010-09-20,180,2010-01-04,2010-09-20,36.35,34.9946,35.0306,103.8732,103.7664,32.25,37.77,-3.7596,12.7132,5525700
2010-09-21,180,2010-01-05,2010-09-21,36.33,34.9972,35.0334,103.8082,103.7009,32.25,37.77,-3.8125,12.6512,4736600
2010-09-22,180,2010-01-06,2010-09-22,36.05,35.0019,35.0382,102.9945,102.8876,32.25,37.77,-4.5539,11.7829,6931300
2010-09-23,180,2010-01-07,2010-09-23,35.86,35.004,35.0405,102.4453,102.3387,32.25,37.77,-5.0569,11.1938,4437700
2010-09-24,180,2010-01-08,2010-09-24,36.1,35.0085,35.0451,103.1179,103.0101,32.25,37.77,-4.4215,11.938,6132600
2010-09-27,180,2010-01-11,2010-09-27,35.94,35.0136,35.0503,102.6459,102.5383,32.25,37.77,-4.8451,11.4419,4638800
2010-09-28,180,2010-01-12,2010-09-28,36.39,35.0184,35.0554,103.9169,103.8071,32.25,37.77,-3.6537,12.8372,5453300
2010-09-29,180,2010-01-13,2010-09-29,36.53,35.0245,35.0619,104.2983,104.1872,32.25,37.77,-3.283,13.2713,6778900
2010-09-30,180,2010-01-14,2010-09-30,36.53,35.0281,35.0657,104.2877,104.176,32.25,37.77,-3.283,13.2713,6022100
2010-10-01,180,2010-01-15,2010-10-01,36.54,35.0309,35.0687,104.308,104.1956,32.25,37.77,-3.2566,13.3023,5212600
2010-10-04,180,2010-01-19,2010-10-04,36.3,35.0334,35.0713,103.6154,103.5033,32.25,37.77,-3.892,12.5581,4680800
2010-10-05,180,2010-01-20,2010-10-05,36.89,35.0308,35.0684,105.3072,105.1943,32.25,37.77,-2.3299,14.3876,5468200
2010-10-06,180,2010-01-21,2010-10-06,37.17,35.0302,35.0677,106.1085,105.9949,32.25,37.77,-1.5886,15.2558,4981700
2010-10-07,180,2010-01-22,2010-10-07,37.08,35.0351,35.0731,105.8366,105.722,32.25,37.77,-1.8268,14.9768,3782400
2010-10-08,180,2010-01-25,2010-10-08,37.07,35.0432,35.0817,105.7838,105.6676,32.25,37.77,-1.8533,14.9457,4539400
2010-10-11,180,2010-01-26,2010-10-11,37.22,35.0507,35.0899,106.189,106.0704,32.25,37.77,-1.4562,15.4109,3152400
2010-10-12,180,2010-01-27,2010-10-12,37.36,35.0568,35.0966,106.57,106.4492,32.25,37.77,-1.0855,15.845,3733900
2010-10-13,180,2010-01-28,2010-10-13,37.4,35.0618,35.1022,106.6687,106.5461,32.25,37.77,-0.9796,15.969,5772600
2010-10-14,180,2010-01-29,2010-10-14,37.42,35.0704,35.1114,106.6998,106.5749,32.25,37.77,-0.9267,16.031,4715900
2010-10-15,180,2010-02-01,2010-10-15,37.76,35.0835,35.1257,107.6289,107.4997,32.25,37.77,-0.0265,17.0853,6742200
2010-10-18,180,2010-02-02,2010-10-18,38.06,35.0992,35.1427,108.4354,108.3014,32.25,38.06,0.0,18.0155,10374700
2010-10-19,180,2010-02-03,2010-10-19,37.45,35.1086,35.1528,106.6689,106.5348,32.25,38.06,-1.6027,16.124,6696200
2010-10-20,180,2010-02-04,2010-10-20,36.01,35.1124,35.1567,102.5564,102.4271,32.25,38.06,-5.3862,11.6589,18242000
2010-10-21,180,2010-02-05,2010-10-21,35.5,35.117,35.1613,101.0906,100.9632,32.25,38.06,-6.7262,10.0775,10773400
2010-10-22,180,2010-02-08,2010-10-22,35.4,35.122,35.1662,100.7917,100.6648,32.25,38.06,-6.989,9.7674,6708900
2010-10-25,180,2010-02-09,2010-10-25,35.13,35.1239,35.1682,100.0173,99.8915,32.25,38.06,-7.6984,8.9302,8500300
2010-10-26,180,2010-02-10,2010-10-26,34.9,35.1222,35.1665,99.3672,99.2422,32.25,38.06,-8.3027,8.2171,7667800
2010-10-27,180,2010-02-11,2010-10-27,34.94,35.1267,35.1708,99.4686,99.3438,32.25,38.06,-8.1976,8.3411,7163400
2010-10-28,180,2010-02-12,2010-10-28,35.15,35.1323,35.1762,100.0505,99.9255,32.25,38.06,-7.6458,8.9923,6306900
2010-10-29,180,2010-02-16,2010-10-29,35.2,35.1394,35.1832,100.1724,100.0478,32.25,38.06,-7.5145,9.1473,6326300
