date,window_trading_days,window_start,window_end,close,fixed_amount_dca_cost,moving_avg_180,price_to_dca_pct,price_to_ma_pct,min_close_in_window,max_close_in_window,drawdown_from_window_high_pct,above_window_low_pct,volume
2010-09-20,180,2010-01-04,2010-09-20,21.871,22.4423,22.6539,97.4545,96.5442,19.198,26.722,-18.1536,13.9233,17232000
2010-09-21,180,2010-01-05,2010-09-21,21.699,22.4223,22.6317,96.7742,95.8786,19.198,26.722,-18.7972,13.0274,17864000
2010-09-22,180,2010-01-06,2010-09-22,21.903,22.4039,22.6112,97.7644,96.8681,19.198,26.722,-18.0338,14.09,13085000
2010-09-23,180,2010-01-07,2010-09-23,21.943,22.3859,22.5911,98.0215,97.1313,19.198,26.722,-17.8841,14.2984,18314000
2010-09-24,180,2010-01-08,2010-09-24,22.157,22.3699,22.5731,99.0482,98.1566,19.198,26.722,-17.0833,15.4131,11947000
2010-09-27,180,2010-01-11,2010-09-27,22.237,22.3544,22.5556,99.475,98.5877,19.198,26.722,-16.7839,15.8298,9131000
2010-09-28,180,2010-01-12,2010-09-28,22.3,22.341,22.5407,99.8164,98.9323,19.198,26.722,-16.5482,16.1579,9990000
2010-09-29,180,2010-01-13,2010-09-29,22.263,22.3275,22.5257,99.7109,98.834,19.198,26.722,-16.6866,15.9652,11578000
2010-09-30,180,2010-01-14,2010-09-30,22.4,22.312,22.5078,100.3942,99.5211,19.198,26.722,-16.1739,16.6788,12062000
2010-10-01,180,2010-01-15,2010-10-01,22.478,22.2952,22.488,100.82,99.9557,19.198,26.722,-15.882,17.0851,9572000
2010-10-04,180,2010-01-19,2010-10-04,22.264,22.2763,22.4657,99.9448,99.102,19.198,26.722,-16.6829,15.9704,14600000
2010-10-05,180,2010-01-20,2010-10-05,22.59,22.2584,22.4442,101.4897,100.6498,19.198,26.722,-15.4629,17.6685,12251000
2010-10-06,180,2010-01-21,2010-10-06,22.33,22.2397,22.4219,100.4062,99.5902,19.198,26.722,-16.4359,16.3142,8055000
2010-10-07,180,2010-01-22,2010-10-07,22.086,22.2216,22.401,99.39,98.594,19.198,26.722,-17.349,15.0432,5982000
2010-10-08,180,2010-01-25,2010-10-08,22.259,22.2073,22.3847,100.2329,99.4383,19.198,26.722,-16.7016,15.9444,8618000
2010-10-11,180,2010-01-26,2010-10-11,22.286,22.1929,22.3683,100.4196,99.6321,19.198,26.722,-16.6006,16.085,4560000
2010-10-12,180,2010-01-27,2010-10-12,22.213,22.1798,22.3536,100.1499,99.3711,19.198,26.722,-16.8737,15.7048,6982000
2010-10-13,180,2010-01-28,2010-10-13,23.089,22.168,22.3394,104.1546,103.3553,19.198,26.722,-13.5955,20.2677,18800000
2010-10-14,180,2010-01-29,2010-10-14,23.266,22.1601,22.3301,104.9904,104.1911,19.198,26.722,-12.9332,21.1897,19475000
2010-10-15,180,2010-02-01,2010-10-15,23.37,22.1526,22.3211,105.4957,104.6991,19.198,26.722,-12.544,21.7314,10996000
2010-10-18,180,2010-02-02,2010-10-18,23.545,22.1443,22.3111,106.3251,105.5303,19.198,26.722,-11.8891,22.643,8128000
2010-10-19,180,2010-02-03,2010-10-19,23.705,22.1373,22.3025,107.0818,106.2885,19.198,26.722,-11.2903,23.4764,15936000
2010-10-20,180,2010-02-04,2010-10-20,24.052,22.1341,22.2986,108.6651,107.8633,19.198,26.722,-9.9918,25.2839,9217000
2010-10-21,180,2010-02-05,2010-10-21,24.319,22.1447,22.3103,109.8186,109.0034,19.198,26.722,-8.9926,26.6747,11449000
2010-10-22,180,2010-02-08,2010-10-22,24.264,22.1558,22.3225,109.5152,108.6976,19.198,26.722,-9.1984,26.3882,6182000
2010-10-25,180,2010-02-09,2010-10-25,24.515,22.1651,22.3329,110.602,109.7708,19.198,26.722,-8.2591,27.6956,9933000
2010-10-26,180,2010-02-10,2010-10-26,24.352,22.1751,22.344,109.8167,108.9866,19.198,26.722,-8.8691,26.8465,9054000
2010-10-27,180,2010-02-11,2010-10-27,24.576,22.1844,22.3545,110.7807,109.9375,19.198,26.722,-8.0308,28.0133,9034000
2010-10-28,180,2010-02-12,2010-10-28,23.952,22.1896,22.3604,107.9424,107.1181,19.198,26.722,-10.366,24.763,13105000
2010-10-29,180,2010-02-16,2010-10-29,24.006,22.197,22.3685,108.1498,107.3208,19.198,26.722,-10.1639,25.0443,8065000
2010-11-01,180,2010-02-17,2010-11-01,23.899,22.2039,22.3761,107.634,106.8061,19.198,26.722,-10.5643,24.4869,8713000
2010-11-02,180,2010-02-18,2010-11-02,24.598,22.2144,22.3878,110.7299,109.8723,19.198,26.722,-7.9485,28.1279,18490000
2010-11-03,180,2010-02-19,2010-11-03,25.183,22.2291,22.4044,113.2886,112.4021,19.198,26.722,-5.7593,31.1751,15721000
2010-11-04,180,2010-02-22,2010-11-04,25.489,22.2447,22.4223,114.5847,113.677,19.198,26.722,-4.6142,32.769,11751000
2010-11-05,180,2010-02-23,2010-11-05,25.629,22.26,22.4401,115.1347,114.2106,19.198,26.722,-4.0903,33.4983,10195000
