date,window_trading_days,window_start,window_end,close,fixed_amount_dca_cost,moving_avg_180,price_to_dca_pct,price_to_ma_pct,min_close_in_window,max_close_in_window,drawdown_from_window_high_pct,above_window_low_pct,volume
2010-09-20,180,2010-01-04,2010-09-20,75.11,68.1062,68.2952,110.2836,109.9784,61.45,76.08,-1.275,22.2295,4211200
2010-09-21,180,2010-01-05,2010-09-21,75.51,68.1755,68.3659,110.7583,110.4497,61.45,76.08,-0.7492,22.8804,5297300
2010-09-22,180,2010-01-06,2010-09-22,75.13,68.2464,68.4372,110.0864,109.7794,61.45,76.08,-1.2487,22.262,5141600
2010-09-23,180,2010-01-07,2010-09-23,74.64,68.3209,68.5105,109.2492,108.9468,61.84,76.08,-1.8927,20.6986,5921600
2010-09-24,180,2010-01-08,2010-09-24,75.1,68.3946,68.5838,109.804,109.501,61.84,76.08,-1.2881,21.4424,5843400
2010-09-27,180,2010-01-11,2010-09-27,74.76,68.4673,68.6556,109.1909,108.8913,62.28,76.08,-1.735,20.0385,5957400
2010-09-28,180,2010-01-12,2010-09-28,74.63,68.5363,68.724,108.8912,108.5938,62.28,76.08,-1.9059,19.8298,7047500
2010-09-29,180,2010-01-13,2010-09-29,74.45,68.6023,68.7895,108.5241,108.2287,62.28,76.08,-2.1425,19.5408,4668100
2010-09-30,180,2010-01-14,2010-09-30,74.51,68.6692,68.8557,108.5057,108.2118,62.28,76.08,-2.0636,19.6371,7237700
2010-10-01,180,2010-01-15,2010-10-01,74.92,68.7377,68.9239,108.994,108.6996,62.28,76.08,-1.5247,20.2954,7192400
2010-10-04,180,2010-01-19,2010-10-04,74.95,68.8091,68.9943,108.9246,108.6322,62.43,76.08,-1.4853,20.0545,3900300
2010-10-05,180,2010-01-20,2010-10-05,75.82,68.8766,69.0628,110.081,109.7841,62.43,76.08,-0.3417,21.448,5680000
2010-10-06,180,2010-01-21,2010-10-06,75.56,68.9461,69.1326,109.5929,109.2973,62.43,76.08,-0.6835,21.0316,4732700
2010-10-07,180,2010-01-22,2010-10-07,75.86,69.0159,69.2029,109.9167,109.6197,62.43,76.08,-0.2892,21.5121,4477200
2010-10-08,180,2010-01-25,2010-10-08,76.1,69.0857,69.2735,110.153,109.8544,62.43,76.1,0.0,21.8965,4118200
2010-10-11,180,2010-01-26,2010-10-11,75.59,69.1553,69.3429,109.3048,109.0089,62.43,76.1,-0.6702,21.0796,3653400
2010-10-12,180,2010-01-27,2010-10-12,75.58,69.2202,69.4083,109.1878,108.8918,62.43,76.1,-0.6833,21.0636,4703500
2010-10-13,180,2010-01-28,2010-10-13,75.75,69.2865,69.4751,109.3286,109.0319,62.43,76.1,-0.4599,21.3359,4370700
2010-10-14,180,2010-01-29,2010-10-14,77.04,69.3649,69.5541,111.0648,110.7628,62.43,77.04,0.0,23.4022,6616400
2010-10-15,180,2010-02-01,2010-10-15,77.48,69.4482,69.6377,111.5652,111.2616,62.92,77.48,0.0,23.1405,6259200
2010-10-18,180,2010-02-02,2010-10-18,77.32,69.5211,69.7123,111.2181,110.913,62.92,77.48,-0.2065,22.8862,5375200
2010-10-19,180,2010-02-03,2010-10-19,76.99,69.5918,69.7843,110.6309,110.3257,62.92,77.48,-0.6324,22.3617,5226000
2010-10-20,180,2010-02-04,2010-10-20,77.41,69.6568,69.8521,111.1305,110.8199,62.92,77.48,-0.0903,23.0293,6420300
2010-10-21,180,2010-02-05,2010-10-21,78.44,69.7341,69.9319,112.4845,112.1662,62.92,78.44,0.0,24.6662,7697000
2010-10-22,180,2010-02-08,2010-10-22,78.55,69.8165,70.0163,112.5091,112.1882,62.92,78.55,0.0,24.8411,4224000
2010-10-25,180,2010-02-09,2010-10-25,78.7,69.903,70.1039,112.5847,112.2619,63.25,78.7,0.0,24.4269,4103000
2010-10-26,180,2010-02-10,2010-10-26,78.76,69.9854,70.1883,112.5377,112.2124,63.25,78.76,0.0,24.5217,4030200
2010-10-27,180,2010-02-11,2010-10-27,77.48,70.0645,70.2674,110.5838,110.2645,63.43,78.76,-1.6252,22.1504,8459200
2010-10-28,180,2010-02-12,2010-10-28,77.48,70.1401,70.3434,110.4646,110.1453,63.43,78.76,-1.6252,22.1504,5346300
2010-10-29,180,2010-02-16,2010-10-29,77.77,70.2186,70.4222,110.7541,110.4339,63.43,78.76,-1.257,22.6076,4335000
2010-11-01,180,2010-02-17,2010-11-01,77.88,70.2949,70.4993,110.7904,110.4692,63.43,78.76,-1.1173,22.781,4957800
2010-11-02,180,2010-02-18,2010-11-02,78.4,70.372,70.5778,111.4079,111.083,63.43,78.76,-0.4571,23.6008,3701400
2010-11-03,180,2010-02-19,2010-11-03,78.5,70.4483,70.6557,111.4292,111.1021,63.43,78.76,-0.3301,23.7585,4060500
2010-11-04,180,2010-02-22,2010-11-04,79.18,70.5261,70.7359,112.2706,111.9374,63.43,79.18,0.0,24.8305,5607000
2010-11-05,180,2010-02-23,2010-11-05,79.3,70.6043,70.8167,112.3161,111.9793,63.43,79.3,0.0,25.0197,5243200
2010-11-08,180,2010-02-24,2010-11-08,79.31,70.6821,70.8969,112.2066,111.8667,63.43,79.31,0.0,25.0355,4865700
2010-11-09,180,2010-02-25,2010-11-09,79.1,70.7566,70.9738,111.7916,111.4496,63.43,79.31,-0.2648,24.7044,4534300
2010-11-10,180,2010-02-26,2010-11-10,79.5,70.8389,71.0578,112.2265,111.8808,63.43,79.5,0.0,25.335,4009900
2010-11-11,180,2010-03-01,2010-11-11,79.7,70.9258,71.1458,112.3709,112.0234,63.43,79.7,0.0,25.6503,4438900
2010-11-12,180,2010-03-02,2010-11-12,78.85,71.0083,71.2284,111.0434,110.7002,63.43,79.7,-1.0665,24.3103,4946900
2010-11-15,180,2010-03-03,2010-11-15,79.07,71.0913,71.3118,111.2231,110.8793,63.43,79.7,-0.7905,24.6571,3741600
2010-11-16,180,2010-03-04,2010-11-16,77.42,71.17,71.3884,108.7818,108.449,63.43,79.7,-2.8607,22.0558,6751400
2010-11-17,180,2010-03-05,2010-11-17,78.37,71.2547,71.4714,109.9857,109.6523,63.67,79.7,-1.6688,23.0878,5272800
2010-11-18,180,2010-03-08,2010-11-18,79.02,71.3409,71.5567,110.764,110.43,64.94,79.7,-0.8532,21.6815,11083200
2010-11-19,180,2010-03-09,2010-11-19,79.64,71.4201,71.6373,111.5092,111.1711,64.94,79.7,-0.0753,22.6363,10866000
2010-11-22,180,2010-03-10,2010-11-22,79.52,71.4991,71.7174,111.2181,110.8796,64.94,79.7,-0.2258,22.4515,10939500
2010-11-23,180,2010-03-11,2010-11-23,79.01,71.5771,71.7956,110.3845,110.0485,65.21,79.7,-0.8657,21.1624,5460400
2010-11-24,180,2010-03-12,2010-11-24,79.48,71.6556,71.8749,110.9195,110.581,65.53,79.7,-0.276,21.288,4465100
2010-11-26,180,2010-03-15,2010-11-26,78.54,71.7277,71.9472,109.4974,109.1634,65.87,79.7,-1.4555,19.2349,2576700
2010-11-29,180,2010-03-16,2010-11-29,78.26,71.7961,72.0157,109.0031,108.6708,65.87,79.7,-1.8068,18.8098,4977600
2010-11-30,180,2010-03-17,2010-11-30,78.3,71.8639,72.0836,108.956,108.6239,65.87,79.7,-1.7566,18.8705,5558300
2010-12-01,180,2010-03-18,2010-12-01,79.29,71.9343,72.1553,110.2256,109.8879,65.87,79.7,-0.5144,20.3735,5323300
2010-12-02,180,2010-03-19,2010-12-02,79.38,72.0033,72.2259,110.2449,109.9052,65.87,79.7,-0.4015,20.5101,4994400
2010-12-03,180,2010-03-22,2010-12-03,79.76,72.0752,72.2994,110.6622,110.3191,65.87,79.76,0.0,21.087,3611200
2010-12-06,180,2010-03-23,2010-12-06,79.58,72.1433,72.3692,110.3082,109.9639,65.87,79.76,-0.2257,20.8137,3113700
2010-12-07,180,2010-03-24,2010-12-07,80.34,72.2128,72.4414,111.2545,110.9034,65.87,80.34,0.0,21.9675,7729000
2010-12-08,180,2010-03-25,2010-12-08,78.74,72.2786,72.5077,108.9395,108.5953,65.87,80.34,-1.9915,19.5385,9359700
2010-12-09,180,2010-03-26,2010-12-09,77.61,72.3385,72.5672,107.2872,106.9491,65.87,80.34,-3.3981,17.823,10593300
2010-12-10,180,2010-03-29,2010-12-10,77.56,72.396,72.6244,107.133,106.796,65.87,80.34,-3.4603,17.7471,5321100
2010-12-13,180,2010-03-30,2010-12-13,77.11,72.4526,72.6802,106.4283,106.0949,65.87,80.34,-4.0204,17.0639,6926500
2010-12-14,180,2010-03-31,2010-12-14,77.11,72.5081,72.7351,106.3467,106.0149,65.87,80.34,-4.0204,17.0639,6040400
2010-12-15,180,2010-04-01,2010-12-15,76.98,72.5665,72.7921,106.082,105.7533,65.87,80.34,-4.1822,16.8666,6125800
2010-12-16,180,2010-04-05,2010-12-16,76.71,72.6181,72.8428,105.6349,105.309,65.87,80.34,-4.5183,16.4567,6483700
2010-12-17,180,2010-04-06,2010-12-17,76.81,72.6673,72.8916,105.7009,105.3757,65.87,80.34,-4.3938,16.6085,8998800
2010-12-20,180,2010-04-07,2010-12-20,76.92,72.7186,72.9422,105.7776,105.4534,65.87,80.34,-4.2569,16.7755,4759200
2010-12-21,180,2010-04-08,2010-12-21,76.86,72.7704,72.9931,105.6199,105.2977,65.87,80.34,-4.3316,16.6844,4286100
2010-12-22,180,2010-04-09,2010-12-22,77.01,72.8162,73.0389,105.7594,105.437,65.87,80.34,-4.1449,16.9121,3518100
2010-12-23,180,2010-04-12,2010-12-23,76.96,72.8624,73.0849,105.6238,105.3022,65.87,80.34,-4.2071,16.8362,2862600
2010-12-27,180,2010-04-13,2010-12-27,76.43,72.9069,73.1288,104.8323,104.5143,65.87,80.34,-4.8668,16.0316,2612600
2010-12-28,180,2010-04-14,2010-12-28,76.43,72.949,73.1705,104.7718,104.4547,65.87,80.34,-4.8668,16.0316,2962900
2010-12-29,180,2010-04-15,2010-12-29,76.99,72.9909,73.2126,105.4788,105.1596,65.87,80.34,-4.1698,16.8817,3583900
2010-12-30,180,2010-04-16,2010-12-30,76.76,73.0333,73.2548,105.1027,104.785,65.87,80.34,-4.4561,16.5326,2565000
2010-12-31,180,2010-04-19,2010-12-31,76.76,73.0766,73.2977,105.0405,104.7236,65.87,80.34,-4.4561,16.5326,2485100
2011-01-03,180,2010-04-20,2011-01-03,76.6,73.1136,73.3348,104.7685,104.4524,65.87,80.34,-4.6552,16.2897,8019700
2011-01-04,180,2010-04-21,2011-01-04,74.31,73.1362,73.3569,101.605,101.2993,65.87,80.34,-7.5056,12.8131,36471600
2011-01-05,180,2010-04-22,2011-01-05,74.66,73.1605,73.3808,102.0496,101.7433,65.87,80.34,-7.0699,13.3445,17904000
2011-01-06,180,2010-04-23,2011-01-06,74.21,73.1784,73.3984,101.4096,101.1057,65.87,80.34,-7.6301,12.6613,11717100
2011-01-07,180,2010-04-26,2011-01-07,74.37,73.1966,73.4163,101.6031,101.299,65.87,80.34,-7.4309,12.9042,11271900
2011-01-10,180,2010-04-27,2011-01-10,73.56,73.211,73.4304,100.4767,100.1764,65.87,80.34,-8.4391,11.6745,11338600
2011-01-11,180,2010-04-28,2011-01-11,73.9,73.2303,73.4492,100.9145,100.6138,65.87,80.34,-8.0159,12.1907,8658800
2011-01-12,180,2010-04-29,2011-01-12,73.6,73.2491,73.4673,100.4791,100.1807,65.87,80.34,-8.3893,11.7352,10378500
2011-01-13,180,2010-04-30,2011-01-13,72.67,73.2557,73.4737,99.2005,98.9062,65.87,80.34,-9.5469,10.3234,14512600
2011-01-14,180,2010-05-03,2011-01-14,74.06,73.2754,73.4929,101.0707,100.7716,65.87,80.34,-7.8168,12.4336,10570000
2011-01-18,180,2010-05-04,2011-01-18,74.68,73.2937,73.5111,101.8915,101.5902,65.87,80.34,-7.0451,13.3748,11228500
2011-01-19,180,2010-05-05,2011-01-19,75.35,73.3201,73.5372,102.7685,102.4651,65.87,80.34,-6.2111,14.392,10696700
2011-01-20,180,2010-05-06,2011-01-20,75.16,73.3454,73.5622,102.474,102.172,65.87,80.34,-6.4476,14.1035,8290300
2011-01-21,180,2010-05-07,2011-01-21,75.01,73.3775,73.5933,102.2248,101.9251,65.87,80.34,-6.6343,13.8758,9825900
2011-01-24,180,2010-05-10,2011-01-24,75.38,73.4205,73.6342,102.6688,102.3709,65.87,80.34,-6.1738,14.4375,16395500
2011-01-25,180,2010-05-11,2011-01-25,75.48,73.4481,73.6614,102.7665,102.4688,65.87,80.34,-6.0493,14.5893,6959800
2011-01-26,180,2010-05-12,2011-01-26,75.17,73.4746,73.6875,102.3074,102.0119,65.87,80.34,-6.4351,14.1187,6669000
2011-01-27,180,2010-05-13,2011-01-27,74.35,73.4956,73.7079,101.1625,100.8711,65.87,80.34,-7.4558,12.8738,7610900
2011-01-28,180,2010-05-14,2011-01-28,73.28,73.5118,73.7234,99.6847,99.3986,65.87,80.34,-8.7876,11.2494,9083500
2011-01-31,180,2010-05-17,2011-01-31,73.67,73.5357,73.7461,100.1826,99.8969,65.87,80.34,-8.3022,11.8415,6372400
2011-02-01,180,2010-05-18,2011-02-01,73.47,73.5551,73.7646,99.8843,99.6007,65.87,80.34,-8.5512,11.5379,8468900
2011-02-02,180,2010-05-19,2011-02-02,73.64,73.5762,73.7847,100.0867,99.8039,65.87,80.34,-8.3396,11.796,5841900
2011-02-03,180,2010-05-20,2011-02-03,73.83,73.6022,73.8093,100.3095,100.0281,65.87,80.34,-8.1031,12.0844,11126100
2011-02-04,180,2010-05-21,2011-02-04,74.05,73.6406,73.8448,100.5559,100.2779,65.87,80.34,-7.8292,12.4184,9699700
2011-02-07,180,2010-05-24,2011-02-07,73.45,73.6744,73.8758,99.6954,99.4236,65.87,80.34,-8.5761,11.5075,11618600
2011-02-08,180,2010-05-25,2011-02-08,75.36,73.72,73.9186,102.2246,101.95,65.87,80.34,-6.1986,14.4072,11855200
2011-02-09,180,2010-05-26,2011-02-09,75.93,73.7675,73.9636,102.9316,102.6587,65.87,80.34,-5.4892,15.2725,5845000
2011-02-10,180,2010-05-27,2011-02-10,75.76,73.8264,74.0177,102.6191,102.3539,65.87,80.34,-5.7008,15.0144,5437100
2011-02-11,180,2010-05-28,2011-02-11,76.14,73.8794,74.0674,103.0599,102.7983,65.87,80.34,-5.2278,15.5913,4597900
2011-02-14,180,2010-06-01,2011-02-14,76.24,73.9352,74.1194,103.1174,102.861,65.87,80.34,-5.1033,15.7431,4512800
2011-02-15,180,2010-06-02,2011-02-15,76.15,73.994,74.1738,102.9137,102.6642,65.87,80.34,-5.2153,15.6065,3823000
2011-02-16,180,2010-06-03,2011-02-16,76.02,74.0428,74.2197,102.6704,102.4257,65.87,80.34,-5.3771,15.4091,4058200
2011-02-17,180,2010-06-04,2011-02-17,75.98,74.0909,74.2648,102.5498,102.3095,65.87,80.34,-5.4269,15.3484,4338400
2011-02-18,180,2010-06-07,2011-02-18,76.13,74.1475,74.3172,102.6737,102.4392,65.87,80.34,-5.2402,15.5761,5446900
2011-02-22,180,2010-06-08,2011-02-22,75.7,74.2017,74.3669,102.0193,101.7925,65.87,80.34,-5.7755,14.9233,7034000
2011-02-23,180,2010-06-09,2011-02-23,75.19,74.2422,74.4048,101.2766,101.0553,65.87,80.34,-6.4102,14.1491,7034000
2011-02-24,180,2010-06-10,2011-02-24,75.21,74.2837,74.4434,101.247,101.0298,65.87,80.34,-6.3854,14.1794,7297100
2011-02-25,180,2010-06-11,2011-02-25,74.44,74.3138,74.4716,100.1698,99.9576,65.87,80.34,-7.3438,13.0105,6499000
2011-02-28,180,2010-06-14,2011-02-28,75.68,74.3496,74.5057,101.7894,101.5762,65.87,80.34,-5.8003,14.893,11324600
2011-03-01,180,2010-06-15,2011-03-01,74.89,74.3827,74.5367,100.682,100.474,65.87,80.34,-6.7837,13.6936,9067200
2011-03-02,180,2010-06-16,2011-03-02,74.69,74.4078,74.5606,100.3793,100.1736,65.87,80.34,-7.0326,13.39,7835300
2011-03-03,180,2010-06-17,2011-03-03,76.24,74.442,74.5936,102.4154,102.2071,65.87,80.34,-5.1033,15.7431,7390100
2011-03-04,180,2010-06-18,2011-03-04,76.03,74.4765,74.6268,102.0858,101.8802,65.87,80.34,-5.3647,15.4243,5416400
2011-03-07,180,2010-06-21,2011-03-07,76.29,74.5136,74.6624,102.384,102.1799,65.87,80.34,-5.0411,15.819,7954100
2011-03-08,180,2010-06-22,2011-03-08,75.54,74.5464,74.6937,101.3328,101.1331,65.87,80.34,-5.9746,14.6804,8950300
2011-03-09,180,2010-06-23,2011-03-09,75.78,74.5888,74.7333,101.597,101.4005,65.87,80.34,-5.6759,15.0448,5337800
2011-03-10,180,2010-06-24,2011-03-10,76.68,74.6362,74.7781,102.7384,102.5435,65.87,80.34,-4.5556,16.4111,8157900
2011-03-11,180,2010-06-25,2011-03-11,76.73,74.6898,74.8281,102.7316,102.5418,65.87,80.34,-4.4934,16.487,4448900
2011-03-14,180,2010-06-28,2011-03-14,75.67,74.7399,74.8739,101.2444,101.0633,65.87,80.34,-5.8128,14.8778,7988500
2011-03-15,180,2010-06-29,2011-03-15,75.12,74.7878,74.9172,100.4442,100.2707,65.87,80.34,-6.4974,14.0428,6933600
2011-03-16,180,2010-06-30,2011-03-16,73.38,74.8319,74.9556,98.0598,97.8979,65.87,80.34,-8.6632,11.4012,10583900
2011-03-17,180,2010-07-01,2011-03-17,73.4,74.8804,74.9974,98.023,97.87,66.11,80.34,-8.6383,11.0271,6126100
2011-03-18,180,2010-07-02,2011-03-18,72.99,74.9206,75.0323,97.4232,97.2781,66.11,80.34,-9.1486,10.4069,9184100
