date,window_trading_days,window_start,window_end,close,fixed_amount_dca_cost,moving_avg_180,price_to_dca_pct,price_to_ma_pct,min_close_in_window,max_close_in_window,drawdown_from_window_high_pct,above_window_low_pct,volume
2013-02-06,180,2012-05-18,2013-02-06,29.05,24.5583,25.4268,118.2898,114.2494,17.73,38.23,-24.0126,63.8466,38375900
2013-02-07,180,2012-05-21,2013-02-07,28.65,24.5291,25.3736,116.8003,112.9126,17.73,34.03,-15.8096,61.5905,34540100
2013-02-08,180,2012-05-22,2013-02-08,28.55,24.5102,25.3432,116.482,112.6536,17.73,33.1,-13.7462,61.0265,37708800
2013-02-11,180,2012-05-23,2013-02-11,28.26,24.4998,25.3279,115.348,111.5764,17.73,33.1,-14.6224,59.3909,37361800
2013-02-12,180,2012-05-24,2013-02-12,27.37,24.4822,25.3022,111.7957,108.1723,17.73,33.1,-17.3112,54.3711,93498700
2013-02-13,180,2012-05-25,2013-02-13,27.91,24.4637,25.2738,114.0875,110.4307,17.73,33.1,-15.6798,57.4168,50164000
2013-02-14,180,2012-05-29,2013-02-14,28.5,24.4512,25.2548,116.5586,112.8497,17.73,33.1,-13.8973,60.7445,35615800
2013-02-15,180,2012-05-30,2013-02-15,28.32,24.4491,25.2519,115.8324,112.1498,17.73,33.1,-14.4411,59.7293,33109300
2013-02-19,180,2012-05-31,2013-02-19,28.93,24.4521,25.2561,118.3128,114.5468,17.73,33.1,-12.5982,63.1698,49396400
2013-02-20,180,2012-06-01,2013-02-20,28.46,24.4476,25.2497,116.4121,112.7141,17.73,33.1,-14.0181,60.5189,42098200
2013-02-21,180,2012-06-04,2013-02-21,27.28,24.4457,25.2473,111.5943,108.0513,17.73,33.1,-17.5831,53.8635,49642300
2013-02-22,180,2012-06-05,2013-02-22,27.13,24.4467,25.2486,110.9759,107.4517,17.73,33.1,-18.0363,53.0175,36350200
2013-02-25,180,2012-06-06,2013-02-25,27.27,24.4533,25.2563,111.5185,107.9729,17.73,33.1,-17.6133,53.8071,34652000
2013-02-26,180,2012-06-07,2013-02-26,27.39,24.456,25.2596,111.9972,108.4342,17.73,33.1,-17.2508,54.4839,31611700
2013-02-27,180,2012-06-08,2013-02-27,26.87,24.4586,25.2627,109.8591,106.3625,17.73,33.1,-18.8217,51.551,44319700
2013-02-28,180,2012-06-11,2013-02-28,27.25,24.4593,25.2635,111.4097,107.8631,17.73,33.1,-17.6737,53.6943,83027800
2013-03-01,180,2012-06-12,2013-03-01,27.78,24.4627,25.2678,113.5607,109.9424,17.73,33.1,-16.0725,56.6836,54064800
2013-03-04,180,2012-06-13,2013-03-04,27.72,24.4641,25.2696,113.309,109.6972,17.73,33.1,-16.2538,56.3452,32400700
2013-03-05,180,2012-06-14,2013-03-05,27.52,24.4652,25.2709,112.4864,108.8998,17.73,33.1,-16.858,55.2171,40622200
2013-03-06,180,2012-06-15,2013-03-06,27.45,24.4616,25.2663,112.2167,108.6428,17.73,33.1,-17.0695,54.8223,33532600
2013-03-07,180,2012-06-18,2013-03-07,28.58,24.456,25.2583,116.8627,113.1508,17.73,33.1,-13.6556,61.1957,74540200
2013-03-08,180,2012-06-19,2013-03-08,27.96,24.443,25.2392,114.3886,110.7802,17.73,33.1,-15.5287,57.6988,44198900
