date,window_trading_days,window_start,window_end,close,fixed_amount_dca_cost,moving_avg_180,price_to_dca_pct,price_to_ma_pct,min_close_in_window,max_close_in_window,drawdown_from_window_high_pct,above_window_low_pct,volume
2010-09-20,180,2010-01-04,2010-09-20,25.43,27.2076,27.4239,93.4665,92.7292,23.01,31.39,-18.9869,10.5172,49838700
2010-09-21,180,2010-01-05,2010-09-21,25.15,27.177,27.3917,92.5415,91.8161,23.01,31.39,-19.8789,9.3003,52675700
2010-09-22,180,2010-01-06,2010-09-22,24.61,27.1428,27.3564,90.6685,89.9605,23.01,31.39,-21.5992,6.9535,94299400
2010-09-23,180,2010-01-07,2010-09-23,24.43,27.1084,27.3212,90.1198,89.4177,23.01,31.39,-22.1727,6.1712,46201800
2010-09-24,180,2010-01-08,2010-09-24,24.78,27.0777,27.2897,91.5143,90.8034,23.01,31.39,-21.0577,7.6923,51948800
2010-09-27,180,2010-01-11,2010-09-27,24.73,27.0459,27.2568,91.4371,90.7297,23.01,31.39,-21.2169,7.475,43603300
2010-09-28,180,2010-01-12,2010-09-28,24.68,27.0155,27.2257,91.3549,90.6496,23.01,31.39,-21.3762,7.2577,56041200
2010-09-29,180,2010-01-13,2010-09-29,24.5,26.9849,27.1948,90.7915,90.0908,23.01,31.39,-21.9497,6.4754,44318900
2010-09-30,180,2010-01-14,2010-09-30,24.49,26.9531,27.1622,90.8617,90.162,23.01,31.39,-21.9815,6.432,61262700
2010-10-01,180,2010-01-15,2010-10-01,24.38,26.9179,27.1257,90.5716,89.878,23.01,31.39,-22.332,5.9539,62672300
2010-10-04,180,2010-01-19,2010-10-04,23.91,26.8801,27.0871,88.9507,88.2709,23.01,31.39,-23.8292,3.9113,98143400
2010-10-05,180,2010-01-20,2010-10-05,24.35,26.8443,27.0496,90.7082,90.02,23.01,31.39,-22.4275,5.8236,78152900
2010-10-06,180,2010-01-21,2010-10-06,24.43,26.8114,27.0153,91.1181,90.4301,23.01,31.39,-22.1727,6.1712,50489700
2010-10-07,180,2010-01-22,2010-10-07,24.53,26.7817,26.9849,91.5925,90.9027,23.01,31.39,-21.8541,6.6058,50096100
2010-10-08,180,2010-01-25,2010-10-08,24.57,26.7571,26.9605,91.8261,91.1333,23.01,31.39,-21.7267,6.7797,41327800
2010-10-11,180,2010-01-26,2010-10-11,24.59,26.731,26.9342,91.9904,91.2965,23.01,31.39,-21.6629,6.8666,27587800
2010-10-12,180,2010-01-27,2010-10-12,24.83,26.7058,26.9083,92.9762,92.2764,23.01,31.39,-20.8984,7.9096,50141500
2010-10-13,180,2010-01-28,2010-10-13,25.34,26.683,26.8842,94.967,94.256,23.01,31.39,-19.2737,10.126,75336500
2010-10-14,180,2010-01-29,2010-10-14,25.23,26.6618,26.8624,94.6296,93.9231,23.01,31.39,-19.6241,9.648,51949100
2010-10-15,180,2010-02-01,2010-10-15,25.54,26.6474,26.8477,95.8444,95.1291,23.01,31.39,-18.6365,10.9952,68954800
2010-10-18,180,2010-02-02,2010-10-18,25.82,26.6334,26.8333,96.9458,96.2236,23.01,31.39,-17.7445,12.2121,48330500
2010-10-19,180,2010-02-03,2010-10-19,25.1,26.6149,26.8147,94.308,93.6055,23.01,31.39,-20.0382,9.083,66150900
2010-10-20,180,2010-02-04,2010-10-20,25.31,26.5969,26.7962,95.1615,94.4536,23.01,31.39,-19.3692,9.9956,56283600
2010-10-21,180,2010-02-05,2010-10-21,25.42,26.5835,26.7828,95.6233,94.9117,23.01,31.39,-19.0188,10.4737,50032400
2010-10-22,180,2010-02-08,2010-10-22,25.38,26.5689,26.7681,95.5252,94.8143,23.01,31.39,-19.1462,10.2999,25837900
2010-10-25,180,2010-02-09,2010-10-25,25.19,26.5547,26.7541,94.8608,94.154,23.01,31.39,-19.7515,9.4741,50912400
2010-10-26,180,2010-02-10,2010-10-26,25.9,26.5433,26.7423,97.5764,96.8502,23.01,31.39,-17.4896,12.5598,69304200
2010-10-27,180,2010-02-11,2010-10-27,26.05,26.5329,26.7316,98.18,97.4504,23.01,31.39,-17.0118,13.2116,64805500
2010-10-28,180,2010-02-12,2010-10-28,26.28,26.5232,26.7213,99.0832,98.3484,23.01,31.39,-16.2791,14.2112,80730300
2010-10-29,180,2010-02-16,2010-10-29,26.67,26.5166,26.7143,100.5787,99.834,23.01,31.39,-15.0366,15.9061,114193200
2010-11-01,180,2010-02-17,2010-11-01,26.95,26.5094,26.7066,101.6621,100.9116,23.01,31.39,-14.1446,17.123,61912100
2010-11-02,180,2010-02-18,2010-11-02,27.39,26.5034,26.6999,103.3452,102.5847,23.01,31.39,-12.7429,19.0352,54402100
2010-11-03,180,2010-02-19,2010-11-03,27.03,26.4938,26.6891,102.024,101.2773,23.01,31.39,-13.8898,17.4707,110255300
