date,window_trading_days,window_start,window_end,close,fixed_amount_dca_cost,moving_avg_180,price_to_dca_pct,price_to_ma_pct,min_close_in_window,max_close_in_window,drawdown_from_window_high_pct,above_window_low_pct,volume
2010-09-20,180,2010-01-04,2010-09-20,2.0413,1.2444,1.3687,164.0313,149.1404,0.7019,2.1134,-3.4136,190.8407,370090000
2010-09-21,180,2010-01-05,2010-09-21,2.1029,1.2517,1.3761,168.0053,152.8085,0.7019,2.1134,-0.5002,199.6133,324604000
2010-09-22,180,2010-01-06,2010-09-22,2.2419,1.2597,1.3845,177.9736,161.9247,0.7019,2.2419,0.0,219.4179,624449000
2010-09-23,180,2010-01-07,2010-09-23,2.2924,1.2674,1.393,180.8719,164.5666,0.7019,2.2924,0.0,226.6234,819910000
2010-09-24,180,2010-01-08,2010-09-24,2.3173,1.2756,1.4017,181.6689,165.3168,0.7019,2.3173,0.0,230.165,653310000
2010-09-27,180,2010-01-11,2010-09-27,2.357,1.2836,1.4106,183.6182,167.0933,0.7019,2.357,0.0,235.8234,416969000
2010-09-28,180,2010-01-12,2010-09-28,2.3123,1.2918,1.4192,179.0011,162.9276,0.7019,2.357,-1.8971,229.4526,383026000
2010-09-29,180,2010-01-13,2010-09-29,2.4376,1.3004,1.4286,187.4452,170.627,0.7019,2.4376,0.0,247.3031,544845000
2010-09-30,180,2010-01-14,2010-09-30,2.3166,1.3086,1.4372,177.0265,161.1883,0.7019,2.4376,-4.964,230.0631,720027000
2010-10-01,180,2010-01-15,2010-10-01,2.2094,1.3174,1.4454,167.7095,152.8582,0.7019,2.4376,-9.3594,214.7976,589127000
2010-10-04,180,2010-01-19,2010-10-04,2.2341,1.3264,1.4538,168.4357,153.6783,0.7019,2.4376,-8.3455,218.3188,474068000
2010-10-05,180,2010-01-20,2010-10-05,2.2309,1.3354,1.4621,167.0491,152.578,0.7019,2.4376,-8.4803,217.8506,410529000
2010-10-06,180,2010-01-21,2010-10-06,2.1467,1.3444,1.47,159.6747,146.038,0.7019,2.4376,-11.9322,205.862,474873000
2010-10-07,180,2010-01-22,2010-10-07,2.1633,1.3536,1.4779,159.8194,146.3732,0.7019,2.4376,-11.2524,208.2232,287679000
2010-10-08,180,2010-01-25,2010-10-08,2.1377,1.3629,1.4858,156.8522,143.88,0.7019,2.4376,-12.3015,204.5797,243775000
2010-10-11,180,2010-01-26,2010-10-11,2.1956,1.373,1.4941,159.915,146.9533,0.7136,2.4376,-9.9279,207.6878,286223000
2010-10-12,180,2010-01-27,2010-10-12,2.2199,1.383,1.5024,160.5112,147.7512,0.7281,2.4376,-8.9316,204.8655,254492000
2010-10-13,180,2010-01-28,2010-10-13,2.2087,1.3928,1.5107,158.5758,146.2091,0.862,2.4376,-9.3887,156.2313,229607000
2010-10-14,180,2010-01-29,2010-10-14,2.1826,1.3999,1.5178,155.908,143.8006,0.862,2.4376,-10.4612,153.1985,219296000
2010-10-15,180,2010-02-01,2010-10-15,2.2246,1.4073,1.5252,158.074,145.8549,0.862,2.4376,-8.7382,158.0709,240751000
2010-10-18,180,2010-02-02,2010-10-18,2.1857,1.4149,1.5325,154.4757,142.6247,0.862,2.4376,-10.3323,153.5631,199766000
2010-10-19,180,2010-02-03,2010-10-19,2.1333,1.4223,1.5394,149.9846,138.5758,0.862,2.4376,-12.4831,147.481,256277000
2010-10-20,180,2010-02-04,2010-10-20,2.1879,1.4299,1.5467,153.0034,141.4555,0.862,2.4376,-10.2444,153.8117,632821000
2010-10-21,180,2010-02-05,2010-10-21,2.467,1.4386,1.5556,171.4903,158.5892,0.8691,2.467,0.0,183.8428,1117690000
2010-10-22,180,2010-02-08,2010-10-22,2.4014,1.4471,1.5641,165.9528,153.5338,0.87,2.467,-2.6579,176.0263,492989000
2010-10-25,180,2010-02-09,2010-10-25,2.3834,1.4556,1.5725,163.7425,151.5683,0.8784,2.467,-3.3876,171.3286,258643000
2010-10-26,180,2010-02-10,2010-10-26,2.5374,1.4643,1.5817,173.2896,160.4264,0.8784,2.5374,0.0,188.8599,736456000
2010-10-27,180,2010-02-11,2010-10-27,2.55,1.4732,1.591,173.091,160.2802,0.9026,2.55,0.0,182.5263,648312000
2010-10-28,180,2010-02-12,2010-10-28,2.51,1.4818,1.5999,169.3908,156.8867,0.9026,2.55,-1.5686,178.0945,263921000
2010-10-29,180,2010-02-16,2010-10-29,2.4796,1.4904,1.6086,166.3666,154.1407,0.9193,2.55,-2.7619,169.7279,416108000
2010-11-01,180,2010-02-17,2010-11-01,2.391,1.4986,1.6168,159.5459,147.8868,0.9193,2.55,-6.2353,160.0932,345534000
2010-11-02,180,2010-02-18,2010-11-02,2.4516,1.5071,1.6253,162.6653,150.8402,0.9193,2.55,-3.86,166.6821,382032000
2010-11-03,180,2010-02-19,2010-11-03,2.4494,1.5154,1.6336,161.6376,149.937,0.9193,2.55,-3.944,166.4491,273770000
2010-11-04,180,2010-02-22,2010-11-04,2.3974,1.5235,1.6417,157.3629,146.0361,0.9193,2.55,-5.9832,160.7925,412188000
2010-11-05,180,2010-02-23,2010-11-05,2.4014,1.532,1.6498,156.7502,145.5562,0.9193,2.55,-5.8263,161.2276,219940000
2010-11-08,180,2010-02-24,2010-11-08,2.4161,1.5408,1.6581,156.806,145.7136,0.9241,2.55,-5.2493,161.4469,287994000
2010-11-09,180,2010-02-25,2010-11-09,2.4351,1.5498,1.6665,157.1307,146.1197,0.9373,2.55,-4.5042,159.8079,402759000
2010-11-10,180,2010-02-26,2010-11-10,2.5267,1.5588,1.6754,162.0974,150.8153,0.9436,2.55,-0.9132,167.7821,385189000
2010-11-11,180,2010-03-01,2010-11-11,2.502,1.5677,1.684,159.5943,148.5724,0.965,2.55,-1.8824,159.2746,294175000
2010-11-12,180,2010-03-02,2010-11-12,2.4714,1.576,1.6922,156.8209,146.046,0.965,2.55,-3.0812,156.1066,291669000
2010-11-15,180,2010-03-03,2010-11-15,2.4043,1.5843,1.7001,151.7606,141.4195,0.965,2.55,-5.7143,149.1488,319767000
2010-11-16,180,2010-03-04,2010-11-16,2.3629,1.5929,1.7079,148.3408,138.3507,0.9664,2.55,-7.3389,144.4936,273658000
