date,window_trading_days,window_start,window_end,close,fixed_amount_dca_cost,moving_avg_180,price_to_dca_pct,price_to_ma_pct,min_close_in_window,max_close_in_window,drawdown_from_window_high_pct,above_window_low_pct,volume
2010-09-20,180,2010-01-04,2010-09-20,0.2677,0.3257,0.3455,82.2042,77.4948,0.222,0.472,-43.2733,20.6081,443168000
2010-09-21,180,2010-01-05,2010-09-21,0.2823,0.3249,0.3445,86.8723,81.9287,0.222,0.472,-40.2013,27.1396,1779624000
2010-09-22,180,2010-01-06,2010-09-22,0.2848,0.3241,0.3435,87.86,82.9007,0.222,0.472,-39.6716,28.2658,999996000
2010-09-23,180,2010-01-07,2010-09-23,0.2905,0.3233,0.3425,89.8478,84.8237,0.222,0.4637,-37.3585,30.8559,1240872000
2010-09-24,180,2010-01-08,2010-09-24,0.3065,0.3227,0.3416,94.984,89.723,0.222,0.4637,-33.9084,38.0631,1086976000
2010-09-27,180,2010-01-11,2010-09-27,0.3,0.322,0.3407,93.1658,88.0547,0.222,0.4572,-34.3904,35.1351,999504000
2010-09-28,180,2010-01-12,2010-09-28,0.2993,0.3213,0.3398,93.1249,88.0615,0.222,0.4525,-33.8674,34.7973,723192000
2010-09-29,180,2010-01-13,2010-09-29,0.297,0.3207,0.339,92.6067,87.6067,0.222,0.4525,-34.3646,33.7838,974904000
2010-09-30,180,2010-01-14,2010-09-30,0.292,0.32,0.3382,91.2409,86.3522,0.222,0.4525,-35.4696,31.5315,787632000
2010-10-01,180,2010-01-15,2010-10-01,0.2838,0.3193,0.3373,88.861,84.1295,0.222,0.4525,-37.2928,27.8153,999120000
2010-10-04,180,2010-01-19,2010-10-04,0.281,0.3186,0.3365,88.1904,83.516,0.222,0.4525,-37.9006,26.5766,749500000
2010-10-05,180,2010-01-20,2010-10-05,0.283,0.3179,0.3356,89.0128,84.3231,0.222,0.4525,-37.4586,27.4775,753588000
2010-10-06,180,2010-01-21,2010-10-06,0.2695,0.3171,0.3347,84.9772,80.5199,0.222,0.4525,-40.442,21.3964,1057604000
2010-10-07,180,2010-01-22,2010-10-07,0.2675,0.3164,0.3338,84.5535,80.1335,0.222,0.4525,-40.884,20.4955,761488000
2010-10-08,180,2010-01-25,2010-10-08,0.2715,0.3157,0.333,86.0068,81.5217,0.222,0.4525,-40.0,22.2973,706932000
2010-10-11,180,2010-01-26,2010-10-11,0.2702,0.3149,0.3322,85.8076,81.3475,0.222,0.4525,-40.2762,21.7342,442680000
2010-10-12,180,2010-01-27,2010-10-12,0.2755,0.3143,0.3315,87.6525,83.1081,0.222,0.4525,-39.116,24.0991,605208000
2010-10-13,180,2010-01-28,2010-10-13,0.2835,0.3137,0.3308,90.3749,85.7121,0.222,0.4525,-37.3481,27.7027,968732000
2010-10-14,180,2010-01-29,2010-10-14,0.279,0.3131,0.3301,89.1106,84.5266,0.222,0.4525,-38.3425,25.6757,599172000
2010-10-15,180,2010-02-01,2010-10-15,0.2823,0.3126,0.3295,90.2966,85.659,0.222,0.4525,-37.6243,27.1396,639940000
2010-10-18,180,2010-02-02,2010-10-18,0.284,0.312,0.3288,91.0312,86.3798,0.222,0.4525,-37.2376,27.9279,448156000
2010-10-19,180,2010-02-03,2010-10-19,0.2823,0.3114,0.328,90.6511,86.0456,0.222,0.4525,-37.6243,27.1396,866136000
2010-10-20,180,2010-02-04,2010-10-20,0.2823,0.3107,0.3272,90.8351,86.2498,0.222,0.4525,-37.6243,27.1396,763532000
2010-10-21,180,2010-02-05,2010-10-21,0.2772,0.3101,0.3266,89.394,84.8952,0.222,0.4525,-38.7293,24.8874,1014428000
2010-10-22,180,2010-02-08,2010-10-22,0.295,0.3097,0.326,95.2686,90.5004,0.222,0.4525,-34.8066,32.8829,1322676000
2010-10-25,180,2010-02-09,2010-10-25,0.2978,0.3092,0.3254,96.3035,91.511,0.222,0.4525,-34.1989,34.1216,673136000
2010-10-26,180,2010-02-10,2010-10-26,0.2968,0.3087,0.3248,96.125,91.367,0.222,0.4525,-34.4199,33.6712,675248000
2010-10-27,180,2010-02-11,2010-10-27,0.301,0.3082,0.3242,97.6487,92.8475,0.222,0.4525,-33.4807,35.5856,496796000
2010-10-28,180,2010-02-12,2010-10-28,0.3013,0.3077,0.3235,97.8943,93.1269,0.222,0.4525,-33.4254,35.6982,704448000
2010-10-29,180,2010-02-16,2010-10-29,0.3005,0.3072,0.3227,97.8212,93.1081,0.222,0.4525,-33.5912,35.3604,554664000
2010-11-01,180,2010-02-17,2010-11-01,0.301,0.3066,0.322,98.161,93.4896,0.222,0.4525,-33.4807,35.5856,473920000
2010-11-02,180,2010-02-18,2010-11-02,0.3073,0.3061,0.3212,100.3721,95.6598,0.222,0.4525,-32.0994,38.4009,581036000
2010-11-03,180,2010-02-19,2010-11-03,0.3095,0.3057,0.3206,101.2501,96.5394,0.222,0.4525,-31.6022,39.4144,671748000
2010-11-04,180,2010-02-22,2010-11-04,0.31,0.3053,0.32,101.5537,96.8708,0.222,0.4525,-31.4917,39.6396,700016000
2010-11-05,180,2010-02-23,2010-11-05,0.3152,0.3049,0.3195,103.4074,98.6827,0.222,0.4525,-30.3315,42.0045,735116000
2010-11-08,180,2010-02-24,2010-11-08,0.3165,0.3045,0.319,103.939,99.2271,0.222,0.4525,-30.0552,42.5676,605156000
2010-11-09,180,2010-02-25,2010-11-09,0.3147,0.3041,0.3184,103.4973,98.8489,0.222,0.4525,-30.442,41.7793,633964000
2010-11-10,180,2010-02-26,2010-11-10,0.3185,0.3038,0.3179,104.8543,100.1866,0.222,0.4525,-29.6133,43.4685,521016000
2010-11-11,180,2010-03-01,2010-11-11,0.3152,0.3034,0.3174,103.9075,99.32,0.222,0.4525,-30.3315,42.0045,1089980000
2010-11-12,180,2010-03-02,2010-11-12,0.3315,0.3031,0.3169,109.3819,104.6039,0.222,0.4525,-26.7403,49.3243,2142560000
2010-11-15,180,2010-03-03,2010-11-15,0.3275,0.3027,0.3164,108.1855,103.5114,0.222,0.4525,-27.6243,47.5225,733548000
2010-11-16,180,2010-03-04,2010-11-16,0.3177,0.3023,0.3158,105.0956,100.6029,0.222,0.4525,-29.779,43.1306,739356000
2010-11-17,180,2010-03-05,2010-11-17,0.323,0.302,0.3153,106.9568,102.4335,0.222,0.4525,-28.6188,45.4955,551764000
2010-11-18,180,2010-03-08,2010-11-18,0.333,0.3017,0.3148,110.3927,105.7842,0.222,0.4525,-26.4088,50.0,993120000
2010-11-19,180,2010-03-09,2010-11-19,0.3438,0.3014,0.3144,114.0605,109.3521,0.222,0.4525,-24.0331,54.8423,716484000
2010-11-22,180,2010-03-10,2010-11-22,0.344,0.3011,0.3138,114.2635,109.6152,0.222,0.4525,-23.9779,54.955,462668000
2010-11-23,180,2010-03-11,2010-11-23,0.336,0.3007,0.3132,111.7372,107.263,0.222,0.4525,-25.7459,51.3514,457832000
2010-11-24,180,2010-03-12,2010-11-24,0.3443,0.3004,0.3128,114.5913,110.0636,0.222,0.4525,-23.9227,55.0676,397784000
2010-11-26,180,2010-03-15,2010-11-26,0.34,0.3001,0.3123,113.2942,108.8813,0.222,0.4525,-24.8619,53.1532,143104000
2010-11-29,180,2010-03-16,2010-11-29,0.3438,0.2998,0.3118,114.6541,110.2494,0.222,0.4525,-24.0331,54.8423,468192000
2010-11-30,180,2010-03-17,2010-11-30,0.3402,0.2995,0.3112,113.6166,109.329,0.222,0.4525,-24.8066,53.2658,720936000
2010-12-01,180,2010-03-18,2010-12-01,0.3553,0.2992,0.3107,118.7448,114.3473,0.222,0.4502,-21.0994,60.0225,626536000
2010-12-02,180,2010-03-19,2010-12-02,0.3595,0.2989,0.3102,120.2634,115.8748,0.222,0.4502,-20.1555,61.9369,529316000
2010-12-03,180,2010-03-22,2010-12-03,0.3698,0.2987,0.3099,123.7715,119.31,0.222,0.4502,-17.879,66.5541,606044000
2010-12-06,180,2010-03-23,2010-12-06,0.3628,0.2985,0.3095,121.524,117.2099,0.222,0.4502,-19.4336,63.4009,438424000
2010-12-07,180,2010-03-24,2010-12-07,0.3745,0.2983,0.3091,125.5507,121.1647,0.222,0.4502,-16.824,68.6937,1026812000
2010-12-08,180,2010-03-25,2010-12-08,0.3777,0.2981,0.3088,126.7103,122.3361,0.222,0.4502,-16.1022,70.1577,613252000
2010-12-09,180,2010-03-26,2010-12-09,0.3715,0.2979,0.3084,124.6933,120.4463,0.222,0.4502,-17.4903,67.3423,942408000
2010-12-10,180,2010-03-29,2010-12-10,0.3738,0.2977,0.3081,125.5251,121.3064,0.222,0.4502,-16.9906,68.3559,451900000
2010-12-13,180,2010-03-30,2010-12-13,0.3643,0.2975,0.3077,122.4291,118.3826,0.222,0.4502,-19.1005,64.0766,609108000
2010-12-14,180,2010-03-31,2010-12-14,0.3648,0.2973,0.3073,122.693,118.708,0.222,0.4502,-18.9895,64.3018,755160000
2010-12-15,180,2010-04-01,2010-12-15,0.3568,0.297,0.3068,120.1019,116.2689,0.222,0.4502,-20.7662,60.6982,624176000
2010-12-16,180,2010-04-05,2010-12-16,0.3573,0.2968,0.3064,120.3647,116.5864,0.222,0.4502,-20.6552,60.9234,631872000
2010-12-17,180,2010-04-06,2010-12-17,0.3593,0.2966,0.306,121.1374,117.4046,0.222,0.4502,-20.211,61.8243,593156000
2010-12-20,180,2010-04-07,2010-12-20,0.3578,0.2963,0.3056,120.7209,117.06,0.222,0.4502,-20.5441,61.1486,344088000
2010-12-21,180,2010-04-08,2010-12-21,0.3718,0.2962,0.3053,125.5193,121.7677,0.222,0.4502,-17.4348,67.455,466952000
2010-12-22,180,2010-04-09,2010-12-22,0.3757,0.296,0.305,126.9307,123.1816,0.222,0.4502,-16.5464,69.2568,477988000
2010-12-23,180,2010-04-12,2010-12-23,0.373,0.2959,0.3047,126.0695,122.3954,0.222,0.4502,-17.1571,68.018,273784000
2010-12-27,180,2010-04-13,2010-12-27,0.375,0.2957,0.3044,126.8193,123.1808,0.222,0.4502,-16.7129,68.9189,255500000
2010-12-28,180,2010-04-14,2010-12-28,0.3735,0.2955,0.3041,126.3976,122.8405,0.222,0.4502,-17.0461,68.2432,194260000
2010-12-29,180,2010-04-15,2010-12-29,0.3735,0.2953,0.3036,126.4889,123.0057,0.222,0.4502,-17.0461,68.2432,177660000
2010-12-30,180,2010-04-16,2010-12-30,0.3748,0.2951,0.3032,127.0054,123.5881,0.222,0.4265,-12.1336,68.8063,174488000
2010-12-31,180,2010-04-19,2010-12-31,0.385,0.2949,0.303,130.5333,127.065,0.222,0.426,-9.6244,73.4234,391252000
2011-01-03,180,2010-04-20,2011-01-03,0.3955,0.2949,0.3028,134.1312,130.5999,0.222,0.426,-7.1596,78.1532,817448000
2011-01-04,180,2010-04-21,2011-01-04,0.3942,0.2948,0.3027,133.7487,130.263,0.222,0.4168,-5.3989,77.5901,651384000
2011-01-05,180,2010-04-22,2011-01-05,0.4245,0.2948,0.3027,143.9983,140.2334,0.222,0.4245,0.0,91.2162,1428216000
2011-01-06,180,2010-04-23,2011-01-06,0.4833,0.295,0.3031,163.8387,159.4468,0.222,0.4833,0.0,117.6802,3493312000
2011-01-07,180,2010-04-26,2011-01-07,0.4968,0.2952,0.3036,168.2998,163.6439,0.222,0.4968,0.0,123.7613,2579984000
2011-01-10,180,2010-04-27,2011-01-10,0.5158,0.2954,0.3041,174.6021,169.5903,0.222,0.5158,0.0,132.3198,1750348000
