date,window_trading_days,window_start,window_end,close,fixed_amount_dca_cost,moving_avg_180,price_to_dca_pct,price_to_ma_pct,min_close_in_window,max_close_in_window,drawdown_from_window_high_pct,above_window_low_pct,volume
2010-09-20,180,2010-01-04,2010-09-20,27.49,24.037,24.111,114.3654,114.0144,21.46,27.49,0.0,28.0988,49729800
2010-09-21,180,2010-01-05,2010-09-21,26.82,24.0465,24.1219,111.534,111.1851,21.46,27.49,-2.4372,24.9767,82733900
2010-09-22,180,2010-01-06,2010-09-22,27.2,24.0578,24.1352,113.061,112.6986,21.46,27.49,-1.0549,26.7474,51969100
2010-09-23,180,2010-01-07,2010-09-23,27.12,24.0707,24.1499,112.6681,112.2984,21.46,27.49,-1.3459,26.3747,33123300
2010-09-24,180,2010-01-08,2010-09-24,26.96,24.0833,24.1643,111.9446,111.5696,21.46,27.49,-1.928,25.6291,58136200
2010-09-27,180,2010-01-11,2010-09-27,26.95,24.0943,24.1769,111.852,111.4701,21.46,27.49,-1.9643,25.5825,34142900
2010-09-28,180,2010-01-12,2010-09-28,27.19,24.1064,24.1908,112.7918,112.3982,21.46,27.49,-1.0913,26.7008,43256700
2010-09-29,180,2010-01-13,2010-09-29,27.17,24.119,24.2053,112.6498,112.2482,21.46,27.49,-1.1641,26.6076,36626800
2010-09-30,180,2010-01-14,2010-09-30,26.85,24.129,24.2167,111.2771,110.8741,21.46,27.49,-2.3281,25.1165,42880900
2010-10-01,180,2010-01-15,2010-10-01,27.24,24.1379,24.2272,112.8518,112.4355,21.46,27.49,-0.9094,26.9338,33690400
2010-10-04,180,2010-01-19,2010-10-04,26.9,24.1458,24.2364,111.4066,110.9899,21.46,27.49,-2.1462,25.3495,36791900
2010-10-05,180,2010-01-20,2010-10-05,27.3,24.155,24.2474,113.02,112.5894,21.46,27.49,-0.6912,27.2134,42520100
2010-10-06,180,2010-01-21,2010-10-06,27.58,24.1668,24.2614,114.1234,113.6786,21.46,27.58,0.0,28.5182,50631600
2010-10-07,180,2010-01-22,2010-10-07,27.69,24.1803,24.2773,114.5145,114.0573,21.46,27.69,0.0,29.0308,40611400
2010-10-08,180,2010-01-25,2010-10-08,28.0,24.1988,24.2987,115.708,115.2327,21.46,28.0,0.0,30.4753,33162900
2010-10-11,180,2010-01-26,2010-10-11,27.85,24.2174,24.3199,114.9998,114.5153,21.46,28.0,-0.5357,29.7763,22649500
2010-10-12,180,2010-01-27,2010-10-12,27.95,24.2373,24.3425,115.3181,114.8198,21.46,28.0,-0.1786,30.2423,27552500
2010-10-13,180,2010-01-28,2010-10-13,28.6,24.26,24.3688,117.8895,117.363,21.46,28.6,0.0,33.2712,49145300
2010-10-14,180,2010-01-29,2010-10-14,28.33,24.2839,24.3958,116.6615,116.1264,21.46,28.6,-0.9441,32.0131,38136000
2010-10-15,180,2010-02-01,2010-10-15,28.9,24.3127,24.4283,118.8681,118.3055,21.46,28.9,0.0,34.6692,54775500
2010-10-18,180,2010-02-02,2010-10-18,29.23,24.3418,24.4617,120.0816,119.4931,21.46,29.23,0.0,36.2069,35810300
2010-10-19,180,2010-02-03,2010-10-19,29.13,24.3673,24.4915,119.5452,118.9392,21.46,29.23,-0.3421,35.7409,44673600
2010-10-20,180,2010-02-04,2010-10-20,28.64,24.3911,24.5187,117.4199,116.809,21.46,29.23,-2.0185,33.4576,39081700
2010-10-21,180,2010-02-05,2010-10-21,28.82,24.4195,24.5504,118.0206,117.3912,21.46,29.23,-1.4027,34.2964,30191100
2010-10-22,180,2010-02-08,2010-10-22,28.99,24.4459,24.5806,118.5885,117.9385,21.46,29.23,-0.8211,35.0885,16499800
2010-10-25,180,2010-02-09,2010-10-25,28.84,24.4744,24.6124,117.8374,117.1768,21.46,29.23,-1.3342,34.3896,30650400
2010-10-26,180,2010-02-10,2010-10-26,28.63,24.4997,24.6408,116.8584,116.1892,21.46,29.23,-2.0527,33.411,28045400
2010-10-27,180,2010-02-11,2010-10-27,28.7,24.5279,24.6719,117.0097,116.3267,21.46,29.23,-1.8132,33.7372,33890100
2010-10-28,180,2010-02-12,2010-10-28,29.36,24.5572,24.7053,119.5576,118.841,21.46,29.36,0.0,36.8127,35130600
2010-10-29,180,2010-02-16,2010-10-29,29.38,24.5863,24.7384,119.4973,118.7625,21.46,29.38,0.0,36.9059,35074300
2010-11-01,180,2010-02-17,2010-11-01,29.13,24.6121,24.768,118.3564,117.6114,21.46,29.38,-0.8509,35.7409,21100000
2010-11-02,180,2010-02-18,2010-11-02,29.53,24.6374,24.7977,119.8587,119.0835,21.46,29.53,0.0,37.6049,24201900
2010-11-03,180,2010-02-19,2010-11-03,29.2,24.6594,24.8237,118.4132,117.6294,21.46,29.53,-1.1175,36.0671,30003800
2010-11-04,180,2010-02-22,2010-11-04,29.47,24.6837,24.8523,119.3905,118.5804,21.46,29.53,-0.2032,37.3253,35709700
2010-11-05,180,2010-02-23,2010-11-05,29.25,24.7044,24.877,118.3998,117.5785,21.46,29.53,-0.9482,36.3001,28312700
2010-11-08,180,2010-02-24,2010-11-08,29.04,24.7262,24.9023,117.4462,116.6156,21.46,29.53,-1.6593,35.3215,27179000
2010-11-09,180,2010-02-25,2010-11-09,28.74,24.7452,24.9244,116.1439,115.3087,21.46,29.53,-2.6752,33.9236,34625800
2010-11-10,180,2010-02-26,2010-11-10,28.69,24.7634,24.9456,115.8565,115.0102,21.46,29.53,-2.8446,33.6906,27841000
2010-11-11,180,2010-03-01,2010-11-11,28.57,24.7824,24.9674,115.2836,114.4293,21.46,29.53,-3.2509,33.1314,37211000
2010-11-12,180,2010-03-02,2010-11-12,28.32,24.7998,24.9873,114.1944,113.3377,21.46,29.53,-4.0975,31.9665,25818800
2010-11-15,180,2010-03-03,2010-11-15,28.4,24.8185,25.0085,114.4307,113.5614,21.46,29.53,-3.8266,32.3392,21636700
2010-11-16,180,2010-03-04,2010-11-16,27.58,24.8341,25.0256,111.0568,110.2071,21.46,29.53,-6.6035,28.5182,31206600
2010-11-17,180,2010-03-05,2010-11-17,27.91,24.8498,25.0431,112.315,111.4478,21.46,29.53,-5.4859,30.0559,24642700
2010-11-18,180,2010-03-08,2010-11-18,28.31,24.8661,25.0618,113.8498,112.9609,21.46,29.53,-4.1314,31.9199,32649200
2010-11-19,180,2010-03-09,2010-11-19,28.15,24.8831,25.0809,113.1288,112.2366,21.46,29.53,-4.6732,31.1743,25890900
2010-11-22,180,2010-03-10,2010-11-22,28.05,24.8988,25.0986,112.6561,111.7594,21.46,29.53,-5.0119,30.7083,27618000
2010-11-23,180,2010-03-11,2010-11-23,27.19,24.9106,25.1114,109.1503,108.2773,21.46,29.53,-7.9241,26.7008,31294200
2010-11-24,180,2010-03-12,2010-11-24,27.74,24.9235,25.1259,111.3007,110.4041,21.46,29.53,-6.0616,29.2638,34983800
2010-11-26,180,2010-03-15,2010-11-26,27.49,24.9357,25.1394,110.2436,109.3501,21.46,29.53,-6.9082,28.0988,12887500
2010-11-29,180,2010-03-16,2010-11-29,27.22,24.9454,25.1502,109.1181,108.2297,21.46,29.53,-7.8226,26.8406,32610700
2010-11-30,180,2010-03-17,2010-11-30,27.05,24.9548,25.1604,108.3961,107.51,21.46,29.53,-8.3982,26.0485,38931000
2010-12-01,180,2010-03-18,2010-12-01,27.65,24.9655,25.1726,110.7529,109.8418,21.46,29.53,-6.3664,28.8444,34781300
2010-12-02,180,2010-03-19,2010-12-02,28.1,24.9787,25.1877,112.4959,111.5625,21.46,29.53,-4.8425,30.9413,32129900
2010-12-03,180,2010-03-22,2010-12-03,28.81,24.996,25.2078,115.2584,114.2901,21.46,29.53,-2.4382,34.2498,34454600
2010-12-06,180,2010-03-23,2010-12-06,28.73,25.011,25.2254,114.8695,113.8932,21.46,29.53,-2.7091,33.877,21150300
2010-12-07,180,2010-03-24,2010-12-07,29.05,25.0251,25.2424,116.0835,115.0842,21.46,29.53,-1.6255,35.3681,32190500
2010-12-08,180,2010-03-25,2010-12-08,29.23,25.0411,25.2617,116.728,115.7089,21.46,29.53,-1.0159,36.2069,14874800
2010-12-09,180,2010-03-26,2010-12-09,29.26,25.0559,25.2796,116.7791,115.7457,21.46,29.53,-0.9143,36.3467,18260200
2010-12-10,180,2010-03-29,2010-12-10,29.94,25.0751,25.3032,119.4011,118.3251,21.46,29.94,0.0,39.5154,28562000
2010-12-13,180,2010-03-30,2010-12-13,30.42,25.0969,25.3301,121.21,120.0942,21.46,30.42,0.0,41.7521,45575200
2010-12-14,180,2010-03-31,2010-12-14,30.51,25.1193,25.3577,121.4605,120.3184,21.46,30.51,0.0,42.1715,25351800
2010-12-15,180,2010-04-01,2010-12-15,30.49,25.1407,25.3843,121.2776,120.1137,21.46,30.51,-0.0656,42.0783,30537600
2010-12-16,180,2010-04-05,2010-12-16,30.27,25.1626,25.411,120.2975,119.1216,21.46,30.51,-0.7866,41.0531,47435600
2010-12-17,180,2010-04-06,2010-12-17,31.46,25.1883,25.4437,124.8991,123.6457,21.46,31.46,0.0,46.5983,92487100
2010-12-20,180,2010-04-07,2010-12-20,31.67,25.2135,25.4761,125.6072,124.3125,21.46,31.67,0.0,47.5769,33568100
2010-12-21,180,2010-04-08,2010-12-21,31.76,25.2387,25.5086,125.8387,124.507,21.46,31.76,0.0,47.9963,20002800
2010-12-22,180,2010-04-09,2010-12-22,31.66,25.2639,25.541,125.3171,123.9576,21.46,31.76,-0.3149,47.5303,14019200
2010-12-23,180,2010-04-12,2010-12-23,31.54,25.2872,25.5711,124.7271,123.3426,21.46,31.76,-0.6927,46.9711,13049400
2010-12-27,180,2010-04-13,2010-12-27,31.66,25.3106,25.6014,125.0858,123.6652,21.46,31.76,-0.3149,47.5303,13822100
2010-12-28,180,2010-04-14,2010-12-28,31.57,25.333,25.6304,124.6202,123.1741,21.46,31.76,-0.5982,47.1109,9736000
2010-12-29,180,2010-04-15,2010-12-29,31.5,25.355,25.6588,124.2361,122.7647,21.46,31.76,-0.8186,46.7847,9769000
2010-12-30,180,2010-04-16,2010-12-30,31.29,25.3772,25.6871,123.2999,121.8121,21.46,31.76,-1.4798,45.8062,12989400
2010-12-31,180,2010-04-19,2010-12-31,31.3,25.4007,25.7168,123.2247,121.7102,21.46,31.76,-1.4484,45.8528,11716300
2011-01-03,180,2010-04-20,2011-01-03,31.62,25.4243,25.747,124.3694,122.8104,21.46,31.76,-0.4408,47.3439,20970400
2011-01-04,180,2010-04-21,2011-01-04,31.48,25.4475,25.7766,123.7055,122.1262,21.46,31.76,-0.8816,46.6915,22870800
2011-01-05,180,2010-04-22,2011-01-05,31.04,25.4685,25.803,121.8761,120.2961,21.46,31.76,-2.267,44.6412,36339600
2011-01-06,180,2010-04-23,2011-01-06,31.17,25.4902,25.8304,122.2821,120.6718,21.46,31.76,-1.8577,45.247,21859400
2011-01-07,180,2010-04-26,2011-01-07,31.03,25.5102,25.8557,121.6374,120.0124,21.46,31.76,-2.2985,44.5946,27697900
2011-01-10,180,2010-04-27,2011-01-10,31.04,25.5304,25.8811,121.5807,119.9333,21.46,31.76,-2.267,44.6412,29719600
2011-01-11,180,2010-04-28,2011-01-11,30.99,25.5529,25.9089,121.2777,119.6115,21.46,31.76,-2.4244,44.4082,26395300
2011-01-12,180,2010-04-29,2011-01-12,30.94,25.576,25.9371,120.9729,119.2885,21.46,31.76,-2.5819,44.1752,33963700
2011-01-13,180,2010-04-30,2011-01-13,31.18,25.5994,25.9661,121.7999,120.0798,21.46,31.76,-1.8262,45.2936,43412400
2011-01-14,180,2010-05-03,2011-01-14,31.25,25.6236,25.9959,121.9578,120.2111,21.46,31.76,-1.6058,45.6198,37934100
2011-01-18,180,2010-05-04,2011-01-18,31.53,25.6482,26.0266,122.9326,121.1452,21.46,31.76,-0.7242,46.9245,26975900
2011-01-19,180,2010-05-05,2011-01-19,31.6,25.6789,26.0634,123.058,121.2426,21.46,31.76,-0.5038,47.2507,26939000
