date,window_trading_days,window_start,window_end,close,fixed_amount_dca_cost,moving_avg_180,price_to_dca_pct,price_to_ma_pct,min_close_in_window,max_close_in_window,drawdown_from_window_high_pct,above_window_low_pct,volume
2010-09-20,180,2010-01-04,2010-09-20,66.89,63.9401,64.0064,104.6135,104.5052,58.96,66.94,-0.0747,13.4498,5057100
2010-09-21,180,2010-01-05,2010-09-21,66.46,63.9693,64.0354,103.8936,103.7864,58.96,66.94,-0.7171,12.7205,7455500
2010-09-22,180,2010-01-06,2010-09-22,66.66,63.9951,64.0614,104.1643,104.0564,58.96,66.94,-0.4183,13.0597,5225800
2010-09-23,180,2010-01-07,2010-09-23,65.79,64.02,64.086,102.7647,102.6589,58.96,66.94,-1.718,11.5841,5877800
2010-09-24,180,2010-01-08,2010-09-24,66.13,64.0492,64.1147,103.2488,103.1433,58.96,66.94,-1.21,12.1608,6366300
2010-09-27,180,2010-01-11,2010-09-27,66.37,64.0808,64.1458,103.5723,103.4675,58.96,66.94,-0.8515,12.5678,5230300
2010-09-28,180,2010-01-12,2010-09-28,66.78,64.1151,64.1796,104.1565,104.0518,58.96,66.94,-0.239,13.2632,5305300
2010-09-29,180,2010-01-13,2010-09-29,66.75,64.144,64.2084,104.0627,103.9583,58.96,66.94,-0.2838,13.2123,5553200
2010-09-30,180,2010-01-14,2010-09-30,66.44,64.1683,64.2328,103.5401,103.4362,58.96,66.94,-0.7469,12.6866,7002300
2010-10-01,180,2010-01-15,2010-10-01,67.0,64.1912,64.2562,104.3757,104.2701,58.96,67.0,0.0,13.6364,5397000
2010-10-04,180,2010-01-19,2010-10-04,66.87,64.2164,64.2816,104.1323,104.0266,58.96,67.0,-0.194,13.4159,4890200
2010-10-05,180,2010-01-20,2010-10-05,67.76,64.2458,64.3118,105.4699,105.3617,58.96,67.76,0.0,14.9254,7246100
2010-10-06,180,2010-01-21,2010-10-06,68.11,64.2793,64.346,105.9594,105.8496,58.96,68.11,0.0,15.519,7204100
