date,window_trading_days,window_start,window_end,close,fixed_amount_dca_cost,moving_avg_180,price_to_dca_pct,price_to_ma_pct,min_close_in_window,max_close_in_window,drawdown_from_window_high_pct,above_window_low_pct,volume
2010-09-20,180,2010-01-04,2010-09-20,61.43,61.7432,61.7719,99.4928,99.4465,59.34,64.53,-4.804,3.5221,9053600
2010-09-21,180,2010-01-05,2010-09-21,61.52,61.7454,61.7741,99.6349,99.5886,59.34,64.53,-4.6645,3.6737,11303600
2010-09-22,180,2010-01-06,2010-09-22,61.79,61.7491,61.7777,100.0663,100.0199,59.34,64.53,-4.2461,4.1288,9646300
2010-09-23,180,2010-01-07,2010-09-23,61.22,61.7512,61.7798,99.1398,99.0939,59.34,64.53,-5.1294,3.1682,10107400
2010-09-24,180,2010-01-08,2010-09-24,61.64,61.7575,61.786,99.8097,99.7637,59.34,64.53,-4.4785,3.876,10602800
2010-09-27,180,2010-01-11,2010-09-27,61.04,61.761,61.7893,98.8326,98.7873,59.34,64.53,-5.4083,2.8648,10284100
2010-09-28,180,2010-01-12,2010-09-28,60.62,61.7634,61.7917,98.1487,98.1038,59.34,64.53,-6.0592,2.1571,11367300
2010-09-29,180,2010-01-13,2010-09-29,60.25,61.7597,61.7881,97.5555,97.5107,59.34,64.53,-6.6326,1.5335,9709400
2010-09-30,180,2010-01-14,2010-09-30,59.97,61.7508,61.7795,97.1161,97.071,59.34,64.53,-7.0665,1.0617,13101700
2010-10-01,180,2010-01-15,2010-10-01,60.16,61.7427,61.7716,97.4366,97.391,59.34,64.53,-6.772,1.3819,10253300
2010-10-04,180,2010-01-19,2010-10-04,59.96,61.7377,61.7668,97.1206,97.0748,59.34,64.53,-7.082,1.0448,11620700
2010-10-05,180,2010-01-20,2010-10-05,60.82,61.7326,61.7618,98.5217,98.4751,59.34,64.53,-5.7493,2.4941,11412700
2010-10-06,180,2010-01-21,2010-10-06,60.87,61.735,61.7642,98.5988,98.5523,59.34,64.53,-5.6718,2.5784,7229800
