date,open,high,low,close,adj_close,volume
2010-01-04,18.652500,18.882500,18.547501,18.705000,18.386900,7906000
2010-01-05,18.612499,18.750000,18.200001,18.625000,18.308258,7942400
2010-01-06,18.687500,18.750000,18.495001,18.592501,18.276312,5122400
2010-01-07,18.629999,18.737499,18.385000,18.510000,18.195215,4840000
2010-01-08,18.517500,18.587500,18.315001,18.537500,18.222248,5510400
2010-01-11,18.650000,18.674999,18.197500,18.412500,18.099377,6399200
2010-01-12,17.610001,17.622499,17.065001,17.072500,16.782162,21053200
2010-01-13,17.070000,17.197500,16.742500,17.125000,16.833767,20649600
2010-01-14,17.122499,17.432501,17.122499,17.297501,17.003334,10400400
2010-01-15,17.262501,17.387501,17.025000,17.157499,16.865711,8564800
2010-01-19,17.147499,17.467501,17.037500,17.375000,17.079514,6252800
2010-01-20,17.200001,17.292500,16.875000,17.137501,16.846058,7260000
2010-01-21,17.155001,17.379999,16.652500,16.719999,16.435654,8946000
2010-01-22,16.682501,16.735001,16.090000,16.135000,15.860604,8788800
2010-01-25,16.370001,16.402500,15.867500,16.032499,15.759846,9866800
2010-01-26,16.040001,16.545000,15.837500,16.352501,16.074406,10367200
2010-01-27,16.352501,16.415001,16.097500,16.350000,16.071949,5947600
2010-01-28,16.307501,16.325001,15.860000,16.040001,15.767220,5684400
2010-01-29,16.202499,16.290001,15.800000,15.887500,15.617311,6281200
2010-02-01,16.004999,16.320000,15.912500,16.295000,16.017881,5632000
2010-02-02,16.312500,16.392500,16.022499,16.264999,15.988391,4664400
2010-02-03,16.200001,16.557501,16.100000,16.405001,16.126013,4725600
2010-02-04,16.209999,16.272499,15.457500,15.607500,15.342076,11797200
2010-02-05,15.622500,15.625000,15.075000,15.520000,15.256063,12440800
2010-02-08,15.522500,15.760000,15.307500,15.530000,15.265892,5062400
2010-02-09,15.670000,16.225000,15.670000,16.165001,15.890096,9099200
2010-02-10,16.195000,16.225000,16.007500,16.182501,15.907298,6855200
2010-02-11,16.192499,16.527500,15.955000,16.490000,16.209568,6448800
2010-02-12,16.357500,16.415001,16.047501,16.272499,15.995767,8150000
2010-02-16,16.367500,16.612499,16.327499,16.549999,16.268549,5511200
2010-02-17,16.557501,16.830000,16.557501,16.695000,16.411081,6672400
2010-02-18,16.915001,17.235001,16.857500,17.112499,16.821480,8361600
2010-02-19,17.030001,17.372499,17.004999,17.230000,16.936981,7196800
2010-02-22,17.327499,17.382500,17.174999,17.260000,16.966469,5123600
2010-02-23,17.182501,17.347500,16.975000,17.059999,16.769873,5597200
2010-02-24,17.080000,17.504999,17.022499,17.360001,17.064775,10460400
2010-02-25,17.207500,17.209999,16.192499,17.002501,16.713350,19942400
2010-02-26,16.815001,17.017500,16.625000,16.987499,16.698606,10079600
2010-03-01,16.934999,17.847500,16.879999,17.725000,17.423563,10422000
2010-03-02,17.697500,18.087500,17.657499,17.959999,17.654566,8080800
2010-03-03,17.992500,18.070000,17.622499,17.642500,17.342466,5988000
2010-03-04,17.674999,17.732500,17.500000,17.722500,17.421104,5519200
2010-03-05,17.799999,18.247499,17.799999,18.070000,17.762695,6999200
2010-03-08,18.080000,18.405001,18.030001,18.237499,17.927347,5848800
2010-03-09,18.017500,18.549999,17.969999,18.420000,18.106745,9360000
2010-03-10,18.412500,18.850000,18.405001,18.797501,18.477825,8216000
2010-03-11,18.702499,18.875000,18.639999,18.855000,18.534346,6578000
2010-03-12,18.934999,19.094999,18.777500,18.927500,18.605616,4140400
2010-03-15,18.852501,18.940001,18.637501,18.900000,18.578581,5657200
2010-03-16,18.870001,19.272499,18.855000,19.172501,18.846445,7889200
2010-03-17,19.222500,19.372499,19.082500,19.184999,18.858734,5502800
2010-03-18,19.172501,19.362499,19.110001,19.227501,18.900513,5493600
2010-03-19,19.004999,19.375000,18.910000,19.004999,18.681795,6185600
