date,open,high,low,close,adj_close,volume
2010-01-04,29.150000,29.150000,28.549999,28.670000,19.297075,13120900
2010-01-05,28.730000,28.990000,28.290001,28.879999,19.438417,15594300
2010-01-06,28.879999,29.000000,28.700001,28.780001,19.371109,8833200
2010-01-07,28.860001,29.219999,28.730000,29.120001,19.599949,12058200
2010-01-08,29.000000,29.240000,28.690001,28.980000,19.505722,15609800
2010-01-11,29.000000,29.020000,28.080000,28.160000,18.953802,23670500
2010-01-12,28.150000,28.350000,27.889999,27.980000,18.832649,23075800
2010-01-13,28.000000,28.250000,28.000000,28.129999,18.933619,15639100
2010-01-14,28.120001,28.440001,28.120001,28.299999,19.048037,13208200
2010-01-15,28.309999,28.690001,28.000000,28.570000,19.229773,23013500
2010-01-19,28.459999,28.950001,28.350000,28.879999,19.438417,14170100
2010-01-20,28.700001,28.840000,28.350000,28.660000,19.290348,13256400
2010-01-21,28.629999,29.059999,28.320000,28.480000,19.169191,18900600
2010-01-22,28.240000,28.549999,27.680000,27.719999,18.657650,16696600
2010-01-25,27.950001,27.950001,27.510000,27.620001,18.590351,11098400
2010-01-26,27.500000,27.950001,27.500000,27.730000,18.664383,13275800
2010-01-27,27.620001,27.920000,27.490000,27.840000,18.738419,12821800
2010-01-28,27.930000,27.950001,27.190001,27.340000,18.401892,19430400
2010-01-29,27.570000,28.090000,27.379999,28.010000,18.852844,22453800
2010-02-01,28.010000,28.450001,27.910000,28.389999,19.108612,17172100
2010-02-02,28.389999,29.049999,28.299999,29.030001,19.539381,19640800
2010-02-03,28.940001,28.940001,28.260000,28.469999,19.162457,19437300
2010-02-04,28.240000,28.530001,27.840000,27.930000,18.798990,19813600
2010-02-05,27.850000,28.070000,27.530001,27.980000,18.832649,20229400
2010-02-08,28.530001,28.940001,28.469999,28.590000,19.243227,26005400
2010-02-09,28.870001,29.090000,28.570000,28.870001,19.431688,18057700
2010-02-10,28.840000,28.959999,28.400000,28.650000,19.283611,14481500
2010-02-11,28.709999,29.070000,28.540001,28.990000,19.512461,14614200
2010-02-12,28.750000,29.000000,28.549999,29.000000,19.519190,15027700
2010-02-16,29.120001,29.500000,28.930000,29.440001,19.815346,13317200
2010-02-17,29.760000,30.059999,29.750000,30.020000,20.205721,21524600
2010-02-18,30.020000,30.379999,29.870001,30.299999,20.394190,16564800
2010-02-19,30.209999,30.450001,30.000000,30.150000,20.293224,18576300
2010-02-22,30.400000,30.549999,30.200001,30.320000,20.407656,16101000
2010-02-23,30.559999,31.030001,30.350000,30.750000,20.697065,35770100
2010-02-24,30.780001,31.420000,30.740000,31.360001,21.107649,22937500
2010-02-25,31.070000,31.450001,30.990000,31.360001,21.107649,15049200
2010-02-26,31.360001,31.360001,30.950001,31.200001,20.999960,13879200
2010-03-01,31.240000,31.549999,31.090000,31.430000,21.154764,14182000
2010-03-02,31.389999,31.580000,31.270000,31.360001,21.107649,15189500
2010-03-03,31.430000,31.809999,31.320000,31.469999,21.181683,13900900
2010-03-04,31.540001,31.580000,31.299999,31.440001,21.161497,13777600
2010-03-05,31.549999,31.910000,31.490000,31.799999,21.403799,18768700
2010-03-08,31.680000,32.040001,31.680000,31.959999,21.511492,11048000
2010-03-09,31.700001,31.950001,31.670000,31.680000,21.481659,15127700
2010-03-10,31.590000,31.879999,31.450001,31.709999,21.501999,10532400
2010-03-11,31.580000,32.220001,31.520000,32.130001,21.786795,15316800
2010-03-12,32.230000,32.599998,32.119999,32.450001,22.003796,14953600
2010-03-15,32.490002,32.709999,32.279999,32.689999,22.166521,12049100
2010-03-16,32.610001,32.810001,32.349998,32.549999,22.071577,13690400
2010-03-17,32.490002,32.639999,32.340000,32.520000,22.051245,14730700
2010-03-18,32.450001,32.560001,32.230000,32.400002,21.969879,17763500
2010-03-19,32.360001,32.570000,32.099998,32.360001,21.942759,22430600
2010-03-22,32.139999,32.790001,32.139999,32.669998,22.152952,11737300
2010-03-23,32.590000,32.630001,32.270000,32.590000,22.098713,11511400
2010-03-24,32.439999,32.599998,32.240002,32.320000,21.915623,11804400
2010-03-25,32.500000,32.919998,32.459999,32.619999,22.119053,12956600
2010-03-26,32.669998,32.980000,32.630001,32.750000,22.207207,12346300
2010-03-29,32.779999,32.889999,32.500000,32.599998,22.105494,8929400
2010-03-30,32.560001,32.880001,32.500000,32.689999,22.166521,8666400
2010-03-31,32.540001,32.639999,32.200001,32.349998,21.935978,10342100
2010-04-01,32.410000,32.630001,32.160000,32.380001,21.956312,9432500
2010-04-05,32.349998,32.740002,32.160000,32.660000,22.146183,11381200
2010-04-06,32.619999,32.730000,32.419998,32.549999,22.071577,9399600
2010-04-07,32.500000,32.720001,32.380001,32.610001,22.112278,11070100
2010-04-08,32.459999,33.080002,32.400002,32.970001,22.356384,13825000
2010-04-09,33.029999,33.400002,32.840000,33.250000,22.546246,13060700
2010-04-12,33.220001,33.570000,33.139999,33.480000,22.702206,12251500
2010-04-13,33.410000,34.619999,33.410000,34.340000,23.285357,30322500
2010-04-14,34.320000,35.070000,34.299999,34.980000,23.719330,24720700
2010-04-15,34.939999,35.150002,34.740002,35.139999,23.827816,17975700
2010-04-16,34.990002,35.080002,34.709999,35.009998,23.739672,28512200
2010-04-19,34.919998,35.270000,34.740002,35.169998,23.848167,17571800
2010-04-20,35.320000,35.490002,35.009998,35.180000,23.854948,14848400
2010-04-21,35.150002,35.439999,35.090000,35.270000,23.915979,19597400
2010-04-22,35.150002,35.889999,35.029999,35.720001,24.221115,21648900
2010-04-23,35.759998,36.439999,35.700001,36.389999,24.675425,21336400
2010-04-26,36.520000,37.029999,36.459999,36.490002,24.743231,22057300
2010-04-27,36.380001,36.380001,35.209999,35.290001,23.929537,20588400
2010-04-28,35.430000,35.650002,35.029999,35.189999,23.861729,19371600
2010-04-29,35.450001,35.959999,35.400002,35.560001,24.112614,16263800
2010-04-30,35.700001,35.990002,35.230000,35.230000,23.888844,15800700
2010-05-03,35.389999,36.060001,35.169998,35.869999,24.322823,12644500
2010-05-04,35.560001,35.590000,34.790001,35.419998,24.017683,25531100
2010-05-05,35.230000,35.669998,35.029999,35.240002,23.895630,24373800
2010-05-06,34.919998,35.380001,32.070000,33.959999,23.027687,31183100
2010-05-07,33.740002,34.320000,32.630001,33.430000,22.668301,28620700
2010-05-10,34.639999,35.400002,34.580002,35.290001,23.929537,21683400
2010-05-11,35.130001,35.959999,35.070000,35.630001,24.160078,26625400
2010-05-12,35.669998,35.939999,35.380001,35.889999,24.336384,19130600
2010-05-13,35.849998,36.000000,35.119999,35.270000,23.915979,20229800
2010-05-14,35.259998,35.470001,34.759998,35.200001,23.868507,22621300
2010-05-17,34.970001,35.689999,34.080002,35.590000,24.132965,33494400
2010-05-18,35.810001,36.299999,34.230000,34.730000,23.549809,49088700
2010-05-19,34.380001,34.570000,33.650002,34.380001,23.312485,27200100
2010-05-20,33.660000,33.889999,32.790001,32.889999,22.302145,29536800
2010-05-21,32.259998,33.480000,32.250000,33.020000,22.390285,36007500
2010-05-24,32.849998,33.570000,32.759998,33.220001,22.525902,24263400
2010-05-25,32.540001,34.040001,32.419998,33.980000,23.041243,30507700
2010-05-26,34.549999,34.950001,33.930000,34.040001,23.081926,25393100
2010-05-27,34.509998,34.680000,34.180000,34.549999,23.427752,16379300
2010-05-28,34.570000,34.639999,33.820000,33.860001,22.959877,17549000
2010-06-01,33.419998,34.169998,33.220001,33.540001,22.902519,17273700
2010-06-02,33.619999,33.880001,33.389999,33.869999,23.127855,14262300
2010-06-03,33.900002,34.060001,33.169998,33.430000,22.827410,15651600
2010-06-04,32.880001,32.900002,31.940001,32.150002,21.953363,20061800
2010-06-07,32.259998,32.419998,31.500000,31.549999,21.543665,20853000
2010-06-08,31.530001,31.860001,31.250000,31.809999,21.721209,16153400
2010-06-09,31.870001,32.400002,31.620001,31.760000,21.687059,15788600
2010-06-10,32.240002,32.759998,32.090000,32.720001,22.342588,15343000
2010-06-11,32.310001,32.500000,31.780001,32.220001,22.001173,13693000
2010-06-14,32.480000,32.639999,31.990000,32.060001,21.891912,20280100
2010-06-15,32.090000,32.380001,31.549999,32.259998,22.028479,19748300
2010-06-16,31.959999,32.259998,31.680000,32.139999,21.946531,16321600
2010-06-17,32.189999,32.299999,31.450001,31.910000,21.789486,23934100
2010-06-18,31.950001,32.290001,31.790001,31.940001,21.809975,19785600
2010-06-21,32.169998,32.200001,31.240000,31.430000,21.461725,16599700
2010-06-22,31.459999,31.600000,30.530001,30.610001,20.901791,22902300
2010-06-23,30.580000,30.790001,30.270000,30.500000,20.826681,24796400
2010-06-24,30.139999,30.190001,29.570000,29.670000,20.259922,28837400
2010-06-25,29.580000,30.250000,29.580000,30.200001,20.621830,43592400
2010-06-28,30.150000,30.230000,29.580000,29.590000,20.205292,15451400
2010-06-29,29.150000,29.150000,28.420000,28.629999,19.549768,22817400
2010-06-30,28.530001,28.860001,27.990000,28.070000,19.167376,20940900
2010-07-01,28.410000,28.500000,27.490000,27.920000,19.064949,27119600
2010-07-02,28.010000,28.010000,27.580000,27.760000,18.955696,15404500
2010-07-06,27.990000,28.129999,27.100000,27.340000,18.668900,18300200
2010-07-07,27.490000,28.090000,27.309999,28.010000,19.126406,21796200
2010-07-08,28.350000,28.379999,27.719999,28.150000,19.222002,15975800
2010-07-09,28.100000,28.320000,27.930000,28.260000,19.297113,13507400
2010-07-12,28.230000,28.760000,28.230000,28.309999,19.331249,14259400
2010-07-13,28.490000,28.940001,28.290001,28.639999,19.556597,22058600
2010-07-14,28.549999,28.549999,28.090000,28.280001,19.310768,13638600
2010-07-15,28.219999,28.410000,27.920000,28.340000,19.351742,13535300
2010-07-16,28.150000,28.280001,27.049999,27.110001,18.511845,21870900
2010-07-19,27.160000,27.260000,26.850000,27.070000,18.484528,17061600
2010-07-20,26.750000,28.030001,26.620001,27.930000,19.071775,23279400
2010-07-21,27.780001,28.010000,27.350000,27.469999,18.757664,17161300
2010-07-22,27.709999,28.469999,27.709999,28.219999,19.269796,26142700
2010-07-23,28.139999,28.360001,27.900000,28.250000,19.290281,18979200
2010-07-26,28.240000,29.070000,28.230000,28.990000,19.795593,16149800
2010-07-27,29.230000,29.370001,28.540001,28.580000,19.515621,14851100
2010-07-28,28.580000,28.950001,28.000000,28.080000,19.174206,13917900
2010-07-29,28.270000,28.520000,27.770000,28.049999,19.153719,15504300
2010-07-30,27.750000,28.559999,27.629999,28.510000,19.467821,14837700
2010-08-02,28.820000,29.240000,28.680000,29.120001,19.884359,17882200
2010-08-03,29.090000,29.180000,28.410000,28.450001,19.426853,11724700
2010-08-04,28.610001,28.930000,28.510000,28.719999,19.611221,10987700
2010-08-05,28.520000,28.930000,28.330000,28.709999,19.604385,9101200
2010-08-06,28.530001,28.680000,28.209999,28.680000,19.583902,11372800
2010-08-09,28.770000,28.969999,28.680000,28.700001,19.597580,8354900
2010-08-10,28.400000,28.520000,28.020000,28.240000,19.283457,13866400
2010-08-11,27.930000,28.059999,27.600000,27.709999,18.921541,11672600
2010-08-12,27.530001,27.750000,27.309999,27.610001,18.853268,9886800
2010-08-13,27.510000,27.709999,27.270000,27.309999,18.648413,9316000
2010-08-16,27.500000,28.070000,27.280001,27.379999,18.696213,12152400
2010-08-17,28.030001,28.799999,27.709999,28.309999,19.331249,22537900
2010-08-18,28.350000,29.000000,28.320000,28.860001,19.706818,13733000
2010-08-19,28.559999,28.850000,27.969999,28.219999,19.269796,14149300
2010-08-20,28.080000,28.320000,27.889999,28.170000,19.235655,12430300
2010-08-23,28.559999,28.639999,27.799999,27.830000,19.003490,11447300
2010-08-24,27.549999,28.080000,27.100000,27.780001,18.969347,16615700
2010-08-25,27.590000,28.500000,27.590000,28.330000,19.344913,14357500
2010-08-26,28.389999,28.559999,28.270000,28.379999,19.379049,12712200
2010-08-27,28.520000,28.840000,28.260000,28.740000,19.624878,12750900
2010-08-30,28.740000,28.799999,27.980000,27.990000,19.112747,9632800
2010-08-31,27.629999,28.080000,27.549999,27.820000,19.158201,12408200
2010-09-01,28.080000,28.740000,28.059999,28.670000,19.743546,12772500
2010-09-02,28.760000,29.549999,28.740000,29.410000,20.253149,14321400
2010-09-03,29.910000,30.320000,29.520000,29.850000,20.556152,12769800
