date,open,high,low,close,adj_close,volume
2010-01-04,0.462750,0.465500,0.452750,0.462250,0.423290,800204000
2010-01-05,0.460500,0.474000,0.460500,0.469000,0.429471,728648000
2010-01-06,0.468750,0.473000,0.464250,0.472000,0.432219,649168000
2010-01-07,0.469500,0.471500,0.459250,0.462750,0.423748,547792000
2010-01-08,0.459000,0.467000,0.456250,0.463750,0.424664,478168000
2010-01-11,0.466250,0.468250,0.450750,0.457250,0.418712,556612000
2010-01-12,0.450500,0.452250,0.432250,0.441750,0.404518,627432000
2010-01-13,0.444750,0.449250,0.427500,0.447750,0.410013,508868000
2010-01-14,0.442250,0.445500,0.433250,0.440750,0.403603,608524000
2010-01-15,0.437500,0.441250,0.422000,0.427750,0.391698,818192000
2010-01-19,0.424500,0.438500,0.423250,0.435750,0.399024,545328000
2010-01-20,0.430250,0.435750,0.424500,0.434000,0.397421,719728000
2010-01-21,0.433750,0.441500,0.422250,0.426250,0.390325,608632000
2010-01-22,0.421250,0.429000,0.409000,0.411500,0.376818,1067916000
2010-01-25,0.418250,0.426500,0.415250,0.418500,0.383228,643676000
2010-01-26,0.416500,0.419250,0.405000,0.405250,0.371094,714636000
2010-01-27,0.405000,0.417750,0.400500,0.416250,0.381167,812504000
2010-01-28,0.419500,0.421000,0.396500,0.402250,0.368347,687764000
2010-01-29,0.406750,0.411250,0.378750,0.384750,0.352322,774700000
2010-02-01,0.386250,0.415000,0.383000,0.414250,0.379336,949832000
2010-02-02,0.412750,0.423750,0.411500,0.418500,0.383228,849812000
2010-02-03,0.414750,0.423750,0.412750,0.422000,0.386433,562296000
2010-02-04,0.418250,0.418250,0.393000,0.397500,0.363998,783480000
2010-02-05,0.397000,0.406500,0.390000,0.405500,0.371323,604856000
2010-02-08,0.404250,0.414500,0.396750,0.404750,0.370637,445160000
2010-02-09,0.411250,0.413250,0.397500,0.401500,0.367661,930144000
2010-02-10,0.404000,0.413000,0.401250,0.409250,0.374758,535828000
2010-02-11,0.415750,0.432500,0.412750,0.428000,0.391927,695980000
2010-02-12,0.425000,0.442500,0.420250,0.433750,0.397193,780212000
2010-02-16,0.439500,0.443500,0.434250,0.441750,0.404518,457024000
2010-02-17,0.447250,0.447500,0.433250,0.446000,0.408410,876560000
2010-02-18,0.421500,0.423750,0.405250,0.416750,0.381625,1515508000
2010-02-19,0.415000,0.419500,0.412500,0.414500,0.379565,510548000
2010-02-22,0.416250,0.422500,0.412500,0.415250,0.380252,458084000
2010-02-23,0.416500,0.418250,0.401000,0.405250,0.371094,489764000
2010-02-24,0.408750,0.417750,0.407500,0.413750,0.378878,445868000
