date,window_trading_days,window_start,window_end,close,fixed_amount_dca_cost,moving_avg_180,price_to_dca_pct,price_to_ma_pct,min_close_in_window,max_close_in_window,drawdown_from_window_high_pct,above_window_low_pct,volume
2010-09-20,180,2010-01-04,2010-09-20,43.01,38.885,39.2183,110.6083,109.6682,31.96,49.47,-13.0584,34.5745,15241800
2010-09-21,180,2010-01-05,2010-09-21,43.51,38.8709,39.1992,111.9347,110.9971,31.96,49.47,-12.0477,36.1389,16763100
2010-09-22,180,2010-01-06,2010-09-22,43.3,38.8516,39.1727,111.4496,110.5361,31.96,49.47,-12.4722,35.4819,16158500
2010-09-23,180,2010-01-07,2010-09-23,43.65,38.8357,39.1508,112.3966,111.492,31.96,49.47,-11.7647,36.577,20206800
2010-09-24,180,2010-01-08,2010-09-24,44.55,38.8187,39.1262,114.7642,113.8624,31.96,49.47,-9.9454,39.393,22619300
2010-09-27,180,2010-01-11,2010-09-27,44.59,38.8002,39.0991,114.9221,114.0437,31.96,49.32,-9.5904,39.5182,14009400
2010-09-28,180,2010-01-12,2010-09-28,44.07,38.7801,39.0701,113.6407,112.7974,31.96,49.32,-10.6448,37.8911,23000500
2010-09-29,180,2010-01-13,2010-09-29,44.31,38.7639,39.0468,114.3075,113.4791,31.96,49.32,-10.1581,38.6421,14499000
2010-09-30,180,2010-01-14,2010-09-30,45.13,38.7503,39.027,116.4636,115.6379,31.96,49.32,-8.4955,41.2078,35751700
2010-10-01,180,2010-01-15,2010-10-01,44.26,38.7343,39.0042,114.2656,113.4751,31.96,49.32,-10.2595,38.4856,22457600
2010-10-04,180,2010-01-19,2010-10-04,43.89,38.7161,38.9784,113.3635,112.6009,31.96,49.32,-11.0097,37.3279,13941400
2010-10-05,180,2010-01-20,2010-10-05,44.26,38.6969,38.9503,114.3762,113.632,31.96,48.35,-8.4592,38.4856,18459700
2010-10-06,180,2010-01-21,2010-10-06,44.65,38.6826,38.9297,115.4266,114.6939,31.96,48.09,-7.1533,39.7059,21696900
2010-10-07,180,2010-01-22,2010-10-07,44.55,38.6689,38.9101,115.2089,114.4948,31.96,47.2,-5.6144,39.393,11965000
2010-10-08,180,2010-01-25,2010-10-08,44.76,38.6609,38.8988,115.776,115.0677,31.96,47.2,-5.1695,40.0501,12349900
2010-10-11,180,2010-01-26,2010-10-11,44.18,38.6499,38.8837,114.3081,113.621,31.96,47.2,-6.3983,38.2353,10971300
2010-10-12,180,2010-01-27,2010-10-12,44.79,38.6416,38.872,115.9113,115.2243,31.96,47.2,-5.1059,40.1439,13712800
2010-10-13,180,2010-01-28,2010-10-13,45.32,38.6343,38.8616,117.305,116.6191,31.96,45.32,0.0,41.8023,13543300
2010-10-14,180,2010-01-29,2010-10-14,45.04,38.6551,38.8869,116.5176,115.8231,31.96,45.32,-0.6178,40.9262,11317500
2010-10-15,180,2010-02-01,2010-10-15,44.79,38.6816,38.918,115.7915,115.0881,31.96,45.32,-1.1695,40.1439,18075400
2010-10-18,180,2010-02-02,2010-10-18,44.49,38.7038,38.9442,114.95,114.2403,31.96,45.32,-1.8314,39.2053,12225400
2010-10-19,180,2010-02-03,2010-10-19,44.22,38.7276,38.9718,114.1822,113.4667,31.96,45.32,-2.4272,38.3605,15934400
2010-10-20,180,2010-02-04,2010-10-20,44.38,38.7501,38.9982,114.5288,113.8002,31.96,45.32,-2.0741,38.8611,11523700
2010-10-21,180,2010-02-05,2010-10-21,43.98,38.779,39.0304,113.412,112.6813,31.96,45.32,-2.9568,37.6095,24931600
2010-10-22,180,2010-02-08,2010-10-22,44.18,38.8095,39.0646,113.838,113.0948,31.96,45.32,-2.5154,38.2353,12473200
2010-10-25,180,2010-02-09,2010-10-25,44.33,38.8439,39.1024,114.1235,113.3689,31.96,45.32,-2.1845,38.7046,10215900
2010-10-26,180,2010-02-10,2010-10-26,43.94,38.8742,39.1359,113.0311,112.2753,31.96,45.32,-3.045,37.4844,15805500
2010-10-27,180,2010-02-11,2010-10-27,44.48,38.9098,39.1751,114.3156,113.5415,31.96,45.32,-1.8535,39.174,11449300
2010-10-28,180,2010-02-12,2010-10-28,44.42,38.9418,39.2107,114.0677,113.2853,31.96,45.32,-1.9859,38.9862,11982900
2010-10-29,180,2010-02-16,2010-10-29,45.16,38.9722,39.2458,115.8776,115.0695,31.96,45.32,-0.353,41.3016,16651700
2010-11-01,180,2010-02-17,2010-11-01,45.33,39.0023,39.2809,116.2239,115.3996,31.96,45.33,0.0,41.8336,11199500
2010-11-02,180,2010-02-18,2010-11-02,45.38,39.0304,39.3139,116.2683,115.4298,31.96,45.38,0.0,41.99,12590900
