date,window_trading_days,window_start,window_end,close,fixed_amount_dca_cost,moving_avg_180,price_to_dca_pct,price_to_ma_pct,min_close_in_window,max_close_in_window,drawdown_from_window_high_pct,above_window_low_pct,volume
2010-09-20,180,2010-01-04,2010-09-20,114.21,111.7508,111.9258,102.2006,102.0408,102.2,121.81,-6.2392,11.7515,214555200
2010-09-21,180,2010-01-05,2010-09-21,113.98,111.7543,111.9294,101.9916,101.8321,102.2,121.81,-6.428,11.5264,268389100
2010-09-22,180,2010-01-06,2010-09-22,113.42,111.7531,111.9282,101.4916,101.3328,102.2,121.81,-6.8878,10.9785,191322400
2010-09-23,180,2010-01-07,2010-09-23,112.5,111.7466,111.9215,100.6742,100.5169,102.2,121.81,-7.643,10.0783,202354300
2010-09-24,180,2010-01-08,2010-09-24,114.82,111.7499,111.925,102.7473,102.5866,102.2,121.81,-5.7384,12.3483,209671800
2010-09-27,180,2010-01-11,2010-09-27,114.27,111.7483,111.9233,102.2566,102.0967,102.2,121.81,-6.19,11.8102,128761800
2010-09-28,180,2010-01-12,2010-09-28,114.67,111.748,111.923,102.6148,102.4544,102.2,121.81,-5.8616,12.2016,209207500
2010-09-29,180,2010-01-13,2010-09-29,114.47,111.7523,111.9275,102.4319,102.2716,102.2,121.81,-6.0258,12.0059,179665800
2010-09-30,180,2010-01-14,2010-09-30,114.13,111.7497,111.9248,102.13,101.9703,102.2,121.81,-6.3049,11.6732,287106700
2010-10-01,180,2010-01-15,2010-10-01,114.61,111.748,111.923,102.5611,102.4008,102.2,121.81,-5.9108,12.1429,174638700
2010-10-04,180,2010-01-19,2010-10-04,113.75,111.7486,111.9236,101.791,101.6318,102.2,121.81,-6.6169,11.3014,166153200
2010-10-05,180,2010-01-20,2010-10-05,116.04,111.7537,111.9291,103.8355,103.6728,102.2,121.81,-4.7369,13.5421,229634100
2010-10-06,180,2010-01-21,2010-10-06,116.03,111.765,111.9409,103.8161,103.6529,102.2,121.81,-4.7451,13.5323,148626600
2010-10-07,180,2010-01-22,2010-10-07,115.89,111.7874,111.9642,103.67,103.5063,102.2,121.81,-4.86,13.3953,164860000
2010-10-08,180,2010-01-25,2010-10-08,116.54,111.8274,112.0049,104.2142,104.049,102.2,121.81,-4.3264,14.0313,177760100
2010-10-11,180,2010-01-26,2010-10-11,116.65,111.8648,112.0432,104.2777,104.1117,102.2,121.81,-4.2361,14.1389,103098300
2010-10-12,180,2010-01-27,2010-10-12,117.01,111.9066,112.0859,104.5604,104.3931,102.2,121.81,-3.9406,14.4912,182210000
2010-10-13,180,2010-01-28,2010-10-13,117.92,111.9501,112.1309,105.3326,105.1628,102.2,121.81,-3.1935,15.3816,194347200
2010-10-14,180,2010-01-29,2010-10-14,117.46,111.9987,112.1803,104.8762,104.7065,102.2,121.81,-3.5711,14.9315,217764300
2010-10-15,180,2010-02-01,2010-10-15,117.7,112.0555,112.2376,105.0372,104.8669,102.2,121.81,-3.3741,15.1663,243705000
2010-10-18,180,2010-02-02,2010-10-18,118.28,112.1054,112.2888,105.5078,105.3355,102.2,121.81,-2.898,15.7339,141204800
2010-10-19,180,2010-02-03,2010-10-19,116.73,112.1398,112.3241,104.0933,103.9225,102.2,121.81,-4.1704,14.2172,280604700
2010-10-20,180,2010-02-04,2010-10-20,117.87,112.1832,112.3687,105.0692,104.8957,102.2,121.81,-3.2345,15.3327,200051800
2010-10-21,180,2010-02-05,2010-10-21,118.13,112.2483,112.4337,105.2399,105.0664,102.2,121.81,-3.0211,15.5871,221585500
2010-10-22,180,2010-02-08,2010-10-22,118.35,112.3131,112.4986,105.375,105.2013,102.2,121.81,-2.8405,15.8023,108212400
2010-10-25,180,2010-02-09,2010-10-25,118.7,112.3846,112.5698,105.6194,105.4457,102.2,121.81,-2.5532,16.1448,151145700
