date,window_trading_days,window_start,window_end,close,fixed_amount_dca_cost,moving_avg_180,price_to_dca_pct,price_to_ma_pct,min_close_in_window,max_close_in_window,drawdown_from_window_high_pct,above_window_low_pct,volume
2011-03-15,180,2010-06-29,2011-03-15,1.53,1.528,1.5765,100.1308,97.0513,1.0533,2.3647,-35.2974,45.2532,19782000
2011-03-16,180,2010-06-30,2011-03-16,1.5213,1.5276,1.5761,99.5885,96.5258,1.0533,2.3647,-35.664,44.4304,17545500
2011-03-17,180,2010-07-01,2011-03-17,1.5207,1.5273,1.5757,99.5687,96.5067,1.0533,2.3647,-35.6921,44.3672,13839000
2011-03-18,180,2010-07-02,2011-03-18,1.5307,1.5276,1.5761,100.1982,97.1185,1.0533,2.3647,-35.2692,45.3165,10318500
2011-03-21,180,2010-07-06,2011-03-21,1.5153,1.5292,1.5774,99.0923,96.0659,1.0533,2.3647,-35.9177,43.8608,6175500
2011-03-22,180,2010-07-07,2011-03-22,1.4793,1.5325,1.5796,96.5284,93.65,1.0533,2.3647,-37.4401,40.4431,8743500
2011-03-23,180,2010-07-08,2011-03-23,1.4807,1.5361,1.582,96.3901,93.5938,1.1367,2.3647,-37.3837,30.2639,6342000
2011-03-24,180,2010-07-09,2011-03-24,1.4887,1.5386,1.5838,96.7559,93.9923,1.1367,2.3647,-37.0454,30.9677,6933000
2011-03-25,180,2010-07-12,2011-03-25,1.5167,1.5413,1.5858,98.405,95.6405,1.1367,2.3647,-35.8613,33.4311,8520000
2011-03-28,180,2010-07-13,2011-03-28,1.55,1.5444,1.5881,100.3657,97.6011,1.1733,2.3647,-34.4517,32.1023,15871500
2011-03-29,180,2010-07-14,2011-03-29,1.5947,1.547,1.5902,103.0809,100.2786,1.1733,2.3647,-32.5627,35.9092,11331000
2011-03-30,180,2010-07-15,2011-03-30,1.5807,1.5486,1.5917,102.0676,99.3087,1.1733,2.3647,-33.1548,34.716,18349500
2011-03-31,180,2010-07-16,2011-03-31,1.85,1.5515,1.5946,119.2396,116.0179,1.1733,2.3647,-21.7649,57.6705,172767000
2011-04-01,180,2010-07-19,2011-04-01,1.7773,1.5537,1.5968,114.3939,111.3051,1.1733,2.3647,-24.8379,51.4773,42972000
2011-04-04,180,2010-07-20,2011-04-04,1.722,1.5551,1.5983,110.7331,107.742,1.1733,2.3647,-27.1779,46.7614,39139500
2011-04-05,180,2010-07-21,2011-04-05,1.78,1.5575,1.6006,114.2876,111.206,1.1733,2.3647,-24.7251,51.7046,47713500
2011-04-06,180,2010-07-22,2011-04-06,1.766,1.5598,1.603,113.2165,110.1715,1.1733,2.3647,-25.3172,50.5114,19324500
2011-04-07,180,2010-07-23,2011-04-07,1.816,1.5621,1.6053,116.2568,113.1276,1.1733,2.3647,-23.2027,54.7728,42154500
2011-04-08,180,2010-07-26,2011-04-08,1.766,1.5639,1.6072,112.9202,109.881,1.1733,2.3647,-25.3172,50.5114,29196000
2011-04-11,180,2010-07-27,2011-04-11,1.6847,1.5656,1.6088,107.6051,104.7162,1.1733,2.3647,-28.7567,43.5796,20541000
2011-04-12,180,2010-07-28,2011-04-12,1.6433,1.5673,1.6103,104.8542,102.0507,1.1733,2.3647,-30.5047,40.0568,20361000
2011-04-13,180,2010-07-29,2011-04-13,1.662,1.5689,1.6119,105.9323,103.11,1.1733,2.3647,-29.7153,41.6478,18172500
2011-04-14,180,2010-07-30,2011-04-14,1.676,1.5708,1.6136,106.6939,103.8643,1.1733,2.3647,-29.1232,42.8409,14751000
2011-04-15,180,2010-08-02,2011-04-15,1.7053,1.5731,1.6157,108.4041,105.5454,1.1733,2.3647,-27.8827,45.3409,14152500
2011-04-18,180,2010-08-03,2011-04-18,1.6687,1.5747,1.6173,105.9642,103.1789,1.1733,2.3647,-29.4333,42.216,15508500
2011-04-19,180,2010-08-04,2011-04-19,1.6773,1.5759,1.6184,106.4332,103.6386,1.1733,2.3647,-29.0668,42.9546,8230500
2011-04-20,180,2010-08-05,2011-04-20,1.7167,1.5776,1.6201,108.8118,105.9601,1.1733,2.3647,-27.4034,46.3069,12558000
2011-04-21,180,2010-08-06,2011-04-21,1.7827,1.58,1.6224,112.8244,109.8759,1.1733,2.3647,-24.6123,51.9319,20791500
2011-04-25,180,2010-08-09,2011-04-25,1.7593,1.5828,1.625,111.1547,108.2696,1.1733,2.3647,-25.5991,49.9432,12013500
2011-04-26,180,2010-08-10,2011-04-26,1.7953,1.5857,1.6277,113.2214,110.3008,1.1733,2.3647,-24.0767,53.0114,21000000
2011-04-27,180,2010-08-11,2011-04-27,1.8053,1.589,1.6307,113.6171,110.7124,1.1733,2.3647,-23.6538,53.8637,14953500
2011-04-28,180,2010-08-12,2011-04-28,1.844,1.5931,1.6343,115.7476,112.8335,1.1733,2.3647,-22.0186,57.1591,24000000
2011-04-29,180,2010-08-13,2011-04-29,1.84,1.5975,1.638,115.1809,112.3341,1.2213,2.3647,-22.1878,50.6551,10890000
2011-05-02,180,2010-08-16,2011-05-02,1.83,1.6014,1.6414,114.2781,111.4935,1.2513,2.3647,-22.6107,46.244,11769000
2011-05-03,180,2010-08-17,2011-05-03,1.7913,1.6048,1.6443,111.6241,108.9388,1.2513,2.3647,-24.2459,43.154,13708500
2011-05-04,180,2010-08-18,2011-05-04,1.7793,1.608,1.6471,110.6576,108.0256,1.2513,2.3647,-24.7533,42.195,15667500
2011-05-05,180,2010-08-19,2011-05-05,1.7627,1.6113,1.65,109.3941,106.8295,1.2527,2.3647,-25.4581,40.7131,18277500
2011-05-06,180,2010-08-20,2011-05-06,1.808,1.6148,1.6531,111.9613,109.3725,1.2733,2.3647,-23.541,41.9896,14725500
2011-05-09,180,2010-08-23,2011-05-09,1.8607,1.6184,1.6563,114.9664,112.3368,1.28,2.3647,-21.3138,45.3646,13746000
2011-05-10,180,2010-08-24,2011-05-10,1.8887,1.6216,1.6594,116.4702,113.8185,1.28,2.3647,-20.1297,47.5521,23029500
2011-05-11,180,2010-08-25,2011-05-11,1.8047,1.6249,1.6623,111.0624,108.5657,1.2987,2.3647,-23.682,38.963,14437500
2011-05-12,180,2010-08-26,2011-05-12,1.8447,1.628,1.6652,113.3071,110.7802,1.2987,2.3647,-21.9904,42.0431,9420000
2011-05-13,180,2010-08-27,2011-05-13,1.8367,1.6312,1.668,112.5963,110.1088,1.2987,2.3647,-22.3287,41.4271,9922500
2011-05-16,180,2010-08-30,2011-05-16,1.7733,1.6341,1.6706,108.5191,106.1492,1.2987,2.3647,-25.0071,36.5502,11335500
2011-05-17,180,2010-08-31,2011-05-17,1.7307,1.6368,1.6729,105.7378,103.4556,1.2987,2.3647,-26.8114,33.2649,18513000
2011-05-18,180,2010-09-01,2011-05-18,1.7567,1.6397,1.6754,107.1304,104.8504,1.304,2.3647,-25.7119,34.7137,10942500
2011-05-19,180,2010-09-02,2011-05-19,1.88,1.6428,1.6783,114.4413,112.0198,1.304,2.3647,-20.4962,44.1718,39826500
2011-05-20,180,2010-09-03,2011-05-20,1.8647,1.6454,1.6808,113.3257,110.9371,1.304,2.3647,-21.1446,42.9959,12637500
2011-05-23,180,2010-09-07,2011-05-23,1.788,1.6477,1.683,108.514,106.2407,1.304,2.3647,-24.3868,37.1166,12954000
2011-05-24,180,2010-09-08,2011-05-24,1.7813,1.6503,1.6853,107.9422,105.7008,1.304,2.3647,-24.6688,36.6053,9205500
2011-05-25,180,2010-09-09,2011-05-25,1.932,1.6533,1.6883,116.8573,114.4379,1.304,2.3647,-18.2972,48.1595,70396500
2011-05-26,180,2010-09-10,2011-05-26,1.9653,1.6566,1.6915,118.6382,116.1888,1.304,2.3647,-16.8875,50.7157,50053500
2011-05-27,180,2010-09-13,2011-05-27,1.97,1.6602,1.695,118.6615,116.226,1.304,2.3647,-16.6902,51.0736,25306500
2011-05-31,180,2010-09-14,2011-05-31,2.0093,1.6637,1.6985,120.7781,118.303,1.304,2.3647,-15.0268,54.09,49357500
2011-06-01,180,2010-09-15,2011-06-01,1.9013,1.6665,1.7012,114.0918,111.764,1.304,2.3647,-19.594,45.8077,22948500
2011-06-02,180,2010-09-16,2011-06-02,1.9173,1.669,1.7037,114.8805,112.5384,1.304,2.3647,-18.9174,47.0347,14794500
2011-06-03,180,2010-09-17,2011-06-03,2.0087,1.6724,1.7071,120.1091,117.6642,1.304,2.3647,-15.055,54.0389,93138000
2011-06-06,180,2010-09-20,2011-06-06,1.9133,1.6758,1.7103,114.176,111.8741,1.304,2.3647,-19.0866,46.728,34966500
2011-06-07,180,2010-09-21,2011-06-07,1.8913,1.6786,1.713,112.6703,110.413,1.304,2.3647,-20.0169,45.0409,18331500
2011-06-08,180,2010-09-22,2011-06-08,1.808,1.6813,1.7153,107.5362,105.4034,1.304,2.3647,-23.541,38.6503,25438500
2011-06-09,180,2010-09-23,2011-06-09,1.8413,1.6846,1.7182,109.3021,107.1673,1.304,2.3647,-22.1314,41.2065,24048000
2011-06-10,180,2010-09-24,2011-06-10,1.8573,1.6882,1.7213,110.0161,107.9055,1.3367,2.3647,-21.4548,38.9526,23499000
