date,window_trading_days,window_start,window_end,close,fixed_amount_dca_cost,moving_avg_180,price_to_dca_pct,price_to_ma_pct,min_close_in_window,max_close_in_window,drawdown_from_window_high_pct,above_window_low_pct,volume
2010-09-20,180,2010-01-04,2010-09-20,34.93,31.6835,31.7686,110.2467,109.9513,27.85,35.13,-0.5693,25.4219,5639200
2010-09-21,180,2010-01-05,2010-09-21,35.26,31.7022,31.7893,111.2226,110.9177,27.85,35.26,0.0,26.6068,6428000
2010-09-22,180,2010-01-06,2010-09-22,35.68,31.7231,31.8127,112.4733,112.1566,27.85,35.68,0.0,28.1149,7184300
2010-09-23,180,2010-01-07,2010-09-23,35.44,31.7412,31.8329,111.6529,111.3312,27.85,35.68,-0.6726,27.2531,6711800
2010-09-24,180,2010-01-08,2010-09-24,35.73,31.7541,31.8481,112.5208,112.189,27.85,35.73,0.0,28.2944,8558100
2010-09-27,180,2010-01-11,2010-09-27,35.35,31.767,31.8628,111.2791,110.9445,27.85,35.73,-1.0635,26.93,7505200
2010-09-28,180,2010-01-12,2010-09-28,35.04,31.7773,31.8746,110.2675,109.9309,27.85,35.73,-1.9311,25.8169,8410300
2010-09-29,180,2010-01-13,2010-09-29,35.2,31.793,31.8921,110.7164,110.3723,27.85,35.73,-1.4833,26.3914,7872500
2010-09-30,180,2010-01-14,2010-09-30,35.11,31.8056,31.9063,110.3894,110.0409,27.85,35.73,-1.7352,26.0682,7847200
2010-10-01,180,2010-01-15,2010-10-01,35.43,31.8156,31.9181,111.3603,111.003,27.85,35.73,-0.8396,27.2172,6503500
2010-10-04,180,2010-01-19,2010-10-04,34.54,31.8195,31.9224,108.55,108.1997,27.85,35.73,-3.3305,24.0215,5883300
2010-10-05,180,2010-01-20,2010-10-05,35.07,31.8192,31.9221,110.2165,109.8612,27.85,35.73,-1.8472,25.9246,6887400
2010-10-06,180,2010-01-21,2010-10-06,33.95,31.8163,31.9188,106.7063,106.3637,27.85,35.73,-4.9818,21.9031,13815400
2010-10-07,180,2010-01-22,2010-10-07,34.34,31.8224,31.9257,107.9113,107.5624,27.85,35.73,-3.8903,23.3034,6878900
