date,window_trading_days,window_start,window_end,close,fixed_amount_dca_cost,moving_avg_180,price_to_dca_pct,price_to_ma_pct,min_close_in_window,max_close_in_window,drawdown_from_window_high_pct,above_window_low_pct,volume
2010-09-20,180,2010-01-04,2010-09-20,17.5775,19.9763,20.19,87.9916,87.0605,16.37,24.1475,-27.2078,7.3763,29386800
2010-09-21,180,2010-01-05,2010-09-21,17.485,19.9502,20.1647,87.6433,86.711,16.37,24.1475,-27.5908,6.8112,25300000
2010-09-22,180,2010-01-06,2010-09-22,17.655,19.9265,20.1418,88.6007,87.6537,16.37,24.1475,-26.8868,7.8497,25826400
2010-09-23,180,2010-01-07,2010-09-23,17.745,19.9048,20.121,89.1491,88.1916,16.37,24.1475,-26.5141,8.3995,26984000
2010-09-24,180,2010-01-08,2010-09-24,18.0925,19.8847,20.101,90.9871,90.0081,16.37,24.1475,-25.0751,10.5223,21028800
2010-09-27,180,2010-01-11,2010-09-27,18.25,19.8653,20.0815,91.8685,90.8795,16.37,24.1475,-24.4228,11.4844,20098400
2010-09-28,180,2010-01-12,2010-09-28,18.3175,19.8468,20.0628,92.2947,91.3008,16.37,24.1475,-24.1433,11.8967,29212800
2010-09-29,180,2010-01-13,2010-09-29,18.6025,19.8305,20.0462,93.8074,92.798,16.37,24.1475,-22.963,13.6378,27882000
2010-09-30,180,2010-01-14,2010-09-30,18.565,19.8131,20.0283,93.7004,92.6936,16.37,24.1475,-23.1183,13.4087,23144000
2010-10-01,180,2010-01-15,2010-10-01,18.33,19.7939,20.0087,92.6041,91.61,16.37,24.1475,-24.0915,11.9731,18121600
2010-10-04,180,2010-01-19,2010-10-04,18.31,19.7762,19.9908,92.5862,91.592,16.37,24.1475,-24.1743,11.8509,23152000
2010-10-05,180,2010-01-20,2010-10-05,18.7475,19.7592,19.973,94.8798,93.8644,16.37,24.1475,-22.3626,14.5235,20658000
2010-10-06,180,2010-01-21,2010-10-06,18.5575,19.7416,19.9546,94.0021,92.9984,16.37,24.1475,-23.1494,13.3629,15120800
2010-10-07,180,2010-01-22,2010-10-07,18.4025,19.7265,19.9396,93.2882,92.2913,16.37,24.1475,-23.7913,12.416,9975200
2010-10-08,180,2010-01-25,2010-10-08,18.5,19.7142,19.9275,93.8411,92.8367,16.37,24.1475,-23.3875,13.0116,9381600
2010-10-11,180,2010-01-26,2010-10-11,18.5725,19.7032,19.9167,94.2613,93.2509,16.37,24.1475,-23.0873,13.4545,10399200
2010-10-12,180,2010-01-27,2010-10-12,18.5625,19.6933,19.9071,94.2578,93.2455,16.37,24.1475,-23.1287,13.3934,13899200
2010-10-13,180,2010-01-28,2010-10-13,19.235,19.684,19.8974,97.7188,96.6707,16.37,24.1475,-20.3437,17.5015,29848000
