date,window_trading_days,window_start,window_end,close,fixed_amount_dca_cost,moving_avg_180,price_to_dca_pct,price_to_ma_pct,min_close_in_window,max_close_in_window,drawdown_from_window_high_pct,above_window_low_pct,volume
2010-09-20,180,2010-01-04,2010-09-20,17.8467,17.4972,17.52,101.9975,101.8646,16.0,18.6633,-4.3758,11.5417,27780300
2010-09-21,180,2010-01-05,2010-09-21,17.8567,17.496,17.5188,102.0615,101.9288,16.0,18.6633,-4.3222,11.6042,28275300
2010-09-22,180,2010-01-06,2010-09-22,17.94,17.4962,17.519,102.5364,102.4031,16.0,18.6633,-3.8757,12.125,29730000
2010-09-23,180,2010-01-07,2010-09-23,17.8833,17.4964,17.5191,102.2117,102.0788,16.0,18.6633,-4.1793,11.7708,21873600
2010-09-24,180,2010-01-08,2010-09-24,18.0267,17.4972,17.52,103.0259,102.8917,16.0,18.6633,-3.4113,12.6667,29305200
2010-09-27,180,2010-01-11,2010-09-27,17.8267,17.4975,17.5203,101.8813,101.7486,16.0,18.6633,-4.4829,11.4167,25986600
2010-09-28,180,2010-01-12,2010-09-28,17.94,17.4968,17.5196,102.5331,102.3996,16.0,18.6633,-3.8757,12.125,33441900
2010-09-29,180,2010-01-13,2010-09-29,17.7833,17.4944,17.517,101.6517,101.5202,16.0,18.6633,-4.7151,11.1458,29592300
2010-09-30,180,2010-01-14,2010-09-30,17.84,17.4918,17.5143,101.9906,101.8598,16.0,18.6633,-4.4115,11.5,32703000
2010-10-01,180,2010-01-15,2010-10-01,17.7867,17.4903,17.5127,101.6944,101.5644,16.0,18.6633,-4.6973,11.1667,24688200
2010-10-04,180,2010-01-19,2010-10-04,17.8567,17.4901,17.5125,102.0958,101.9653,16.0,18.6633,-4.3222,11.6042,21427500
2010-10-05,180,2010-01-20,2010-10-05,18.0,17.4901,17.5124,102.9156,102.7841,16.0,18.6633,-3.5542,12.5,30648000
2010-10-06,180,2010-01-21,2010-10-06,18.1867,17.4913,17.5137,103.9757,103.8423,16.0,18.6633,-2.554,13.6667,31241400
2010-10-07,180,2010-01-22,2010-10-07,18.12,17.4938,17.5164,103.5794,103.4459,16.0,18.6633,-2.9112,13.25,23309400
2010-10-08,180,2010-01-25,2010-10-08,18.1367,17.4964,17.5191,103.6592,103.5249,16.0,18.6633,-2.8219,13.3542,26380800
2010-10-11,180,2010-01-26,2010-10-11,18.2033,17.4995,17.5223,104.0221,103.8865,16.0,18.6633,-2.4647,13.7708,21111900
2010-10-12,180,2010-01-27,2010-10-12,17.9733,17.5,17.5229,102.7046,102.5705,16.0,18.6633,-3.6971,12.3333,45104400
2010-10-13,180,2010-01-28,2010-10-13,17.94,17.5008,17.5237,102.5097,102.3757,16.0,18.6633,-3.8757,12.125,40840800
2010-10-14,180,2010-01-29,2010-10-14,17.75,17.5019,17.5249,101.4173,101.2846,16.0,18.6633,-4.8937,10.9375,46640700
2010-10-15,180,2010-02-01,2010-10-15,17.7833,17.5018,17.5247,101.6086,101.4757,16.0,18.6633,-4.7151,11.1458,37677000
2010-10-18,180,2010-02-02,2010-10-18,17.92,17.5023,17.5252,102.3865,102.2525,16.0,18.6633,-3.9829,12.0,27689700
2010-10-19,180,2010-02-03,2010-10-19,17.7733,17.502,17.5249,101.5503,101.4175,16.0,18.6633,-4.7687,11.0833,30675000
2010-10-20,180,2010-02-04,2010-10-20,17.8233,17.5006,17.5234,101.8442,101.7114,16.0,18.6633,-4.5008,11.3958,29226900
2010-10-21,180,2010-02-05,2010-10-21,18.01,17.5025,17.5254,102.8997,102.7651,16.0,18.6633,-3.5006,12.5625,28806600
2010-10-22,180,2010-02-08,2010-10-22,18.02,17.5036,17.5265,102.9505,102.8155,16.0,18.6633,-3.447,12.625,17386500
2010-10-25,180,2010-02-09,2010-10-25,17.9833,17.5054,17.5284,102.7303,102.5953,16.0,18.6633,-3.6435,12.3958,23889300
2010-10-26,180,2010-02-10,2010-10-26,18.1867,17.5077,17.5309,103.8782,103.7409,16.0,18.6633,-2.554,13.6667,30880800
2010-10-27,180,2010-02-11,2010-10-27,17.9567,17.5088,17.532,102.5579,102.4221,16.0,18.6633,-3.7864,12.2292,39060900
2010-10-28,180,2010-02-12,2010-10-28,18.0267,17.5106,17.5339,102.9472,102.8105,16.0,18.6633,-3.4113,12.6667,24550800
2010-10-29,180,2010-02-16,2010-10-29,18.0567,17.5129,17.5362,103.1052,102.9678,16.0,18.6633,-3.2506,12.8542,24098700
2010-11-01,180,2010-02-17,2010-11-01,18.1033,17.5142,17.5376,103.3639,103.2258,16.0,18.6633,-3.0005,13.1458,24622500
2010-11-02,180,2010-02-18,2010-11-02,18.2633,17.5154,17.539,104.27,104.1301,16.0,18.6633,-2.1433,14.1458,26547600
2010-11-03,180,2010-02-19,2010-11-03,18.3033,17.5179,17.5416,104.4834,104.3423,16.0,18.6633,-1.9289,14.3958,27567600
2010-11-04,180,2010-02-22,2010-11-04,18.4533,17.5212,17.5451,105.3202,105.1766,16.0,18.6633,-1.1252,15.3333,39740400
2010-11-05,180,2010-02-23,2010-11-05,18.4,17.5235,17.5476,105.0017,104.8575,16.0,18.6633,-1.411,15.0,30784200
2010-11-08,180,2010-02-24,2010-11-08,18.3033,17.5258,17.55,104.4367,104.2924,16.0,18.6633,-1.9289,14.3958,29823300
2010-11-09,180,2010-02-25,2010-11-09,18.35,17.5277,17.5521,104.6913,104.5458,16.0,18.6633,-1.6789,14.6875,30141300
2010-11-10,180,2010-02-26,2010-11-10,18.17,17.5283,17.5528,103.6607,103.5164,16.0,18.6633,-2.6433,13.5625,33710700
2010-11-11,180,2010-03-01,2010-11-11,18.1133,17.5288,17.5533,103.3346,103.1906,16.0,18.6633,-2.947,13.2083,37698300
2010-11-12,180,2010-03-02,2010-11-12,18.0433,17.5292,17.5537,102.9329,102.7893,16.0,18.6633,-3.322,12.7708,32033400
2010-11-15,180,2010-03-03,2010-11-15,17.9833,17.5299,17.5544,102.5869,102.4436,16.0,18.6633,-3.6435,12.3958,34378500
2010-11-16,180,2010-03-04,2010-11-16,18.0867,17.5309,17.5555,103.1701,103.0257,16.0,18.6633,-3.0898,13.0417,70665600
2010-11-17,180,2010-03-05,2010-11-17,17.9233,17.5306,17.5551,102.2404,102.0974,16.0,18.6633,-3.965,12.0208,43514100
2010-11-18,180,2010-03-08,2010-11-18,17.9933,17.5303,17.5548,102.6414,102.4979,16.0,18.6633,-3.5899,12.4583,34761900
2010-11-19,180,2010-03-09,2010-11-19,18.13,17.5307,17.5553,103.4185,103.2738,16.0,18.6633,-2.8577,13.3125,30922500
