date,window_trading_days,window_start,window_end,close,fixed_amount_dca_cost,moving_avg_180,price_to_dca_pct,price_to_ma_pct,min_close_in_window,max_close_in_window,drawdown_from_window_high_pct,above_window_low_pct,volume
2010-09-20,180,2010-01-04,2010-09-20,61.55,63.4793,63.6923,96.9607,96.6364,56.57,70.3,-12.4467,8.8033,21788100
2010-09-21,180,2010-01-05,2010-09-21,61.54,63.4393,63.6501,97.0061,96.6849,56.57,70.3,-12.4609,8.7856,20525200
2010-09-22,180,2010-01-06,2010-09-22,61.45,63.3976,63.6058,96.928,96.6107,56.57,70.3,-12.5889,8.6265,18207700
2010-09-23,180,2010-01-07,2010-09-23,61.15,63.3514,63.5565,96.5252,96.2136,56.57,70.3,-13.0156,8.0962,18097800
2010-09-24,180,2010-01-08,2010-09-24,61.75,63.3097,63.5118,97.5363,97.2261,56.57,70.3,-12.1622,9.1568,25145300
2010-09-27,180,2010-01-11,2010-09-27,61.71,63.2692,63.4684,97.5356,97.2295,56.57,70.3,-12.2191,9.0861,16642800
2010-09-28,180,2010-01-12,2010-09-28,62.06,63.2273,63.4226,98.1539,97.8515,56.57,69.95,-11.2795,9.7048,18806700
2010-09-29,180,2010-01-13,2010-09-29,61.59,63.1842,63.3762,97.4769,97.1816,56.57,69.68,-11.6102,8.874,21158000
2010-09-30,180,2010-01-14,2010-09-30,61.79,63.1436,63.3324,97.8563,97.5646,56.57,69.68,-11.3232,9.2275,25460200
2010-10-01,180,2010-01-15,2010-10-01,62.54,63.1074,63.2927,99.101,98.8107,56.57,69.29,-9.7417,10.5533,24160200
2010-10-04,180,2010-01-19,2010-10-04,62.19,63.0717,63.2543,98.602,98.3175,56.57,69.29,-10.2468,9.9346,16902500
2010-10-05,180,2010-01-20,2010-10-05,63.26,63.0415,63.2209,100.3467,100.0619,56.57,69.29,-8.7026,11.8261,25185400
2010-10-06,180,2010-01-21,2010-10-06,63.94,63.0207,63.1982,101.4587,101.1738,56.57,69.29,-7.7212,13.0281,21645200
2010-10-07,180,2010-01-22,2010-10-07,63.85,63.0059,63.1823,101.3397,101.0567,56.57,69.29,-7.8511,12.869,19468400
2010-10-08,180,2010-01-25,2010-10-08,64.38,62.997,63.1728,102.1953,101.911,56.57,69.29,-7.0862,13.8059,22370500
2010-10-11,180,2010-01-26,2010-10-11,64.55,62.9903,63.1656,102.4761,102.1918,56.57,69.29,-6.8408,14.1064,13848900
2010-10-12,180,2010-01-27,2010-10-12,64.7,62.984,63.1588,102.7245,102.4402,56.57,69.29,-6.6243,14.3716,20732000
2010-10-13,180,2010-01-28,2010-10-13,65.04,62.9814,63.156,103.2686,102.9831,56.57,69.29,-6.1336,14.9726,22560500
2010-10-14,180,2010-01-29,2010-10-14,65.3,62.9832,63.1579,103.6785,103.3917,56.57,69.29,-5.7584,15.4322,17778100
2010-10-15,180,2010-02-01,2010-10-15,65.19,62.9871,63.1621,103.4973,103.2106,56.57,69.29,-5.9172,15.2378,25500700
2010-10-18,180,2010-02-02,2010-10-18,66.28,62.9876,63.1627,105.227,104.9354,56.57,69.29,-4.3441,17.1646,22481700
2010-10-19,180,2010-02-03,2010-10-19,65.12,62.9783,63.1524,103.4006,103.1156,56.57,69.29,-6.0182,15.114,25367400
2010-10-20,180,2010-02-04,2010-10-20,66.01,62.9754,63.1492,104.8187,104.5303,56.57,69.29,-4.7337,16.6873,20543900
2010-10-21,180,2010-02-05,2010-10-21,66.32,62.9836,63.1581,105.2972,105.0064,56.57,69.29,-4.2863,17.2353,21291200
2010-10-22,180,2010-02-08,2010-10-22,66.34,62.9915,63.1666,105.3158,105.0238,56.57,69.29,-4.2575,17.2706,13332800
2010-10-25,180,2010-02-09,2010-10-25,66.2,63.0011,63.1769,105.0776,104.7851,56.57,69.29,-4.4595,17.0232,16516600
2010-10-26,180,2010-02-10,2010-10-26,66.53,63.0078,63.1843,105.59,105.2952,56.57,69.29,-3.9833,17.6065,17652900
